fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_luetkemeyerb,results_rezabekm,results_steinmanl,results_absentee_luetkemeyerb,results_absentee_rezabekm,results_absentee_steinmanl,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
29027,Callaway,20768,4406,28,28,"As a precinct in the FIRST cumulative report, along with regular precincts",100,20768,>98%,>98% reported,edison,6,all,2664,15346,4972,450,2600,1738,68,2020-11-04T10:43:44Z,49.95185,R+50,Luetkemeyer +50,republican,MO-G-H-3-2020-11-03,mo-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",406861,37229,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,317,326,97% reporting,97%,98,417000,edison,98%,98% reported,edison,republican,FALSE,2020-11-04T10:43:28Z,TRUE,40.8776,166315,R+41,Luetkemeyer +41,republican,"","",0,0,1604461756588
29029,Camden,15199,4334,12,12,Released as a precinct as first report of the night,100,15199,>98%,>98% reported,edison,6,all,5960,11637,3314,248,2957,1321,56,2020-11-04T10:43:44Z,54.76018,R+55,Luetkemeyer +55,republican,MO-G-H-3-2020-11-03,mo-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",406861,37229,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,317,326,97% reporting,97%,98,417000,edison,98%,98% reported,edison,republican,FALSE,2020-11-04T10:43:28Z,TRUE,40.8776,166315,R+41,Luetkemeyer +41,republican,"","",0,0,1604461756588
29051,Cole,39037,0,27,28,Released as a separate subtotal as first report of the night,97,40067,97%,97% reported,edison,2,unknown,6603,27659,10378,1000,0,0,0,2020-11-04T10:43:45Z,44.26826,R+44,Luetkemeyer +44,republican,MO-G-H-3-2020-11-03,mo-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",406861,37229,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,317,326,97% reporting,97%,98,417000,edison,98%,98% reported,edison,republican,FALSE,2020-11-04T10:43:28Z,TRUE,40.8776,166315,R+41,Luetkemeyer +41,republican,"","",0,0,1604461756588
29071,Franklin,52347,9931,40,42,Released as a precinct as first report of the night,95,55064,95%,95% reported,edison,4,some,5323,38261,13024,1062,5788,4021,122,2020-11-04T10:43:45Z,48.21098,R+48,Luetkemeyer +48,republican,MO-G-H-3-2020-11-03,mo-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",406861,37229,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,317,326,97% reporting,97%,98,417000,edison,98%,98% reported,edison,republican,FALSE,2020-11-04T10:43:28Z,TRUE,40.8776,166315,R+41,Luetkemeyer +41,republican,"","",0,0,1604461756588
29073,Gasconade,7773,783,17,18,Released as a precinct as first report of the night,97,8003,97%,97% reported,edison,4,all,746,6351,1315,107,521,257,5,2020-11-04T10:40:53Z,64.78837,R+65,Luetkemeyer +65,republican,MO-G-H-3-2020-11-03,mo-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",406861,37229,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,317,326,97% reporting,97%,98,417000,edison,98%,98% reported,edison,republican,FALSE,2020-11-04T10:43:28Z,TRUE,40.8776,166315,R+41,Luetkemeyer +41,republican,"","",0,0,1604461756588
29099,Jefferson,59868,16350,28,29,Released as a precinct as first report of the night,100,59868,>98%,>98% reported,edison,6,all,15296,39327,19216,1325,9069,7054,227,2020-11-04T10:43:44Z,33.59224,R+34,Luetkemeyer +34,republican,MO-G-H-3-2020-11-03,mo-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",406861,37229,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,317,326,97% reporting,97%,98,417000,edison,98%,98% reported,edison,republican,FALSE,2020-11-04T10:43:28Z,TRUE,40.8776,166315,R+41,Luetkemeyer +41,republican,"","",0,0,1604461756588
29113,Lincoln,28237,0,22,22,None,100,26786,>98%,>98% reported,edison,2,unknown,2926,21437,6137,663,0,0,0,2020-11-04T10:43:46Z,54.18423,R+54,Luetkemeyer +54,republican,MO-G-H-3-2020-11-03,mo-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",406861,37229,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,317,326,97% reporting,97%,98,417000,edison,98%,98% reported,edison,republican,FALSE,2020-11-04T10:43:28Z,TRUE,40.8776,166315,R+41,Luetkemeyer +41,republican,"","",0,0,1604461756588
29125,Maries,4703,692,10,11,Released as a precinct as first report of the night,100,4703,>98%,>98% reported,edison,6,all,731,3883,740,80,489,191,12,2020-11-04T10:43:46Z,66.82968,R+67,Luetkemeyer +67,republican,MO-G-H-3-2020-11-03,mo-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",406861,37229,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,317,326,97% reporting,97%,98,417000,edison,98%,98% reported,edison,republican,FALSE,2020-11-04T10:43:28Z,TRUE,40.8776,166315,R+41,Luetkemeyer +41,republican,"","",0,0,1604461756588
29131,Miller,12180,0,13,13,None,99,12268,>98%,>98% reported,edison,2,unknown,1491,10287,1687,206,0,0,0,2020-11-04T10:43:47Z,70.60755,R+71,Luetkemeyer +71,republican,MO-G-H-3-2020-11-03,mo-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",406861,37229,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,317,326,97% reporting,97%,98,417000,edison,98%,98% reported,edison,republican,FALSE,2020-11-04T10:43:28Z,TRUE,40.8776,166315,R+41,Luetkemeyer +41,republican,"","",0,0,1604461756588
29139,Montgomery,5648,733,9,10,Released as a precinct at the end of tabulation,100,5648,>98%,>98% reported,edison,6,all,530,4545,1021,82,503,223,7,2020-11-04T10:43:48Z,62.39377,R+62,Luetkemeyer +62,republican,MO-G-H-3-2020-11-03,mo-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",406861,37229,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,317,326,97% reporting,97%,98,417000,edison,98%,98% reported,edison,republican,FALSE,2020-11-04T10:43:28Z,TRUE,40.8776,166315,R+41,Luetkemeyer +41,republican,"","",0,0,1604461756588
