fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_westermanb,results_hansonw,results_gilbertf,results_absentee_westermanb,results_absentee_hansonw,results_absentee_gilbertf,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
05003,Ashley,7864,7850,26,30,Released as a separate subtotal as first report of the night,100,7850,>98%,>98% reported,edison,6,unknown,5934,5603,2092,169,5595,2086,169,2020-11-10T18:32:44Z,44.64649,R+45,Westerman +45,republican,AR-G-H-4-2020-11-03,ar-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-arkansas.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,AR,arkansas,Arkansas,Ark.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",282460,212248,33,unknown,Polls close at 8:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:30:00.000Z,8:30 p.m.,782,871,90% reporting,90%,93,304000,edison,93%,93% reported,edison,republican,FALSE,2020-11-10T21:50:44Z,TRUE,42.07498,118845,R+42,Westerman +42,republican,"","",0,0,1604461623462
05011,Bradley,3600,2511,12,14,Released as a precinct as first report of the night,97,3707,97%,97% reported,edison,2,unknown,2557,2394,1118,88,1617,839,55,2020-11-04T10:43:59Z,35.44444,R+35,Westerman +35,republican,AR-G-H-4-2020-11-03,ar-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-arkansas.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,AR,arkansas,Arkansas,Ark.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",282460,212248,33,unknown,Polls close at 8:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:30:00.000Z,8:30 p.m.,782,871,90% reporting,90%,93,304000,edison,93%,93% reported,edison,republican,FALSE,2020-11-10T21:50:44Z,TRUE,42.07498,118845,R+42,Westerman +42,republican,"","",0,0,1604461623462
05013,Calhoun,2112,1381,17,20,Released as a precinct as first report of the night,92,2302,92%,92% reported,edison,2,unknown,1190,1625,447,40,1039,317,25,2020-11-04T10:43:59Z,55.77652,R+56,Westerman +56,republican,AR-G-H-4-2020-11-03,ar-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-arkansas.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,AR,arkansas,Arkansas,Ark.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",282460,212248,33,unknown,Polls close at 8:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:30:00.000Z,8:30 p.m.,782,871,90% reporting,90%,93,304000,edison,93%,93% reported,edison,republican,FALSE,2020-11-10T21:50:44Z,TRUE,42.07498,118845,R+42,Westerman +42,republican,"","",0,0,1604461623462
05019,Clark,12102,12102,27,27,Merged into voters' home precincts and released with cumulative results,100,8257,>98%,>98% reported,edison,6,all,6814,6967,4870,265,6967,4870,265,2020-11-09T23:49:46Z,17.32771,R+17,Westerman +17,republican,AR-G-H-4-2020-11-03,ar-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-arkansas.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,AR,arkansas,Arkansas,Ark.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",282460,212248,33,unknown,Polls close at 8:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:30:00.000Z,8:30 p.m.,782,871,90% reporting,90%,93,304000,edison,93%,93% reported,edison,republican,FALSE,2020-11-10T21:50:44Z,TRUE,42.07498,118845,R+42,Westerman +42,republican,"","",0,0,1604461623462
05025,Cleveland,3539,2134,16,17,"As a subtotal in the FIRST cumulative report, along with regular precincts",94,3756,94%,94% reported,edison,2,unknown,1656,2884,579,76,1688,406,40,2020-11-04T10:44:01Z,65.13139,R+65,Westerman +65,republican,AR-G-H-4-2020-11-03,ar-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-arkansas.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,AR,arkansas,Arkansas,Ark.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",282460,212248,33,unknown,Polls close at 8:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:30:00.000Z,8:30 p.m.,782,871,90% reporting,90%,93,304000,edison,93%,93% reported,edison,republican,FALSE,2020-11-10T21:50:44Z,TRUE,42.07498,118845,R+42,Westerman +42,republican,"","",0,0,1604461623462
05027,Columbia,8395,7190,12,14,"As a precinct in the FIRST cumulative report, along with regular precincts",100,8395,>98%,>98% reported,edison,6,all,9640,5559,2672,164,4803,2263,124,2020-11-04T10:44:01Z,34.38952,R+34,Westerman +34,republican,AR-G-H-4-2020-11-03,ar-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-arkansas.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,AR,arkansas,Arkansas,Ark.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",282460,212248,33,unknown,Polls close at 8:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:30:00.000Z,8:30 p.m.,782,871,90% reporting,90%,93,304000,edison,93%,93% reported,edison,republican,FALSE,2020-11-10T21:50:44Z,TRUE,42.07498,118845,R+42,Westerman +42,republican,"","",0,0,1604461623462
05033,Crawford,6809,5139,12,12,Released as a precinct as first report of the night,97,7021,97%,97% reported,edison,4,unknown,10542,5447,1120,242,4100,872,167,2020-11-04T10:43:27Z,63.54824,R+64,Westerman +64,republican,AR-G-H-4-2020-11-03,ar-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-arkansas.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,AR,arkansas,Arkansas,Ark.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",282460,212248,33,unknown,Polls close at 8:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:30:00.000Z,8:30 p.m.,782,871,90% reporting,90%,93,304000,edison,93%,93% reported,edison,republican,FALSE,2020-11-10T21:50:44Z,TRUE,42.07498,118845,R+42,Westerman +42,republican,"","",0,0,1604461623462
05039,Dallas,2601,1669,8,9,Released as a precinct as first report of the night,92,2813,92%,92% reported,edison,2,unknown,2288,1615,928,58,947,691,31,2020-11-04T10:44:02Z,26.41292,R+26,Westerman +26,republican,AR-G-H-4-2020-11-03,ar-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-arkansas.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,AR,arkansas,Arkansas,Ark.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",282460,212248,33,unknown,Polls close at 8:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:30:00.000Z,8:30 p.m.,782,871,90% reporting,90%,93,304000,edison,93%,93% reported,edison,republican,FALSE,2020-11-10T21:50:44Z,TRUE,42.07498,118845,R+42,Westerman +42,republican,"","",0,0,1604461623462
05043,Drew,6809,5362,18,19,Released as a precinct as first report of the night,92,7386,92%,92% reported,edison,2,some,5899,4435,2204,170,3480,1764,118,2020-11-04T10:44:02Z,32.76546,R+33,Westerman +33,republican,AR-G-H-4-2020-11-03,ar-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-arkansas.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,AR,arkansas,Arkansas,Ark.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",282460,212248,33,unknown,Polls close at 8:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:30:00.000Z,8:30 p.m.,782,871,90% reporting,90%,93,304000,edison,93%,93% reported,edison,republican,FALSE,2020-11-10T21:50:44Z,TRUE,42.07498,118845,R+42,Westerman +42,republican,"","",0,0,1604461623462
05047,Franklin,7035,5417,36,39,Merged into voters' home precincts and released with cumulative results,93,7582,93%,93% reported,edison,2,unknown,4789,5686,1170,179,4326,967,124,2020-11-10T21:50:42Z,64.19332,R+64,Westerman +64,republican,AR-G-H-4-2020-11-03,ar-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-arkansas.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,AR,arkansas,Arkansas,Ark.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",282460,212248,33,unknown,Polls close at 8:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:30:00.000Z,8:30 p.m.,782,871,90% reporting,90%,93,304000,edison,93%,93% reported,edison,republican,FALSE,2020-11-10T21:50:44Z,TRUE,42.07498,118845,R+42,Westerman +42,republican,"","",0,0,1604461623462
