fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
01001,Autauga,27770,0,19,19,Released as a precinct as first report of the night,100,27770,>98%,>98% reported,edison,10,all,,1896,,,19838,7503,350,79,0,0,0,0,2020-11-24T13:21:46Z,44.41844,R+44,Trump +44,republican,44.41844,24973,49,23973,45.95,alabama,2020-11-28T00:47:48.960418Z
01003,Baldwin,109679,0,51,51,"As a precinct in the FIRST cumulative report, along with regular precincts",100,109679,>98%,>98% reported,edison,10,all,,6293,,,83544,24578,1229,328,0,0,0,0,2020-11-24T13:21:46Z,53.76234,R+54,Trump +54,republican,53.76234,95215,57.2,85491,55.67,alabama,2020-11-28T00:47:48.960418Z
01005,Barbour,10518,0,17,17,Released as a precinct as first report of the night,100,10518,>98%,>98% reported,edison,10,all,,1554,,,5622,4816,68,12,0,0,0,0,2020-11-24T13:21:47Z,7.66305,R+8,Trump +8,republican,7.66305,10469,5.6,11517,-3.14,alabama,2020-11-28T00:47:48.960418Z
01007,Bibb,9595,571,10,10,"As a precinct in the FIRST cumulative report, along with regular precincts",100,9595,>98%,>98% reported,edison,10,all,,410,,,7525,1986,74,10,352,215,4,0,2020-11-24T13:21:49Z,57.72798,R+58,Trump +58,republican,57.72798,8819,55.2,8420,46.67,alabama,2020-11-28T00:47:48.960418Z
01009,Blount,27588,0,25,25,"As a precinct in the FIRST cumulative report, along with regular precincts",100,27588,>98%,>98% reported,edison,10,all,,1181,,,24711,2640,209,28,0,0,0,0,2020-11-24T13:21:52Z,80.00217,R+80,Trump +80,republican,80.00217,25588,80.9,24060,73.93,alabama,2020-11-28T00:47:48.960418Z
01011,Bullock,4613,0,16,16,Released as a precinct as first report of the night,100,4613,>98%,>98% reported,edison,10,all,,557,,,1146,3446,19,2,0,0,0,0,2020-11-24T13:21:53Z,49.85909,D+50,Biden +50,democrat,-49.85909,4710,-50.7,5322,-52.8,alabama,2020-11-28T00:47:48.960418Z
01013,Butler,9488,1053,23,23,Released as a precinct as first report of the night,100,9488,>98%,>98% reported,edison,10,all,,4735,,,5458,3965,59,6,429,616,8,0,2020-11-24T13:21:54Z,15.73567,R+16,Trump +16,republican,15.73567,8732,13.5,9502,7.5,alabama,2020-11-28T00:47:48.960418Z
01015,Calhoun,50983,0,45,45,Released with cumulative results periodically election night,100,50983,>98%,>98% reported,edison,10,all,,1917,,,35101,15216,553,113,0,0,0,0,2020-11-24T13:21:55Z,39.0032,R+39,Trump +39,republican,39.0032,47864,41,46364,31.85,alabama,2020-11-28T00:47:48.960418Z
01017,Chambers,15284,0,21,21,Released as a precinct as first report of the night,100,15284,>98%,>98% reported,edison,10,all,,883,,,8753,6365,141,25,0,0,0,0,2020-11-24T13:21:56Z,15.62418,R+16,Trump +16,republican,15.62418,13900,14.8,14629,5.16,alabama,2020-11-28T00:47:48.960418Z
01019,Cherokee,12301,0,24,24,"As a precinct in the FIRST cumulative report, along with regular precincts",100,12301,>98%,>98% reported,edison,10,all,,800,,,10583,1624,82,12,0,0,0,0,2020-11-24T13:21:58Z,72.83148,R+73,Trump +73,republican,72.83148,10733,69,9792,54.88,alabama,2020-11-28T00:47:48.960418Z
