fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
33001,Belknap,38453,0,16,16,,,,,"",edison,,,,,,,16894,20899,598,62,0,0,0,0,2020-11-24T13:22:40Z,10.41531,R+10,Trump +10,republican,10.41531,35045,16.5,33887,4.96,new-hampshire,2020-11-28T00:47:23.070090Z
33003,Carroll,33272,0,18,18,,,,,"",edison,,,,,,,16649,16150,422,51,0,0,0,0,2020-11-24T13:22:25Z,1.49976,D+1.5,Biden +1.5,democrat,-1.49976,29616,5.6,28602,0.8,new-hampshire,2020-11-28T00:47:23.070090Z
33005,Cheshire,44206,0,27,27,,,,,"",edison,,,,,,,25506,17892,799,9,0,0,0,0,2020-11-24T13:23:15Z,17.22391,D+17,Biden +17,democrat,-17.22391,41895,-12.4,41360,-24.72,new-hampshire,2020-11-28T00:47:23.070090Z
33007,Coos,16528,0,26,26,,,,,"",edison,,,,,,,7640,8617,258,13,0,0,0,0,2020-11-24T13:22:32Z,5.91118,R+6,Trump +6,republican,5.91118,15627,8.9,15699,-17.54,new-hampshire,2020-11-28T00:47:23.070090Z
33009,Grafton,53989,0,41,41,,,,,"",edison,,,,,,,33180,19905,881,23,0,0,0,0,2020-11-24T13:23:09Z,24.58834,D+25,Biden +25,democrat,-24.58834,51191,-18.6,49014,-23.7,new-hampshire,2020-11-28T00:47:23.070090Z
33011,Hillsborough,231040,0,50,50,,,,,"",edison,,,,,,,122344,104625,3972,99,0,0,0,0,2020-11-24T13:23:14Z,7.66923,D+8,Biden +8,democrat,-7.66923,214157,0.2,205667,-1.12,new-hampshire,2020-11-28T00:47:23.070090Z
33013,Merrimack,89887,0,38,38,,,,,"",edison,,,,,,,48533,39711,1561,82,0,0,0,0,2020-11-24T13:23:10Z,9.81454,D+10,Biden +10,democrat,-9.81454,83648,-3,80514,-12.71,new-hampshire,2020-11-28T00:47:23.070090Z
33015,Rockingham,198943,0,41,41,,,,,"",edison,,,,,,,100064,95858,2876,145,0,0,0,0,2020-11-24T13:22:36Z,2.11417,D+2,Biden +2,democrat,-2.11417,181434,5.8,170423,4.56,new-hampshire,2020-11-28T00:47:23.070090Z
33017,Strafford,73729,2946,27,27,,,,,"",edison,,,,,,,41721,30489,1386,133,1927,971,48,0,2020-11-24T13:22:51Z,15.23417,D+15,Biden +15,democrat,-15.23417,69000,-8.4,63969,-14.53,new-hampshire,2020-11-28T00:47:23.070090Z
33019,Sullivan,24383,0,17,17,,,,,"",edison,,,,,,,12390,11508,482,3,0,0,0,0,2020-11-24T13:22:45Z,3.61727,D+4,Biden +4,democrat,-3.61727,22683,2.6,21837,-13.27,new-hampshire,2020-11-28T00:47:23.070090Z
