fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_fergusond,results_almonordv,results_absentee_fergusond,results_absentee_almonordv,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,results_write_ins,results_absentee_write_ins,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
13045,Carroll,53072,39064,28,28,None,95,56114,95%,95% reported,edison,2,unknown,31790,38034,15038,26829,12235,2020-11-16T15:48:36Z,43.32982,R+43,Ferguson +43,republican,,,GA-G-H-3-2020-11-03,ga-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",369206,279440,13,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,182,183,99% reporting,99%,92,400000,edison,92%,92% reported,edison,republican,FALSE,2020-11-16T15:48:11Z,TRUE,30.08618,111080,R+30,Ferguson +30,republican,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604457012517
13077,Coweta,74987,51482,26,26,None,95,78529,95%,95% reported,edison,2,unknown,37867,52959,22028,34305,17177,2020-11-16T15:47:41Z,41.24848,R+41,Ferguson +41,republican,,,GA-G-H-3-2020-11-03,ga-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",369206,279440,13,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,182,183,99% reporting,99%,92,400000,edison,92%,92% reported,edison,republican,FALSE,2020-11-16T15:48:11Z,TRUE,30.08618,111080,R+30,Ferguson +30,republican,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604457012517
13113,Fayette,56132,47886,30,30,Other,88,63951,88%,88% reported,edison,4,unknown,60498,34115,22017,28172,19714,2020-11-16T15:47:44Z,21.55277,R+22,Ferguson +22,republican,,,GA-G-H-3-2020-11-03,ga-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",369206,279440,13,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,182,183,99% reporting,99%,92,400000,edison,92%,92% reported,edison,republican,FALSE,2020-11-16T15:48:11Z,TRUE,30.08618,111080,R+30,Ferguson +30,republican,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604457012517
13145,Harris,19543,12732,12,12,None,93,20993,93%,93% reported,edison,2,unknown,12696,14655,4888,8960,3772,2020-11-16T15:47:44Z,49.97697,R+50,Ferguson +50,republican,,,GA-G-H-3-2020-11-03,ga-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",369206,279440,13,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,182,183,99% reporting,99%,92,400000,edison,92%,92% reported,edison,republican,FALSE,2020-11-16T15:48:11Z,TRUE,30.08618,111080,R+30,Ferguson +30,republican,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604457012517
13149,Heard,5187,3416,6,6,Merged into voters' home precincts and released with cumulative results,100,5187,>98%,>98% reported,edison,6,all,2362,4443,738,2831,583,2020-11-16T15:47:45Z,71.42857,R+71,Ferguson +71,republican,6,2,GA-G-H-3-2020-11-03,ga-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",369206,279440,13,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,182,183,99% reporting,99%,92,400000,edison,92%,92% reported,edison,republican,FALSE,2020-11-16T15:48:11Z,TRUE,30.08618,111080,R+30,Ferguson +30,republican,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604457012517
13151,Henry,36932,31949,10,10,Other,100,36812,>98%,>98% reported,edison,2,unknown,101421,13880,23052,11799,20150,2020-11-16T15:47:45Z,24.83483,D+25,Almonord +25,democrat,,,GA-G-H-3-2020-11-03,ga-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",369206,279440,13,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,182,183,99% reporting,99%,92,400000,edison,92%,92% reported,edison,republican,FALSE,2020-11-16T15:48:11Z,TRUE,30.08618,111080,R+30,Ferguson +30,republican,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604457012517
13171,Lamar,8812,6599,6,6,None,91,9710,91%,91% reported,edison,4,all,6784,6365,2447,4614,1985,2020-11-16T15:47:46Z,44.4621,R+44,Ferguson +44,republican,,,GA-G-H-3-2020-11-03,ga-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",369206,279440,13,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,182,183,99% reporting,99%,92,400000,edison,92%,92% reported,edison,republican,FALSE,2020-11-16T15:48:11Z,TRUE,30.08618,111080,R+30,Ferguson +30,republican,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604457012517
13199,Meriwether,10536,7201,14,14,Released as a precinct as first report of the night,90,11764,90%,90% reported,edison,4,all,5128,6521,4003,4312,2889,2020-11-16T15:47:47Z,23.89901,R+24,Ferguson +24,republican,12,0,GA-G-H-3-2020-11-03,ga-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",369206,279440,13,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,182,183,99% reporting,99%,92,400000,edison,92%,92% reported,edison,republican,FALSE,2020-11-16T15:48:11Z,TRUE,30.08618,111080,R+30,Ferguson +30,republican,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604457012517
13215,Muscogee,22431,18141,6,7,Merged into voters' home precincts and released with cumulative results,91,24744,91%,91% reported,edison,2,unknown,59253,14320,8111,11159,6982,2020-11-16T15:47:49Z,27.68044,R+28,Ferguson +28,republican,,,GA-G-H-3-2020-11-03,ga-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",369206,279440,13,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,182,183,99% reporting,99%,92,400000,edison,92%,92% reported,edison,republican,FALSE,2020-11-16T15:48:11Z,TRUE,30.08618,111080,R+30,Ferguson +30,republican,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604457012517
13231,Pike,10481,7895,8,8,Released as a precinct at the end of tabulation,94,11112,94%,94% reported,edison,2,some,7038,9112,1369,6776,1119,2020-11-16T15:47:50Z,73.87654,R+74,Ferguson +74,republican,,,GA-G-H-3-2020-11-03,ga-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",369206,279440,13,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,182,183,99% reporting,99%,92,400000,edison,92%,92% reported,edison,republican,FALSE,2020-11-16T15:48:11Z,TRUE,30.08618,111080,R+30,Ferguson +30,republican,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604457012517
