fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_bucshonl,results_marsilit,results_rodenbergerj,results_absentee_bucshonl,results_absentee_marsilit,results_absentee_rodenbergerj,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
18021,Clay,12022,65,24,24,Released as a separate subtotal as first report of the night,100,12018,>98%,>98% reported,edison,6,some,6617,9386,2255,381,26,39,0,2020-11-16T15:48:04Z,59.31625,R+59,Bucshon +59,republican,IN-G-H-8-2020-11-03,in-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",320617,85970,13,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,653,666,98% reporting,98%,95,337000,edison,95%,95% reported,edison,republican,FALSE,2020-11-16T19:27:49Z,TRUE,37.10096,118952,R+37,Bucshon +37,republican,"","",0,0,1604454147081
18025,Crawford,752,231,3,3,Merged into voters' home precincts and released with cumulative results,100,746,>98%,>98% reported,edison,2,some,1953,535,187,30,130,89,12,2020-11-16T15:48:16Z,46.2766,R+46,Bucshon +46,republican,IN-G-H-8-2020-11-03,in-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",320617,85970,13,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,653,666,98% reporting,98%,95,337000,edison,95%,95% reported,edison,republican,FALSE,2020-11-16T19:27:49Z,TRUE,37.10096,118952,R+37,Bucshon +37,republican,"","",0,0,1604454147081
18027,Daviess,11734,6213,28,28,Merged into voters' home precincts and released with cumulative results,100,11734,>98%,>98% reported,edison,6,all,5181,9630,1767,337,4873,1197,143,2020-11-16T15:48:05Z,67.0104,R+67,Bucshon +67,republican,IN-G-H-8-2020-11-03,in-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",320617,85970,13,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,653,666,98% reporting,98%,95,337000,edison,95%,95% reported,edison,republican,FALSE,2020-11-16T19:27:49Z,TRUE,37.10096,118952,R+37,Bucshon +37,republican,"","",0,0,1604454147081
18037,Dubois,21113,15946,40,40,Released as a separate subtotal as first report of the night,100,21112,>98%,>98% reported,edison,6,all,14877,14978,5408,727,11099,4404,443,2020-11-16T15:48:17Z,45.32752,R+45,Bucshon +45,republican,IN-G-H-8-2020-11-03,in-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",320617,85970,13,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,653,666,98% reporting,98%,95,337000,edison,95%,95% reported,edison,republican,FALSE,2020-11-16T19:27:49Z,TRUE,37.10096,118952,R+37,Bucshon +37,republican,"","",0,0,1604454147081
18051,Gibson,15954,0,34,34,Merged into voters' home precincts and released with cumulative results,100,15954,>98%,>98% reported,edison,6,all,13292,11963,3464,527,0,0,0,2020-11-16T15:48:05Z,53.27191,R+53,Bucshon +53,republican,IN-G-H-8-2020-11-03,in-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",320617,85970,13,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,653,666,98% reporting,98%,95,337000,edison,95%,95% reported,edison,republican,FALSE,2020-11-16T19:27:49Z,TRUE,37.10096,118952,R+37,Bucshon +37,republican,"","",0,0,1604454147081
18055,Greene,14500,7832,30,32,Released as a separate subtotal as first report of the night,100,14500,>98%,>98% reported,edison,6,all,7323,11008,2986,506,5529,2081,222,2020-11-16T15:48:07Z,55.32414,R+55,Bucshon +55,republican,IN-G-H-8-2020-11-03,in-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",320617,85970,13,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,653,666,98% reporting,98%,95,337000,edison,95%,95% reported,edison,republican,FALSE,2020-11-16T19:27:49Z,TRUE,37.10096,118952,R+37,Bucshon +37,republican,"","",0,0,1604454147081
18083,Knox,15557,7780,32,33,Merged into voters' home precincts and released with cumulative results,100,15556,>98%,>98% reported,edison,6,all,7755,11564,3468,525,5261,2318,201,2020-11-16T16:07:44Z,52.04088,R+52,Bucshon +52,republican,IN-G-H-8-2020-11-03,in-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",320617,85970,13,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,653,666,98% reporting,98%,95,337000,edison,95%,95% reported,edison,republican,FALSE,2020-11-16T19:27:49Z,TRUE,37.10096,118952,R+37,Bucshon +37,republican,"","",0,0,1604454147081
18101,Martin,5018,0,18,18,Merged into voters' home precincts and released with cumulative results,100,5018,>98%,>98% reported,edison,6,all,2643,3887,866,265,0,0,0,2020-11-16T15:48:09Z,60.20327,R+60,Bucshon +60,republican,IN-G-H-8-2020-11-03,in-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",320617,85970,13,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,653,666,98% reporting,98%,95,337000,edison,95%,95% reported,edison,republican,FALSE,2020-11-16T19:27:49Z,TRUE,37.10096,118952,R+37,Bucshon +37,republican,"","",0,0,1604454147081
18119,Owen,9689,6158,18,18,Merged into voters' home precincts and released with cumulative results,100,9688,>98%,>98% reported,edison,6,unknown,6477,6975,2296,418,4153,1797,208,2020-11-16T15:48:10Z,48.29188,R+48,Bucshon +48,republican,IN-G-H-8-2020-11-03,in-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",320617,85970,13,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,653,666,98% reporting,98%,95,337000,edison,95%,95% reported,edison,republican,FALSE,2020-11-16T19:27:49Z,TRUE,37.10096,118952,R+37,Bucshon +37,republican,"","",0,0,1604454147081
18121,Parke,6901,0,17,17,Merged into voters' home precincts and released with cumulative results,100,6900,>98%,>98% reported,edison,6,unknown,3452,5293,1357,251,0,0,0,2020-11-16T15:48:11Z,57.03521,R+57,Bucshon +57,republican,IN-G-H-8-2020-11-03,in-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",320617,85970,13,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,653,666,98% reporting,98%,95,337000,edison,95%,95% reported,edison,republican,FALSE,2020-11-16T19:27:49Z,TRUE,37.10096,118952,R+37,Bucshon +37,republican,"","",0,0,1604454147081
