fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_fleischmannc,results_gormanm,results_hysella,results_sweitzerk,results_absentee_fleischmannc,results_absentee_gormanm,results_absentee_hysella,results_absentee_sweitzerk,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
47001,Anderson,34254,23002,27,27,Released as a precinct as first report of the night,99,34496,>98%,>98% reported,edison,4,some,24252,23053,10453,525,223,15725,6879,276,122,2020-11-14T16:39:15Z,36.78403,R+37,Fleischmann +37,republican,TN-G-H-3-2020-11-03,tn-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",319850,50057,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,275,276,99% reporting,99%,99,321000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-14T16:41:50Z,TRUE,36.83227,117808,R+37,Fleischmann +37,republican,"","",0,0,1604456490820
47011,Bradley,11995,8963,5,5,Released as a separate subtotal as first report of the night,100,11995,>98%,>98% reported,edison,6,all,30918,10039,1715,172,69,7477,1330,113,43,2020-11-14T16:40:30Z,69.39558,R+69,Fleischmann +69,republican,TN-G-H-3-2020-11-03,tn-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",319850,50057,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,275,276,99% reporting,99%,99,321000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-14T16:41:50Z,TRUE,36.83227,117808,R+37,Fleischmann +37,republican,"","",0,0,1604456490820
47013,Campbell,12086,0,16,17,Released as a separate subtotal as first report of the night,96,12569,96%,96% reported,edison,2,unknown,7473,10040,1780,175,91,0,0,0,0,2020-11-14T16:39:24Z,68.34354,R+68,Fleischmann +68,republican,TN-G-H-3-2020-11-03,tn-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",319850,50057,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,275,276,99% reporting,99%,99,321000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-14T16:41:50Z,TRUE,36.83227,117808,R+37,Fleischmann +37,republican,"","",0,0,1604456490820
47065,Hamilton,163819,0,135,135,Released as a separate subtotal as first report of the night,100,163820,>98%,>98% reported,edison,2,unknown,94364,93359,66960,2631,869,0,0,0,0,2020-11-14T16:40:30Z,16.11474,R+16,Fleischmann +16,republican,TN-G-H-3-2020-11-03,tn-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",319850,50057,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,275,276,99% reporting,99%,99,321000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-14T16:41:50Z,TRUE,36.83227,117808,R+37,Fleischmann +37,republican,"","",0,0,1604456490820
47107,McMinn,22004,0,15,15,Released as a separate subtotal as first report of the night,100,21711,>98%,>98% reported,edison,2,unknown,11950,17703,3735,372,194,0,0,0,0,2020-11-14T16:39:24Z,63.47937,R+63,Fleischmann +63,republican,TN-G-H-3-2020-11-03,tn-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",319850,50057,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,275,276,99% reporting,99%,99,321000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-14T16:41:50Z,TRUE,36.83227,117808,R+37,Fleischmann +37,republican,"","",0,0,1604456490820
47123,Monroe,19934,0,13,13,None,100,19797,>98%,>98% reported,edison,2,unknown,12043,16103,3371,313,147,0,0,0,0,2020-11-14T16:39:25Z,63.87077,R+64,Fleischmann +64,republican,TN-G-H-3-2020-11-03,tn-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",319850,50057,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,275,276,99% reporting,99%,99,321000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-14T16:41:50Z,TRUE,36.83227,117808,R+37,Fleischmann +37,republican,"","",0,0,1604456490820
47129,Morgan,7777,0,12,12,Released as a separate subtotal as first report of the night,100,7745,>98%,>98% reported,edison,2,unknown,3884,6563,1048,108,58,0,0,0,0,2020-11-14T16:40:31Z,70.91423,R+71,Fleischmann +71,republican,TN-G-H-3-2020-11-03,tn-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",319850,50057,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,275,276,99% reporting,99%,99,321000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-14T16:41:50Z,TRUE,36.83227,117808,R+37,Fleischmann +37,republican,"","",0,0,1604456490820
47139,Polk,8021,0,9,9,Merged into voters' home precincts and released with cumulative results,100,7563,>98%,>98% reported,edison,2,unknown,3504,6482,1391,103,45,0,0,0,0,2020-11-14T16:40:30Z,63.47089,R+63,Fleischmann +63,republican,TN-G-H-3-2020-11-03,tn-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",319850,50057,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,275,276,99% reporting,99%,99,321000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-14T16:41:50Z,TRUE,36.83227,117808,R+37,Fleischmann +37,republican,"","",0,0,1604456490820
47145,Roane,24690,18092,24,24,"As a precinct in the FIRST cumulative report, along with regular precincts",100,24690,>98%,>98% reported,edison,6,all,17291,18872,5191,430,197,13387,4331,266,108,2020-11-14T16:40:31Z,55.4111,R+55,Fleischmann +55,republican,TN-G-H-3-2020-11-03,tn-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",319850,50057,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,275,276,99% reporting,99%,99,321000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-14T16:41:50Z,TRUE,36.83227,117808,R+37,Fleischmann +37,republican,"","",0,0,1604456490820
47151,Scott,7934,0,10,10,Released as a precinct as first report of the night,96,8263,96%,96% reported,edison,2,unknown,4059,6979,807,97,51,0,0,0,0,2020-11-14T16:39:27Z,77.79178,R+78,Fleischmann +78,republican,TN-G-H-3-2020-11-03,tn-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",319850,50057,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,275,276,99% reporting,99%,99,321000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-14T16:41:50Z,TRUE,36.83227,117808,R+37,Fleischmann +37,republican,"","",0,0,1604456490820
