fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_bishops,results_coled,results_absentee_bishops,results_absentee_coled,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,results_write_ins,results_absentee_write_ins,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
13099,Early,5077,3664,5,5,Other,100,5077,>98%,>98% reported,edison,10,all,3645,2643,2434,1936,1728,2020-11-24T13:26:12Z,4.1166,D+4,Bishop +4,democrat,,,GA-G-H-2-2020-11-03,ga-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",273017,209633,29,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,211,211,100% reporting,100%,100,273017,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-24T13:24:15Z,TRUE,18.2322,49777,D+18,Bishop +18,democrat,TRUE,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604457873270
13131,Grady,10514,7871,13,13,Released as a precinct as first report of the night,100,10514,>98%,>98% reported,edison,10,unknown,7808,3927,6587,3159,4712,2020-11-24T13:26:12Z,25.2996,R+25,Cole +25,republican,0,0,GA-G-H-2-2020-11-03,ga-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",273017,209633,29,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,211,211,100% reporting,100%,100,273017,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-24T13:24:15Z,TRUE,18.2322,49777,D+18,Bishop +18,democrat,TRUE,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604457873270
13177,Lee,16469,12519,10,10,Merged into voters' home precincts and released with cumulative results,100,16469,>98%,>98% reported,edison,10,none,10498,5134,11335,4019,8500,2020-11-24T13:26:13Z,37.65256,R+38,Cole +38,republican,,,GA-G-H-2-2020-11-03,ga-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",273017,209633,29,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,211,211,100% reporting,100%,100,273017,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-24T13:24:15Z,TRUE,18.2322,49777,D+18,Bishop +18,democrat,TRUE,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604457873270
13193,Macon,4530,3517,5,5,Other,100,4530,>98%,>98% reported,edison,10,unknown,4178,2916,1614,2213,1304,2020-11-24T13:25:31Z,28.74172,D+29,Bishop +29,democrat,0,0,GA-G-H-2-2020-11-03,ga-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",273017,209633,29,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,211,211,100% reporting,100%,100,273017,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-24T13:24:15Z,TRUE,18.2322,49777,D+18,Bishop +18,democrat,TRUE,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604457873270
13197,Marion,3568,2596,5,5,Merged into voters' home precincts AFTER election night,100,3568,>98%,>98% reported,edison,10,unknown,2134,1476,2092,1185,1411,2020-11-24T13:25:32Z,17.26457,R+17,Cole +17,republican,0,0,GA-G-H-2-2020-11-03,ga-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",273017,209633,29,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,211,211,100% reporting,100%,100,273017,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-24T13:24:15Z,TRUE,18.2322,49777,D+18,Bishop +18,democrat,TRUE,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604457873270
13201,Miller,2739,2051,1,1,Released as a separate subtotal in the middle of the tabulation,100,2739,>98%,>98% reported,edison,10,unknown,2251,871,1868,663,1388,2020-11-24T13:26:13Z,36.40015,R+36,Cole +36,republican,,,GA-G-H-2-2020-11-03,ga-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",273017,209633,29,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,211,211,100% reporting,100%,100,273017,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-24T13:24:15Z,TRUE,18.2322,49777,D+18,Bishop +18,democrat,TRUE,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604457873270
13205,Mitchell,8829,6470,11,11,Other,100,8829,>98%,>98% reported,edison,10,unknown,6909,4429,4400,3437,3033,2020-11-24T13:26:13Z,0.32846,D+0.33,Bishop +0.33,democrat,,,GA-G-H-2-2020-11-03,ga-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",273017,209633,29,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,211,211,100% reporting,100%,100,273017,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-24T13:24:15Z,TRUE,18.2322,49777,D+18,Bishop +18,democrat,TRUE,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604457873270
13215,Muscogee,56586,47738,18,18,Merged into voters' home precincts and released with cumulative results,100,56586,>98%,>98% reported,edison,10,unknown,59253,41349,15237,35681,12057,2020-11-24T13:26:13Z,46.14569,D+46,Bishop +46,democrat,0,0,GA-G-H-2-2020-11-03,ga-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",273017,209633,29,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,211,211,100% reporting,100%,100,273017,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-24T13:24:15Z,TRUE,18.2322,49777,D+18,Bishop +18,democrat,TRUE,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604457873270
13225,Peach,12229,10470,7,7,Other,100,12229,>98%,>98% reported,edison,10,unknown,12557,6059,6170,5208,5262,2020-11-24T13:25:33Z,0.90768,R+0.91,Cole +0.91,republican,0,0,GA-G-H-2-2020-11-03,ga-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",273017,209633,29,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,211,211,100% reporting,100%,100,273017,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-24T13:24:15Z,TRUE,18.2322,49777,D+18,Bishop +18,democrat,TRUE,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604457873270
13239,Quitman,1066,750,2,2,None,100,1066,>98%,>98% reported,edison,10,unknown,990,544,522,357,393,2020-11-24T13:26:13Z,2.06379,D+2,Bishop +2,democrat,,,GA-G-H-2-2020-11-03,ga-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",273017,209633,29,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,211,211,100% reporting,100%,100,273017,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-24T13:24:15Z,TRUE,18.2322,49777,D+18,Bishop +18,democrat,TRUE,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604457873270
13243,Randolph,3024,2304,6,6,Other,100,3024,>98%,>98% reported,edison,10,all,2326,1863,1161,1396,908,2020-11-24T13:26:14Z,23.21429,D+23,Bishop +23,democrat,,,GA-G-H-2-2020-11-03,ga-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",273017,209633,29,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,211,211,100% reporting,100%,100,273017,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-24T13:24:15Z,TRUE,18.2322,49777,D+18,Bishop +18,democrat,TRUE,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604457873270
13249,Schley,2228,1861,1,1,Released as a precinct as first report of the night,100,2228,>98%,>98% reported,edison,10,unknown,1795,553,1675,461,1400,2020-11-24T13:25:36Z,50.35907,R+50,Cole +50,republican,,,GA-G-H-2-2020-11-03,ga-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",273017,209633,29,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,211,211,100% reporting,100%,100,273017,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-24T13:24:15Z,TRUE,18.2322,49777,D+18,Bishop +18,democrat,TRUE,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604457873270
13253,Seminole,3781,2573,5,5,Other,100,3781,>98%,>98% reported,edison,10,unknown,2571,1361,2420,1014,1559,2020-11-24T13:26:14Z,28.00846,R+28,Cole +28,republican,0,0,GA-G-H-2-2020-11-03,ga-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",273017,209633,29,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,211,211,100% reporting,100%,100,273017,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-24T13:24:15Z,TRUE,18.2322,49777,D+18,Bishop +18,democrat,TRUE,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604457873270
13259,Stewart,1943,1428,4,4,None,100,1943,>98%,>98% reported,edison,10,unknown,1402,1247,696,923,505,2020-11-24T13:26:14Z,28.35821,D+28,Bishop +28,democrat,0,0,GA-G-H-2-2020-11-03,ga-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",273017,209633,29,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,211,211,100% reporting,100%,100,273017,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-24T13:24:15Z,TRUE,18.2322,49777,D+18,Bishop +18,democrat,TRUE,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604457873270
13261,Sumter,11995,9321,11,11,Merged into voters' home precincts and released with cumulative results,100,11995,>98%,>98% reported,edison,10,some,10757,6790,5205,5488,3833,2020-11-24T13:26:14Z,13.21384,D+13,Bishop +13,democrat,,,GA-G-H-2-2020-11-03,ga-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",273017,209633,29,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,211,211,100% reporting,100%,100,273017,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-24T13:24:15Z,TRUE,18.2322,49777,D+18,Bishop +18,democrat,TRUE,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604457873270
13263,Talbot,3454,2458,7,7,Merged into voters' home precincts and released with cumulative results,100,3454,>98%,>98% reported,edison,10,unknown,2304,2180,1274,1620,838,2020-11-24T13:25:38Z,26.23046,D+26,Bishop +26,democrat,,,GA-G-H-2-2020-11-03,ga-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",273017,209633,29,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,211,211,100% reporting,100%,100,273017,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-24T13:24:15Z,TRUE,18.2322,49777,D+18,Bishop +18,democrat,TRUE,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604457873270
13269,Taylor,3745,3119,3,3,Released as a separate subtotal as first report of the night,100,3745,>98%,>98% reported,edison,10,unknown,2794,1484,2261,1197,1922,2020-11-24T13:25:39Z,20.74766,R+21,Cole +21,republican,,,GA-G-H-2-2020-11-03,ga-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",273017,209633,29,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,211,211,100% reporting,100%,100,273017,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-24T13:24:15Z,TRUE,18.2322,49777,D+18,Bishop +18,democrat,TRUE,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604457873270
13273,Terrell,4369,3131,6,6,Merged into voters' home precincts and released with cumulative results,100,4369,>98%,>98% reported,edison,10,unknown,3389,2591,1778,1942,1189,2020-11-24T13:26:14Z,18.60838,D+19,Bishop +19,democrat,0,0,GA-G-H-2-2020-11-03,ga-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",273017,209633,29,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,211,211,100% reporting,100%,100,273017,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-24T13:24:15Z,TRUE,18.2322,49777,D+18,Bishop +18,democrat,TRUE,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604457873270
13307,Webster,1375,1099,1,1,Released as a precinct as first report of the night,100,1375,>98%,>98% reported,edison,10,unknown,994,699,676,535,564,2020-11-24T13:26:15Z,1.67273,D+1.7,Bishop +1.7,democrat,,,GA-G-H-2-2020-11-03,ga-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",273017,209633,29,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,211,211,100% reporting,100%,100,273017,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-24T13:24:15Z,TRUE,18.2322,49777,D+18,Bishop +18,democrat,TRUE,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604457873270
