fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_hyde_smithc,results_espym,results_edwardsj,results_write_ins,results_absentee_hyde_smithc,results_absentee_espym,results_absentee_edwardsj,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
28001,Adams,12242,0,19,19,None,100,12268,>98%,>98% reported,edison,6,all,,1098,,,4969,7133,140,0,0,0,0,0,2020-11-16T15:47:44Z,17.67685,D+18,Espy +18,democrat,mississippi,2020-11-19T00:45:30.462541Z
28003,Alcorn,15644,0,17,17,Merged into voters' home precincts and released with cumulative results,99,15811,>98%,>98% reported,edison,10,unknown,,1390,,,11616,3641,378,9,0,0,0,0,2020-11-16T15:47:44Z,50.97801,R+51,Hyde-Smith +51,republican,mississippi,2020-11-19T00:45:30.462541Z
28005,Amite,7172,0,21,21,Merged into voters' home precincts and released with cumulative results,100,7207,>98%,>98% reported,edison,10,all,,466,,,4347,2750,74,1,0,0,0,0,2020-11-16T15:47:45Z,22.26715,R+22,Hyde-Smith +22,republican,mississippi,2020-11-19T00:45:30.462541Z
28007,Attala,8825,0,20,20,Merged into voters' home precincts and released with cumulative results,100,8832,>98%,>98% reported,edison,10,unknown,,476,,,4888,3824,108,5,0,0,0,0,2020-11-16T15:47:45Z,12.05666,R+12,Hyde-Smith +12,republican,mississippi,2020-11-19T00:45:30.462541Z
28009,Benton,4282,0,5,5,Merged into voters' home precincts and released with cumulative results,100,4292,>98%,>98% reported,edison,10,unknown,,442,,,2320,1868,92,2,0,0,0,0,2020-11-16T15:47:45Z,10.55582,R+11,Hyde-Smith +11,republican,mississippi,2020-11-19T00:45:30.462541Z
28011,Bolivar,13751,0,28,28,None,100,13755,>98%,>98% reported,edison,10,unknown,,410,,,4317,9330,102,2,0,0,0,0,2020-11-16T19:25:10Z,36.45553,D+36,Espy +36,democrat,mississippi,2020-11-19T00:45:30.462541Z
28013,Calhoun,6593,0,10,10,Merged into voters' home precincts and released with cumulative results,100,6595,>98%,>98% reported,edison,10,unknown,,532,,,4341,2138,112,2,0,0,0,0,2020-11-16T15:47:46Z,33.41423,R+33,Hyde-Smith +33,republican,mississippi,2020-11-19T00:45:30.462541Z
28015,Carroll,5723,0,14,14,None,97,5874,97%,97% reported,edison,4,unknown,,342,,,3716,1923,84,0,0,0,0,0,2020-11-18T19:22:36Z,31.32972,R+31,Hyde-Smith +31,republican,mississippi,2020-11-19T00:45:30.462541Z
28017,Chickasaw,8160,0,15,15,None,100,8160,>98%,>98% reported,edison,10,unknown,,476,,,3913,4134,112,1,0,0,0,0,2020-11-16T15:47:47Z,2.70833,D+3,Espy +3,democrat,mississippi,2020-11-19T00:45:30.462541Z
28019,Choctaw,4209,0,13,13,Merged into voters' home precincts and released with cumulative results,100,4225,>98%,>98% reported,edison,10,unknown,,246,,,2811,1320,78,0,0,0,0,0,2020-11-16T15:47:48Z,35.42409,R+35,Hyde-Smith +35,republican,mississippi,2020-11-19T00:45:30.462541Z
28021,Claiborne,4489,0,11,11,Released as a separate subtotal at the end of tabulation,100,4489,>98%,>98% reported,edison,10,unknown,,776,,,555,3907,26,1,0,0,0,0,2020-11-16T15:47:49Z,74.67142,D+75,Espy +75,democrat,mississippi,2020-11-19T00:45:30.462541Z
