fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_inhofej,results_broylesa,results_murphyr,results_farrj,results_nesbita,results_absentee_inhofej,results_absentee_broylesa,results_absentee_murphyr,results_absentee_farrj,results_absentee_nesbita,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
40001,Adair,7074,1286,17,17,Released as a separate subtotal as first report of the night,100,7108,>98%,>98% reported,edison,10,unknown,,1456,,,5134,1615,138,124,63,807,419,29,23,8,2020-11-16T15:48:23Z,49.74555,R+50,Inhofe +50,republican,oklahoma,2020-11-19T00:45:47.540438Z
40003,Alfalfa,2258,531,8,8,Released as a separate subtotal as first report of the night,100,2262,>98%,>98% reported,edison,10,unknown,,512,,,1899,262,46,38,13,412,97,9,11,2,2020-11-16T15:48:24Z,72.49779,R+72,Inhofe +72,republican,oklahoma,2020-11-19T00:45:47.540438Z
40005,Atoka,5346,1552,17,17,Released as a separate subtotal as first report of the night,99,5389,>98%,>98% reported,edison,10,unknown,,1779,,,4380,798,83,54,31,1200,306,30,10,6,2020-11-16T15:48:25Z,67.00337,R+67,Inhofe +67,republican,oklahoma,2020-11-19T00:45:47.540438Z
40007,Beaver,2164,503,7,7,Released as a separate subtotal as first report of the night,99,2178,>98%,>98% reported,edison,10,unknown,,675,,,1889,195,43,22,15,413,77,7,3,3,2020-11-16T15:48:25Z,78.28096,R+78,Inhofe +78,republican,oklahoma,2020-11-19T00:45:47.540438Z
40009,Beckham,7927,2182,13,13,Released as a separate subtotal as first report of the night,100,7948,>98%,>98% reported,edison,10,unknown,,1622,,,6417,1196,178,89,47,1674,432,45,17,14,2020-11-16T15:48:26Z,65.8635,R+66,Inhofe +66,republican,oklahoma,2020-11-19T00:45:47.540438Z
40011,Blaine,3886,823,9,9,Released as a separate subtotal as first report of the night,100,3901,>98%,>98% reported,edison,10,unknown,,846,,,2987,751,65,59,24,586,205,13,15,4,2020-11-16T15:48:27Z,57.53989,R+58,Inhofe +58,republican,oklahoma,2020-11-19T00:45:47.540438Z
40013,Bryan,15907,3511,22,22,Released as a separate subtotal as first report of the night,100,15976,>98%,>98% reported,edison,10,unknown,,2874,,,11928,3335,358,185,101,2195,1205,59,27,25,2020-11-16T15:48:27Z,54.02024,R+54,Inhofe +54,republican,oklahoma,2020-11-19T00:45:47.540438Z
40015,Caddo,9838,1529,20,20,Released as a separate subtotal as first report of the night,100,9859,>98%,>98% reported,edison,10,unknown,,1565,,,6761,2665,186,151,75,852,629,18,16,14,2020-11-16T15:48:27Z,41.63448,R+42,Inhofe +42,republican,oklahoma,2020-11-19T00:45:47.540438Z
40017,Canadian,61681,15901,50,50,Released as a separate subtotal as first report of the night,100,61940,>98%,>98% reported,edison,10,unknown,,10027,,,41519,17386,1525,818,433,8138,7231,246,190,96,2020-11-16T15:48:28Z,39.1255,R+39,Inhofe +39,republican,oklahoma,2020-11-19T00:45:47.540438Z
40019,Carter,19424,4254,25,25,Released as a separate subtotal as first report of the night,100,19479,>98%,>98% reported,edison,10,unknown,,3955,,,14344,4352,345,243,140,2570,1574,41,36,33,2020-11-16T15:48:28Z,51.44152,R+51,Inhofe +51,republican,oklahoma,2020-11-19T00:45:47.540438Z
40021,Cherokee,17662,4747,24,24,Released as a separate subtotal as first report of the night,100,17714,>98%,>98% reported,edison,10,unknown,,5304,,,10249,6519,436,302,156,2157,2412,77,72,29,2020-11-16T15:48:29Z,21.11879,R+21,Inhofe +21,republican,oklahoma,2020-11-19T00:45:47.540438Z
40023,Choctaw,5802,1737,17,17,Released as a separate subtotal as first report of the night,99,5832,>98%,>98% reported,edison,10,unknown,,1486,,,4555,1070,74,67,36,1319,382,15,12,9,2020-11-16T15:48:29Z,60.06549,R+60,Inhofe +60,republican,oklahoma,2020-11-19T00:45:47.540438Z
40025,Cimarron,1043,404,6,6,Released as a separate subtotal as first report of the night,99,1054,>98%,>98% reported,edison,10,unknown,,672,,,948,64,14,11,6,367,26,3,5,3,2020-11-16T15:48:29Z,84.75551,R+85,Inhofe +85,republican,oklahoma,2020-11-19T00:45:47.540438Z
40027,Cleveland,119554,47155,84,84,Released as a separate subtotal as first report of the night,100,119778,>98%,>98% reported,edison,10,all,,18829,,,64540,49632,2890,1635,857,19786,25970,708,426,265,2020-11-16T15:48:30Z,12.46968,R+12,Inhofe +12,republican,oklahoma,2020-11-19T00:45:47.540438Z
40029,Coal,2481,782,9,9,Released as a separate subtotal as first report of the night,98,2524,98%,98% reported,edison,10,unknown,,818,,,1964,430,33,30,24,600,157,8,10,7,2020-11-16T15:48:30Z,61.82991,R+62,Inhofe +62,republican,oklahoma,2020-11-19T00:45:47.540438Z
