fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_millerc,results_turnerh,results_absentee_millerc,results_absentee_turnerh,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,results_write_ins,results_absentee_write_ins,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
54005,Boone,8360,0,23,26,Other,100,8319,>98%,>98% reported,edison,6,all,2061,5898,2462,0,0,2020-11-16T15:48:12Z,41.10048,R+41,Miller +41,republican,,,WV-G-H-3-2020-11-03,wv-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",226426,22246,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,565,605,93% reporting,93%,94,241000,edison,94%,94% reported,edison,republican,FALSE,2020-11-20T14:19:08Z,TRUE,42.66427,96603,R+43,Miller +43,republican,"","",6,0,1604458747970
54011,Cabell,36269,0,71,71,None,100,36394,>98%,>98% reported,edison,2,unknown,13914,21744,14525,0,0,2020-11-16T15:48:12Z,19.90405,R+20,Miller +20,republican,,,WV-G-H-3-2020-11-03,wv-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",226426,22246,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,565,605,93% reporting,93%,94,241000,edison,94%,94% reported,edison,republican,FALSE,2020-11-20T14:19:08Z,TRUE,42.66427,96603,R+43,Miller +43,republican,"","",6,0,1604458747970
54019,Fayette,15920,0,35,37,Merged into voters' home precincts and released with cumulative results,100,15850,>98%,>98% reported,edison,6,all,4426,10574,5346,0,0,2020-11-16T15:48:13Z,32.8392,R+33,Miller +33,republican,,,WV-G-H-3-2020-11-03,wv-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",226426,22246,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,565,605,93% reporting,93%,94,241000,edison,94%,94% reported,edison,republican,FALSE,2020-11-20T14:19:08Z,TRUE,42.66427,96603,R+43,Miller +43,republican,"","",6,0,1604458747970
54025,Greenbrier,15323,0,29,29,Other,99,15473,>98%,>98% reported,edison,4,all,5698,10642,4681,0,0,2020-11-16T15:48:13Z,38.9023,R+39,Miller +39,republican,,,WV-G-H-3-2020-11-03,wv-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",226426,22246,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,565,605,93% reporting,93%,94,241000,edison,94%,94% reported,edison,republican,FALSE,2020-11-20T14:19:08Z,TRUE,42.66427,96603,R+43,Miller +43,republican,"","",6,0,1604458747970
54043,Lincoln,7303,0,15,16,Other,94,7773,94%,94% reported,edison,2,unknown,2981,5274,2029,0,0,2020-11-16T15:48:14Z,44.43379,R+44,Miller +44,republican,,,WV-G-H-3-2020-11-03,wv-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",226426,22246,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,565,605,93% reporting,93%,94,241000,edison,94%,94% reported,edison,republican,FALSE,2020-11-20T14:19:08Z,TRUE,42.66427,96603,R+43,Miller +43,republican,"","",6,0,1604458747970
54045,Logan,11244,0,30,36,None,83,13595,83%,83% reported,edison,2,unknown,3142,8601,2643,0,0,2020-11-16T15:48:14Z,52.98826,R+53,Miller +53,republican,,,WV-G-H-3-2020-11-03,wv-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",226426,22246,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,565,605,93% reporting,93%,94,241000,edison,94%,94% reported,edison,republican,FALSE,2020-11-20T14:19:08Z,TRUE,42.66427,96603,R+43,Miller +43,republican,"","",6,0,1604458747970
54053,Mason,10588,0,28,30,Released as a separate subtotal as first report of the night,94,11205,94%,94% reported,edison,4,all,4762,7680,2894,0,0,2020-11-16T15:48:20Z,45.20212,R+45,Miller +45,republican,14,0,WV-G-H-3-2020-11-03,wv-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",226426,22246,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,565,605,93% reporting,93%,94,241000,edison,94%,94% reported,edison,republican,FALSE,2020-11-20T14:19:08Z,TRUE,42.66427,96603,R+43,Miller +43,republican,"","",6,0,1604458747970
54047,McDowell,5691,0,31,37,None,83,6823,83%,83% reported,edison,2,unknown,1014,4315,1376,0,0,2020-11-16T15:48:14Z,51.64295,R+52,Miller +52,republican,,,WV-G-H-3-2020-11-03,wv-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",226426,22246,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,565,605,93% reporting,93%,94,241000,edison,94%,94% reported,edison,republican,FALSE,2020-11-20T14:19:08Z,TRUE,42.66427,96603,R+43,Miller +43,republican,"","",6,0,1604458747970
54055,Mercer,24113,0,45,47,Merged into voters' home precincts and released with cumulative results,100,24061,>98%,>98% reported,edison,6,all,10426,18561,5552,0,0,2020-11-16T15:48:15Z,53.95015,R+54,Miller +54,republican,,,WV-G-H-3-2020-11-03,wv-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",226426,22246,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,565,605,93% reporting,93%,94,241000,edison,94%,94% reported,edison,republican,FALSE,2020-11-20T14:19:08Z,TRUE,42.66427,96603,R+43,Miller +43,republican,"","",6,0,1604458747970
54059,Mingo,8829,0,32,38,Other,84,10461,84%,84% reported,edison,2,unknown,1698,7045,1784,0,0,2020-11-16T15:48:15Z,59.58772,R+60,Miller +60,republican,,,WV-G-H-3-2020-11-03,wv-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",226426,22246,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,565,605,93% reporting,93%,94,241000,edison,94%,94% reported,edison,republican,FALSE,2020-11-20T14:19:08Z,TRUE,42.66427,96603,R+43,Miller +43,republican,"","",6,0,1604458747970
