fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_greenem,results_van_ausdalk,results_write_ins,results_absentee_greenem,results_absentee_van_ausdalk,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
13047,Catoosa,31518,25402,11,11,None,99,31834,>98%,>98% reported,edison,4,unknown,21358,24744,6670,104,19648,5678,76,2020-11-20T23:05:47Z,57.34501,R+57,Greene +57,republican,GA-G-H-14-2020-11-03,ga-house-general-district-014-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-14.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 14,U.S. House,H,solid-rep,14,District 14,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",307894,232855,12,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,152,152,100% reporting,100%,100,307000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-20T14:24:14Z,FALSE,49.36731,151999,R+49,Greene +49,republican,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604456259924
13055,Chattooga,9545,6787,13,13,Released with cumulative results periodically election night,96,9902,96%,96% reported,edison,2,unknown,5234,7673,1872,,5309,1478,,2020-11-20T21:36:11Z,60.77528,R+61,Greene +61,republican,GA-G-H-14-2020-11-03,ga-house-general-district-014-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-14.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 14,U.S. House,H,solid-rep,14,District 14,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",307894,232855,12,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,152,152,100% reporting,100%,100,307000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-20T14:24:14Z,FALSE,49.36731,151999,R+49,Greene +49,republican,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604456259924
13083,Dade,7144,4941,7,7,Merged into voters' home precincts and released with cumulative results,95,7490,95%,95% reported,edison,2,all,4573,5887,1219,38,3947,966,28,2020-11-20T21:45:03Z,65.34155,R+65,Greene +65,republican,GA-G-H-14-2020-11-03,ga-house-general-district-014-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-14.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 14,U.S. House,H,solid-rep,14,District 14,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",307894,232855,12,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,152,152,100% reporting,100%,100,307000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-20T14:24:14Z,FALSE,49.36731,151999,R+49,Greene +49,republican,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604456259924
13115,Floyd,39289,29278,25,25,None,95,41228,95%,95% reported,edison,4,unknown,25280,28011,11278,,20238,9040,,2020-11-20T14:20:42Z,42.58953,R+43,Greene +43,republican,GA-G-H-14-2020-11-03,ga-house-general-district-014-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-14.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 14,U.S. House,H,solid-rep,14,District 14,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",307894,232855,12,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,152,152,100% reporting,100%,100,307000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-20T14:24:14Z,FALSE,49.36731,151999,R+49,Greene +49,republican,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604456259924
13129,Gordon,22970,15184,12,12,Other,100,22655,>98%,>98% reported,edison,2,some,12109,18608,4362,,11903,3281,,2020-11-20T21:48:05Z,62.02003,R+62,Greene +62,republican,GA-G-H-14-2020-11-03,ga-house-general-district-014-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-14.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 14,U.S. House,H,solid-rep,14,District 14,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",307894,232855,12,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,152,152,100% reporting,100%,100,307000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-20T14:24:14Z,FALSE,49.36731,151999,R+49,Greene +49,republican,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604456259924
13143,Haralson,13852,9242,12,12,Merged into voters' home precincts and released with cumulative results,100,13589,>98%,>98% reported,edison,2,all,6862,12045,1768,39,7835,1385,22,2020-11-20T23:08:28Z,74.19145,R+74,Greene +74,republican,GA-G-H-14-2020-11-03,ga-house-general-district-014-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-14.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 14,U.S. House,H,solid-rep,14,District 14,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",307894,232855,12,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,152,152,100% reporting,100%,100,307000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-20T14:24:14Z,FALSE,49.36731,151999,R+49,Greene +49,republican,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604456259924
13213,Murray,14773,10499,7,7,Merged into voters' home precincts and released with cumulative results,100,14766,>98%,>98% reported,edison,6,all,6982,12526,2247,,8783,1716,,2020-11-20T21:34:05Z,69.57964,R+70,Greene +70,republican,GA-G-H-14-2020-11-03,ga-house-general-district-014-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-14.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 14,U.S. House,H,solid-rep,14,District 14,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",307894,232855,12,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,152,152,100% reporting,100%,100,307000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-20T14:24:14Z,FALSE,49.36731,151999,R+49,Greene +49,republican,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604456259924
13223,Paulding,83021,69571,19,19,Released as a precinct as first report of the night,100,77569,>98%,>98% reported,edison,2,unknown,61685,54528,28493,,44730,24841,,2020-11-20T21:32:29Z,31.35954,R+31,Greene +31,republican,GA-G-H-14-2020-11-03,ga-house-general-district-014-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-14.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 14,U.S. House,H,solid-rep,14,District 14,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",307894,232855,12,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,152,152,100% reporting,100%,100,307000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-20T14:24:14Z,FALSE,49.36731,151999,R+49,Greene +49,republican,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604456259924
13227,Pickens,5785,3065,5,5,"As a precinct in the FIRST cumulative report, along with regular precincts",100,5641,>98%,>98% reported,edison,2,unknown,10978,5088,697,,2564,501,,2020-11-20T21:31:54Z,75.9032,R+76,Greene +76,republican,GA-G-H-14-2020-11-03,ga-house-general-district-014-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-14.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 14,U.S. House,H,solid-rep,14,District 14,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",307894,232855,12,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,152,152,100% reporting,100%,100,307000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-20T14:24:14Z,FALSE,49.36731,151999,R+49,Greene +49,republican,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604456259924
13233,Polk,16745,13343,7,7,Released as a precinct as first report of the night,98,17004,98%,98% reported,edison,2,unknown,13243,13254,3491,,10446,2897,,2020-11-20T21:31:22Z,58.30397,R+58,Greene +58,republican,GA-G-H-14-2020-11-03,ga-house-general-district-014-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-14.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 14,U.S. House,H,solid-rep,14,District 14,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",307894,232855,12,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,152,152,100% reporting,100%,100,307000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-20T14:24:14Z,FALSE,49.36731,151999,R+49,Greene +49,republican,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604456259924
