fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_wittmanr,results_rashidq,results_absentee_wittmanr,results_absentee_rashidq,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
51033,Caroline,15946,7698,12,13,None,96,16614,96%,96% reported,edison,2,unknown,1350,8992,6954,3214,4484,2020-11-16T15:48:13Z,12.78063,R+13,Wittman +13,republican,VA-G-H-1-2020-11-03,va-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,VA,virginia,Virginia,Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",447633,286604,20,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,228,235,97% reporting,97%,97,463000,edison,97%,97% reported,edison,republican,FALSE,2020-11-20T14:19:47Z,TRUE,16.48203,73779,R+16,Wittman +16,republican,"","",3,0,1604451899826
51057,Essex,6089,3830,5,5,"As a precinct in the FIRST cumulative report, along with regular precincts",97,6265,97%,97% reported,edison,2,unknown,644,3385,2704,1968,1862,2020-11-17T20:38:45Z,11.1841,R+11,Wittman +11,republican,VA-G-H-1-2020-11-03,va-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,VA,virginia,Virginia,Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",447633,286604,20,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,228,235,97% reporting,97%,97,463000,edison,97%,97% reported,edison,republican,FALSE,2020-11-20T14:19:47Z,TRUE,16.48203,73779,R+16,Wittman +16,republican,"","",3,0,1604451899826
51061,Fauquier,8638,5050,4,4,None,100,8631,>98%,>98% reported,edison,2,none,4691,6121,2517,3095,1955,2020-11-17T20:39:15Z,41.72262,R+42,Wittman +42,republican,VA-G-H-1-2020-11-03,va-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,VA,virginia,Virginia,Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",447633,286604,20,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,228,235,97% reporting,97%,97,463000,edison,97%,97% reported,edison,republican,FALSE,2020-11-20T14:19:47Z,TRUE,16.48203,73779,R+16,Wittman +16,republican,"","",3,0,1604451899826
51630,Fredericksburg,12519,8692,6,6,None,100,12438,>98%,>98% reported,edison,6,unknown,1464,4830,7689,2802,5890,2020-11-16T15:48:25Z,22.83729,D+23,Rashid +23,democrat,VA-G-H-1-2020-11-03,va-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,VA,virginia,Virginia,Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",447633,286604,20,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,228,235,97% reporting,97%,97,463000,edison,97%,97% reported,edison,republican,FALSE,2020-11-20T14:19:47Z,TRUE,16.48203,73779,R+16,Wittman +16,republican,"","",3,0,1604451899826
51073,Gloucester,21936,11258,12,12,Released separately AFTER election night,96,22862,96%,96% reported,edison,4,none,1618,16059,5877,7046,4212,2020-11-17T20:41:14Z,46.41685,R+46,Wittman +46,republican,VA-G-H-1-2020-11-03,va-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,VA,virginia,Virginia,Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",447633,286604,20,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,228,235,97% reporting,97%,97,463000,edison,97%,97% reported,edison,republican,FALSE,2020-11-20T14:19:47Z,TRUE,16.48203,73779,R+16,Wittman +16,republican,"","",3,0,1604451899826
51085,Hanover,69117,42269,35,37,Released separately AFTER election night,95,72981,95%,95% reported,edison,2,unknown,5539,47211,21906,25712,16557,2020-11-17T20:42:47Z,36.61183,R+37,Wittman +37,republican,VA-G-H-1-2020-11-03,va-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,VA,virginia,Virginia,Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",447633,286604,20,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,228,235,97% reporting,97%,97,463000,edison,97%,97% reported,edison,republican,FALSE,2020-11-20T14:19:47Z,TRUE,16.48203,73779,R+16,Wittman +16,republican,"","",3,0,1604451899826
51095,James City,38517,29067,13,14,"As a precinct in the FIRST cumulative report, along with regular precincts",90,42703,90%,90% reported,edison,4,unknown,7037,21571,16946,14394,14673,2020-11-17T20:44:03Z,12.00768,R+12,Wittman +12,republican,VA-G-H-1-2020-11-03,va-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,VA,virginia,Virginia,Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",447633,286604,20,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,228,235,97% reporting,97%,97,463000,edison,97%,97% reported,edison,republican,FALSE,2020-11-20T14:19:47Z,TRUE,16.48203,73779,R+16,Wittman +16,republican,"","",3,0,1604451899826
51099,King George,14096,9691,6,6,"As a precinct in the FIRST cumulative report, along with regular precincts",100,14011,>98%,>98% reported,edison,4,unknown,1496,9539,4557,6029,3662,2020-11-17T20:44:21Z,35.34336,R+35,Wittman +35,republican,VA-G-H-1-2020-11-03,va-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,VA,virginia,Virginia,Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",447633,286604,20,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,228,235,97% reporting,97%,97,463000,edison,97%,97% reported,edison,republican,FALSE,2020-11-20T14:19:47Z,TRUE,16.48203,73779,R+16,Wittman +16,republican,"","",3,0,1604451899826
51101,King William,10440,4677,7,7,Released separately AFTER election night,98,10660,98%,98% reported,edison,4,unknown,566,7569,2871,2839,1838,2020-11-17T20:44:30Z,45,R+45,Wittman +45,republican,VA-G-H-1-2020-11-03,va-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,VA,virginia,Virginia,Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",447633,286604,20,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,228,235,97% reporting,97%,97,463000,edison,97%,97% reported,edison,republican,FALSE,2020-11-20T14:19:47Z,TRUE,16.48203,73779,R+16,Wittman +16,republican,"","",3,0,1604451899826
51097,King and Queen,4058,1875,6,6,"As a precinct in the FIRST cumulative report, along with regular precincts",94,4297,94%,94% reported,edison,2,unknown,354,2607,1451,977,898,2020-11-17T20:44:12Z,28.48694,R+28,Wittman +28,republican,VA-G-H-1-2020-11-03,va-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,VA,virginia,Virginia,Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",447633,286604,20,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,228,235,97% reporting,97%,97,463000,edison,97%,97% reported,edison,republican,FALSE,2020-11-20T14:19:47Z,TRUE,16.48203,73779,R+16,Wittman +16,republican,"","",3,0,1604451899826
