fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_bishops,results_coled,results_absentee_bishops,results_absentee_coled,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
13007,Baker,1516,1083,5,5,"Released as first report, then NOT included in cumulative results",95,1590,95%,95% reported,edison,2,unknown,1091,780,736,589,494,2020-11-20T21:22:29Z,2.90237,D+3,Bishop +3,democrat,GA-G-H-2-2020-11-03,ga-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",273013,209633,29,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,202,211,96% reporting,96%,86,318000,edison,86%,86% reported,edison,democrat,FALSE,2020-11-20T14:22:39Z,TRUE,18.23466,49783,D+18,Bishop +18,democrat,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604457873270
13021,Bibb,44745,33531,21,21,Released as a separate subtotal in the middle of the tabulation,86,52119,86%,86% reported,edison,4,unknown,38674,32001,12744,25186,8345,2020-11-20T21:26:15Z,43.03721,D+43,Bishop +43,democrat,GA-G-H-2-2020-11-03,ga-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",273013,209633,29,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,202,211,96% reporting,96%,86,318000,edison,86%,86% reported,edison,democrat,FALSE,2020-11-20T14:22:39Z,TRUE,18.23466,49783,D+18,Bishop +18,democrat,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604457873270
13037,Calhoun,2159,1523,5,5,Merged into voters' home precincts and released with cumulative results,100,2169,>98%,>98% reported,edison,2,unknown,1318,1465,694,1032,491,2020-11-20T01:38:43Z,35.71098,D+36,Bishop +36,democrat,GA-G-H-2-2020-11-03,ga-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",273013,209633,29,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,202,211,96% reporting,96%,86,318000,edison,86%,86% reported,edison,democrat,FALSE,2020-11-20T14:22:39Z,TRUE,18.23466,49783,D+18,Bishop +18,democrat,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604457873270
13053,Chattahoochee,1528,1082,1,1,None,100,1527,>98%,>98% reported,edison,6,all,126,715,813,550,532,2020-11-20T23:06:38Z,6.41361,R+6,Cole +6,republican,GA-G-H-2-2020-11-03,ga-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",273013,209633,29,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,202,211,96% reporting,96%,86,318000,edison,86%,86% reported,edison,democrat,FALSE,2020-11-20T14:22:39Z,TRUE,18.23466,49783,D+18,Bishop +18,democrat,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604457873270
13061,Clay,1420,1126,5,5,Merged into voters' home precincts and released with cumulative results,100,1418,>98%,>98% reported,edison,6,all,907,839,581,653,473,2020-11-20T21:38:05Z,18.16901,D+18,Bishop +18,democrat,GA-G-H-2-2020-11-03,ga-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",273013,209633,29,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,202,211,96% reporting,96%,86,318000,edison,86%,86% reported,edison,democrat,FALSE,2020-11-20T14:22:39Z,TRUE,18.23466,49783,D+18,Bishop +18,democrat,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604457873270
13079,Crawford,5939,4543,6,6,Released as a separate subtotal as first report of the night,90,6607,90%,90% reported,edison,2,unknown,4342,1774,4165,1459,3084,2020-11-20T21:44:13Z,40.2593,R+40,Cole +40,republican,GA-G-H-2-2020-11-03,ga-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",273013,209633,29,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,202,211,96% reporting,96%,86,318000,edison,86%,86% reported,edison,democrat,FALSE,2020-11-20T14:22:39Z,TRUE,18.23466,49783,D+18,Bishop +18,democrat,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604457873270
13081,Crisp,7948,6400,5,5,None,100,7942,>98%,>98% reported,edison,6,all,6558,3157,4791,2529,3871,2020-11-20T23:07:01Z,20.55863,R+21,Cole +21,republican,GA-G-H-2-2020-11-03,ga-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",273013,209633,29,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,202,211,96% reporting,96%,86,318000,edison,86%,86% reported,edison,democrat,FALSE,2020-11-20T14:22:39Z,TRUE,18.23466,49783,D+18,Bishop +18,democrat,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604457873270
13087,Decatur,11381,9137,9,9,Merged into voters' home precincts and released with cumulative results,100,11344,>98%,>98% reported,edison,2,unknown,9618,5128,6253,4229,4908,2020-11-20T21:45:35Z,9.8849,R+10,Cole +10,republican,GA-G-H-2-2020-11-03,ga-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",273013,209633,29,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,202,211,96% reporting,96%,86,318000,edison,86%,86% reported,edison,democrat,FALSE,2020-11-20T14:22:39Z,TRUE,18.23466,49783,D+18,Bishop +18,democrat,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604457873270
13093,Dooly,3982,3052,5,5,Released as a precinct as first report of the night,96,4135,96%,96% reported,edison,2,unknown,3453,1994,1988,1495,1557,2020-11-20T21:41:25Z,0.15068,D+0.15,Bishop +0.15,democrat,GA-G-H-2-2020-11-03,ga-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",273013,209633,29,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,202,211,96% reporting,96%,86,318000,edison,86%,86% reported,edison,democrat,FALSE,2020-11-20T14:22:39Z,TRUE,18.23466,49783,D+18,Bishop +18,democrat,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604457873270
13095,Dougherty,34874,23216,28,28,None,100,27056,>98%,>98% reported,edison,6,unknown,27832,25429,9445,17514,5702,2020-11-20T23:07:19Z,45.83357,D+46,Bishop +46,democrat,GA-G-H-2-2020-11-03,ga-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",273013,209633,29,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,202,211,96% reporting,96%,86,318000,edison,86%,86% reported,edison,democrat,FALSE,2020-11-20T14:22:39Z,TRUE,18.23466,49783,D+18,Bishop +18,democrat,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604457873270
