fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_thompsong,results_williamsr,results_absentee_thompsong,results_absentee_williamsr,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
42005,Armstrong,35373,0,60,62,Merged into voters' home precincts AFTER election night,96,36677,96%,96% reported,edison,2,unknown,2059,26787,8586,0,0,2020-11-12T20:54:46Z,51.4545,R+51,Thompson +51,republican,PA-G-H-15-2020-11-03,pa-house-general-district-015-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-15.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 15,U.S. House,H,solid-rep,15,District 15,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",345883,5747,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,573,595,96% reporting,96%,96,359000,edison,96%,96% reported,edison,republican,FALSE,2020-11-12T22:12:47Z,TRUE,46.93986,162357,R+47,Thompson +47,republican,"","",3,0,1604462105199
42019,Butler,20182,0,16,17,Released as a separate subtotal at the end of tabulation,96,21060,96%,96% reported,edison,4,none,7869,15409,4773,0,0,2020-11-11T03:25:44Z,52.70043,R+53,Thompson +53,republican,PA-G-H-15-2020-11-03,pa-house-general-district-015-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-15.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 15,U.S. House,H,solid-rep,15,District 15,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",345883,5747,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,573,595,96% reporting,96%,96,359000,edison,96%,96% reported,edison,republican,FALSE,2020-11-12T22:12:47Z,TRUE,46.93986,162357,R+47,Thompson +47,republican,"","",3,0,1604462105199
42021,Cambria,47093,0,81,84,Merged into voters' home precincts AFTER election night,96,48901,96%,96% reported,edison,2,some,4526,33825,13268,0,0,2020-11-12T19:08:46Z,43.65192,R+44,Thompson +44,republican,PA-G-H-15-2020-11-03,pa-house-general-district-015-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-15.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 15,U.S. House,H,solid-rep,15,District 15,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",345883,5747,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,573,595,96% reporting,96%,96,359000,edison,96%,96% reported,edison,republican,FALSE,2020-11-12T22:12:47Z,TRUE,46.93986,162357,R+47,Thompson +47,republican,"","",3,0,1604462105199
42023,Cameron,2417,0,10,10,Merged into voters' home precincts AFTER election night,100,1662,>98%,>98% reported,edison,6,none,235,1861,556,0,0,2020-11-11T03:25:45Z,53.99255,R+54,Thompson +54,republican,PA-G-H-15-2020-11-03,pa-house-general-district-015-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-15.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 15,U.S. House,H,solid-rep,15,District 15,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",345883,5747,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,573,595,96% reporting,96%,96,359000,edison,96%,96% reported,edison,republican,FALSE,2020-11-12T22:12:47Z,TRUE,46.93986,162357,R+47,Thompson +47,republican,"","",3,0,1604462105199
42027,Centre,35084,0,47,48,Merged into voters' home precincts and released with cumulative results,98,35807,98%,98% reported,edison,2,unknown,6518,22053,13031,0,0,2020-11-11T03:25:55Z,25.71543,R+26,Thompson +26,republican,PA-G-H-15-2020-11-03,pa-house-general-district-015-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-15.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 15,U.S. House,H,solid-rep,15,District 15,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",345883,5747,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,573,595,96% reporting,96%,96,359000,edison,96%,96% reported,edison,republican,FALSE,2020-11-12T22:12:47Z,TRUE,46.93986,162357,R+47,Thompson +47,republican,"","",3,0,1604462105199
42031,Clarion,19278,0,38,41,Merged into voters' home precincts and released with cumulative results,95,20341,95%,95% reported,edison,4,some,1514,15034,4244,0,0,2020-11-12T19:30:46Z,55.97054,R+56,Thompson +56,republican,PA-G-H-15-2020-11-03,pa-house-general-district-015-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-15.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 15,U.S. House,H,solid-rep,15,District 15,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",345883,5747,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,573,595,96% reporting,96%,96,359000,edison,96%,96% reported,edison,republican,FALSE,2020-11-12T22:12:47Z,TRUE,46.93986,162357,R+47,Thompson +47,republican,"","",3,0,1604462105199
42033,Clearfield,38690,0,68,70,Merged into voters' home precincts and released with cumulative results,97,39754,97%,97% reported,edison,2,unknown,2733,29801,8889,0,0,2020-11-11T03:25:46Z,54.05014,R+54,Thompson +54,republican,PA-G-H-15-2020-11-03,pa-house-general-district-015-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-15.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 15,U.S. House,H,solid-rep,15,District 15,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",345883,5747,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,573,595,96% reporting,96%,96,359000,edison,96%,96% reported,edison,republican,FALSE,2020-11-12T22:12:47Z,TRUE,46.93986,162357,R+47,Thompson +47,republican,"","",3,0,1604462105199
42047,Elk,16739,0,29,29,None,100,16734,>98%,>98% reported,edison,2,all,1149,12589,4150,0,0,2020-11-12T20:20:46Z,50.4152,R+50,Thompson +50,republican,PA-G-H-15-2020-11-03,pa-house-general-district-015-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-15.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 15,U.S. House,H,solid-rep,15,District 15,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",345883,5747,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,573,595,96% reporting,96%,96,359000,edison,96%,96% reported,edison,republican,FALSE,2020-11-12T22:12:47Z,TRUE,46.93986,162357,R+47,Thompson +47,republican,"","",3,0,1604462105199
42053,Forest,2586,0,8,9,Merged into voters' home precincts and released with cumulative results,100,2586,>98%,>98% reported,edison,6,unknown,302,1914,672,0,0,2020-11-11T03:25:47Z,48.02784,R+48,Thompson +48,republican,PA-G-H-15-2020-11-03,pa-house-general-district-015-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-15.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 15,U.S. House,H,solid-rep,15,District 15,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",345883,5747,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,573,595,96% reporting,96%,96,359000,edison,96%,96% reported,edison,republican,FALSE,2020-11-12T22:12:47Z,TRUE,46.93986,162357,R+47,Thompson +47,republican,"","",3,0,1604462105199
42063,Indiana,40497,0,64,69,None,92,43813,92%,92% reported,edison,2,unknown,2701,28051,12446,0,0,2020-11-11T03:25:47Z,38.53372,R+39,Thompson +39,republican,PA-G-H-15-2020-11-03,pa-house-general-district-015-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-15.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 15,U.S. House,H,solid-rep,15,District 15,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",345883,5747,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,573,595,96% reporting,96%,96,359000,edison,96%,96% reported,edison,republican,FALSE,2020-11-12T22:12:47Z,TRUE,46.93986,162357,R+47,Thompson +47,republican,"","",3,0,1604462105199
