fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_kellym,results_mcsallym,results_write_ins,results_absentee_kellym,results_absentee_mcsallym,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
04001,Apache,34344,23696,44,44,Released as a separate subtotal as first report of the night,95,36000,95%,95% reported,edison,4,some,,14686,,,23489,10855,,16750,6946,,2020-11-11T03:26:24Z,36.78663,D+37,Kelly +37,democrat,arizona,2020-11-14T00:44:35.855796Z
04003,Cochise,58417,48104,47,49,Released as a separate subtotal as first report of the night,96,60600,96%,96% reported,edison,4,unknown,,40322,,,24424,33993,,22400,25704,,2020-11-13T00:28:46Z,16.38051,R+16,McSally +16,republican,arizona,2020-11-14T00:44:35.855796Z
04005,Coconino,72716,60421,71,71,Released as a separate subtotal as first report of the night,99,73174,>98%,>98% reported,edison,6,some,,37503,,,45471,27245,,39808,20613,,2020-11-11T03:26:19Z,25.06464,D+25,Kelly +25,democrat,arizona,2020-11-14T00:44:35.855796Z
04007,Gila,27537,22673,39,39,Released as a separate subtotal as first report of the night,100,27662,>98%,>98% reported,edison,6,all,,22311,,,9648,17889,,8031,14642,,2020-11-11T03:26:20Z,29.92701,R+30,McSally +30,republican,arizona,2020-11-14T00:44:35.855796Z
04009,Graham,14809,10243,22,22,Released separately AFTER election night,99,14993,>98%,>98% reported,edison,6,unknown,,9380,,,4506,10303,,3237,7006,,2020-11-13T21:40:47Z,39.14511,R+39,McSally +39,republican,arizona,2020-11-14T00:44:35.855796Z
04011,Greenlee,3628,2572,7,8,Released as a separate subtotal as first report of the night,98,3685,98%,98% reported,edison,6,unknown,,2450,,,1403,2225,,1150,1422,,2020-11-11T03:26:21Z,22.65711,R+23,McSally +23,republican,arizona,2020-11-14T00:44:35.855796Z
04012,La Paz,7327,4417,11,11,Merged into voters' home precincts and released with cumulative results,98,7458,98%,98% reported,edison,6,none,,3932,,,2492,4835,,1652,2765,,2020-11-11T03:26:21Z,31.97762,R+32,McSally +32,republican,arizona,2020-11-14T00:44:35.855796Z
04013,Maricopa,2048599,1880052,743,743,Released as a separate subtotal as first report of the night,99,2070300,>98%,>98% reported,edison,4,some,,1489023,,,1064396,984203,,998951,881101,,2020-11-14T00:02:46Z,3.91453,D+4,Kelly +4,democrat,arizona,2020-11-14T00:44:35.855796Z
04015,Mohave,102773,78278,24,24,Released as a separate subtotal as first report of the night,98,104667,98%,98% reported,edison,6,some,,66610,,,27414,75359,,23639,54639,,2020-11-12T21:21:42Z,46.65136,R+47,McSally +47,republican,arizona,2020-11-14T00:44:35.855796Z
04017,Navajo,51348,35944,14,14,Merged into voters' home precincts and released with cumulative results,99,51767,>98%,>98% reported,edison,6,unknown,,28592,,,24396,26952,,17602,18342,,2020-11-11T03:26:15Z,4.9778,R+5,McSally +5,republican,arizona,2020-11-14T00:44:35.855796Z
04019,Pima,516459,451498,249,249,Released as a separate subtotal as first report of the night,99,520300,>98%,>98% reported,edison,4,some,,406810,,,309142,207317,,285349,166149,,2020-11-13T18:15:47Z,19.71599,D+20,Kelly +20,democrat,arizona,2020-11-14T00:44:35.855796Z
04021,Pinal,183756,146687,102,102,Released as a separate subtotal as first report of the night,99,185525,>98%,>98% reported,edison,6,all,,88536,,,79114,104048,594,68096,78111,480,2020-11-12T17:25:43Z,13.56908,R+14,McSally +14,republican,arizona,2020-11-14T00:44:35.855796Z
04023,Santa Cruz,19374,15521,23,24,Released as a separate subtotal as first report of the night,99,19556,>98%,>98% reported,edison,6,unknown,,11041,,,13689,5685,,11401,4120,,2020-11-11T03:26:18Z,41.3131,D+41,Kelly +41,democrat,arizona,2020-11-14T00:44:35.855796Z
04025,Yavapai,142032,124097,45,45,Released as a separate subtotal as first report of the night,99,143221,>98%,>98% reported,edison,6,all,,100553,,,51852,90180,,48715,75382,,2020-11-11T23:10:43Z,26.98547,R+27,McSally +27,republican,arizona,2020-11-14T00:44:35.855796Z
04027,Yuma,67696,58428,44,44,Released as a separate subtotal as first report of the night,96,70500,96%,96% reported,edison,4,unknown,,37798,,,33257,34439,,29398,29030,,2020-11-11T03:26:11Z,1.74604,R+1.7,McSally +1.7,republican,arizona,2020-11-14T00:44:35.855796Z
