fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_fortenberryj,results_bolzk,results_graced,results_absentee_fortenberryj,results_absentee_bolzk,results_absentee_graced,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
31021,Burt,3655,0,3,3,Released as a precinct as first report of the night,92,3957,92%,92% reported,edison,2,unknown,925,2657,893,105,0,0,0,2020-11-09T23:00:36Z,48.26265,R+48,Fortenberry +48,republican,NE-G-H-1-2020-11-03,ne-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-nebraska.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,NE,nebraska,Nebraska,Neb.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",313641,95263,4,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,459,463,99% reporting,99%,99,310000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-09T23:00:39Z,TRUE,21.88872,68652,R+22,Fortenberry +22,republican,"","",0,0,1604468265239
31023,Butler,4436,0,12,12,Released as a precinct as first report of the night,100,4397,>98%,>98% reported,edison,2,unknown,1013,3568,780,88,0,0,0,2020-11-04T10:43:55Z,62.84941,R+63,Fortenberry +63,republican,NE-G-H-1-2020-11-03,ne-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-nebraska.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,NE,nebraska,Nebraska,Neb.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",313641,95263,4,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,459,463,99% reporting,99%,99,310000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-09T23:00:39Z,TRUE,21.88872,68652,R+22,Fortenberry +22,republican,"","",0,0,1604468265239
31025,Cass,14968,5781,30,30,Released as a separate subtotal as first report of the night,100,13787,>98%,>98% reported,edison,6,some,4685,10350,4145,473,3270,2355,156,2020-11-07T00:00:40Z,41.4551,R+41,Fortenberry +41,republican,NE-G-H-1-2020-11-03,ne-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-nebraska.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,NE,nebraska,Nebraska,Neb.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",313641,95263,4,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,459,463,99% reporting,99%,99,310000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-09T23:00:39Z,TRUE,21.88872,68652,R+22,Fortenberry +22,republican,"","",0,0,1604468265239
31037,Colfax,3656,1487,6,6,"Released as first report, then NOT included in cumulative results",100,3555,>98%,>98% reported,edison,2,some,1195,2720,856,80,968,483,36,2020-11-07T00:00:40Z,50.98468,R+51,Fortenberry +51,republican,NE-G-H-1-2020-11-03,ne-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-nebraska.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,NE,nebraska,Nebraska,Neb.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",313641,95263,4,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,459,463,99% reporting,99%,99,310000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-09T23:00:39Z,TRUE,21.88872,68652,R+22,Fortenberry +22,republican,"","",0,0,1604468265239
31039,Cuming,4363,0,8,8,None,97,4507,97%,97% reported,edison,2,unknown,1174,3576,699,88,0,0,0,2020-11-04T10:43:59Z,65.94087,R+66,Fortenberry +66,republican,NE-G-H-1-2020-11-03,ne-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-nebraska.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,NE,nebraska,Nebraska,Neb.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",313641,95263,4,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,459,463,99% reporting,99%,99,310000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-09T23:00:39Z,TRUE,21.88872,68652,R+22,Fortenberry +22,republican,"","",0,0,1604468265239
31051,Dixon,118,0,1,1,Other,100,101,>98%,>98% reported,edison,2,unknown,3510,83,31,4,0,0,0,2020-11-04T10:43:59Z,44.0678,R+44,Fortenberry +44,republican,NE-G-H-1-2020-11-03,ne-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-nebraska.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,NE,nebraska,Nebraska,Neb.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",313641,95263,4,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,459,463,99% reporting,99%,99,310000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-09T23:00:39Z,TRUE,21.88872,68652,R+22,Fortenberry +22,republican,"","",0,0,1604468265239
31053,Dodge,16599,0,33,34,"As a precinct in the FIRST cumulative report, along with regular precincts",97,17095,97%,97% reported,edison,4,unknown,4152,11530,4565,504,0,0,0,2020-11-04T10:43:59Z,41.96036,R+42,Fortenberry +42,republican,NE-G-H-1-2020-11-03,ne-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-nebraska.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,NE,nebraska,Nebraska,Neb.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",313641,95263,4,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,459,463,99% reporting,99%,99,310000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-09T23:00:39Z,TRUE,21.88872,68652,R+22,Fortenberry +22,republican,"","",0,0,1604468265239
31109,Lancaster,153527,84188,199,199,Released as a precinct at the end of tabulation,100,148477,>98%,>98% reported,edison,2,some,53608,74328,75127,4072,31390,50984,1814,2020-11-09T23:00:36Z,0.52043,D+0.52,Bolz +0.52,democrat,NE-G-H-1-2020-11-03,ne-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-nebraska.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,NE,nebraska,Nebraska,Neb.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",313641,95263,4,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,459,463,99% reporting,99%,99,310000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-09T23:00:39Z,TRUE,21.88872,68652,R+22,Fortenberry +22,republican,"","",0,0,1604468265239
31119,Madison,15251,0,22,23,Released as a precinct as first report of the night,96,15830,96%,96% reported,edison,2,unknown,4174,11842,3005,404,0,0,0,2020-11-04T10:44:00Z,57.94374,R+58,Fortenberry +58,republican,NE-G-H-1-2020-11-03,ne-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-nebraska.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,NE,nebraska,Nebraska,Neb.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",313641,95263,4,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,459,463,99% reporting,99%,99,310000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-09T23:00:39Z,TRUE,21.88872,68652,R+22,Fortenberry +22,republican,"","",0,0,1604468265239
31131,Otoe,8181,3807,14,14,Released as a precinct as first report of the night,100,8181,>98%,>98% reported,edison,6,some,2920,5708,2278,195,2258,1474,75,2020-11-04T10:44:01Z,41.92641,R+42,Fortenberry +42,republican,NE-G-H-1-2020-11-03,ne-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-nebraska.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,NE,nebraska,Nebraska,Neb.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",313641,95263,4,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,459,463,99% reporting,99%,99,310000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-09T23:00:39Z,TRUE,21.88872,68652,R+22,Fortenberry +22,republican,"","",0,0,1604468265239
