fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_herrelly,results_smallx,results_write_ins,results_absentee_herrelly,results_absentee_smallx,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,nyt_race_description_race,race_rating_race,nyt_key_race_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
35001,Bernalillo,1006,0,2,2,Released as a separate subtotal as first report of the night,100,915,>98%,>98% reported,edison,6,all,298190,273,729,4,0,0,0,2020-11-16T15:48:25Z,45.32803,D+45,Small +45,democrat,NM-G-H-2-2020-11-03,nm-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-mexico-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-mexico.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-mexico.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,"Two years ago, Yvette Herrell, a Republican, declared victory on election night only to have Xochitl Torres Small, a Democrat, eventually be declared the victor by just over 3,700 votes. This year, Ms. Herrell is running again in the traditionally Republican district, implying in ads that the Democrats stole the seat with fraudulent ballots (election officials <a href=""https://www.lcsun-news.com/story/news/2020/02/14/yvette-herrell-ad-claims-democrats-took-election-her-2018/4739095002"">call those claims false</a>) and highlighting her allegiance to the president in a race that polling suggests is a tossup.",tossup,TRUE,2,District 2,NM,new-mexico,New Mexico,N.M.,horizontal,"",FALSE,TRUE,winner,AP,TRUE,democrat,262138,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,578,578,100% reporting,100%,97,272000,edison,97%,97% reported,edison,democrat,FALSE,2020-11-16T15:48:24Z,TRUE,7.80543,20461,R+8,Herrell +8,republican,"","",0,0,1604474057502
35003,Catron,2216,0,9,9,Released as a precinct as first report of the night,100,2216,>98%,>98% reported,edison,6,all,1475,1606,603,7,0,0,0,2020-11-16T15:48:26Z,45.26173,R+45,Herrell +45,republican,NM-G-H-2-2020-11-03,nm-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-mexico-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-mexico.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-mexico.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,"Two years ago, Yvette Herrell, a Republican, declared victory on election night only to have Xochitl Torres Small, a Democrat, eventually be declared the victor by just over 3,700 votes. This year, Ms. Herrell is running again in the traditionally Republican district, implying in ads that the Democrats stole the seat with fraudulent ballots (election officials <a href=""https://www.lcsun-news.com/story/news/2020/02/14/yvette-herrell-ad-claims-democrats-took-election-her-2018/4739095002"">call those claims false</a>) and highlighting her allegiance to the president in a race that polling suggests is a tossup.",tossup,TRUE,2,District 2,NM,new-mexico,New Mexico,N.M.,horizontal,"",FALSE,TRUE,winner,AP,TRUE,democrat,262138,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,578,578,100% reporting,100%,97,272000,edison,97%,97% reported,edison,democrat,FALSE,2020-11-16T15:48:24Z,TRUE,7.80543,20461,R+8,Herrell +8,republican,"","",0,0,1604474057502
35005,Chaves,22028,0,63,63,Released as a separate subtotal as first report of the night,100,18291,>98%,>98% reported,edison,6,all,18822,14965,7060,3,0,0,0,2020-11-16T15:48:26Z,35.88614,R+36,Herrell +36,republican,NM-G-H-2-2020-11-03,nm-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-mexico-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-mexico.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-mexico.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,"Two years ago, Yvette Herrell, a Republican, declared victory on election night only to have Xochitl Torres Small, a Democrat, eventually be declared the victor by just over 3,700 votes. This year, Ms. Herrell is running again in the traditionally Republican district, implying in ads that the Democrats stole the seat with fraudulent ballots (election officials <a href=""https://www.lcsun-news.com/story/news/2020/02/14/yvette-herrell-ad-claims-democrats-took-election-her-2018/4739095002"">call those claims false</a>) and highlighting her allegiance to the president in a race that polling suggests is a tossup.",tossup,TRUE,2,District 2,NM,new-mexico,New Mexico,N.M.,horizontal,"",FALSE,TRUE,winner,AP,TRUE,democrat,262138,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,578,578,100% reporting,100%,97,272000,edison,97%,97% reported,edison,democrat,FALSE,2020-11-16T15:48:24Z,TRUE,7.80543,20461,R+8,Herrell +8,republican,"","",0,0,1604474057502
35006,Cibola,8578,0,17,17,Released as a separate subtotal at the end of tabulation,94,9171,94%,94% reported,edison,2,some,5168,3795,4783,0,0,0,0,2020-11-16T15:48:26Z,11.51784,D+12,Small +12,democrat,NM-G-H-2-2020-11-03,nm-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-mexico-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-mexico.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-mexico.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,"Two years ago, Yvette Herrell, a Republican, declared victory on election night only to have Xochitl Torres Small, a Democrat, eventually be declared the victor by just over 3,700 votes. This year, Ms. Herrell is running again in the traditionally Republican district, implying in ads that the Democrats stole the seat with fraudulent ballots (election officials <a href=""https://www.lcsun-news.com/story/news/2020/02/14/yvette-herrell-ad-claims-democrats-took-election-her-2018/4739095002"">call those claims false</a>) and highlighting her allegiance to the president in a race that polling suggests is a tossup.",tossup,TRUE,2,District 2,NM,new-mexico,New Mexico,N.M.,horizontal,"",FALSE,TRUE,winner,AP,TRUE,democrat,262138,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,578,578,100% reporting,100%,97,272000,edison,97%,97% reported,edison,democrat,FALSE,2020-11-16T15:48:24Z,TRUE,7.80543,20461,R+8,Herrell +8,republican,"","",0,0,1604474057502
35011,DeBaca,880,0,4,4,Other,100,882,>98%,>98% reported,edison,6,unknown,541,612,268,0,0,0,0,2020-11-16T15:48:26Z,39.09091,R+39,Herrell +39,republican,NM-G-H-2-2020-11-03,nm-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-mexico-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-mexico.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-mexico.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,"Two years ago, Yvette Herrell, a Republican, declared victory on election night only to have Xochitl Torres Small, a Democrat, eventually be declared the victor by just over 3,700 votes. This year, Ms. Herrell is running again in the traditionally Republican district, implying in ads that the Democrats stole the seat with fraudulent ballots (election officials <a href=""https://www.lcsun-news.com/story/news/2020/02/14/yvette-herrell-ad-claims-democrats-took-election-her-2018/4739095002"">call those claims false</a>) and highlighting her allegiance to the president in a race that polling suggests is a tossup.",tossup,TRUE,2,District 2,NM,new-mexico,New Mexico,N.M.,horizontal,"",FALSE,TRUE,winner,AP,TRUE,democrat,262138,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,578,578,100% reporting,100%,97,272000,edison,97%,97% reported,edison,democrat,FALSE,2020-11-16T15:48:24Z,TRUE,7.80543,20461,R+8,Herrell +8,republican,"","",0,0,1604474057502
35013,Dona Ana,80012,0,170,170,Released as a separate subtotal as first report of the night,100,79799,>98%,>98% reported,edison,4,some,55667,31382,48621,9,0,0,0,2020-11-16T15:48:27Z,21.54552,D+22,Small +22,democrat,NM-G-H-2-2020-11-03,nm-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-mexico-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-mexico.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-mexico.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,"Two years ago, Yvette Herrell, a Republican, declared victory on election night only to have Xochitl Torres Small, a Democrat, eventually be declared the victor by just over 3,700 votes. This year, Ms. Herrell is running again in the traditionally Republican district, implying in ads that the Democrats stole the seat with fraudulent ballots (election officials <a href=""https://www.lcsun-news.com/story/news/2020/02/14/yvette-herrell-ad-claims-democrats-took-election-her-2018/4739095002"">call those claims false</a>) and highlighting her allegiance to the president in a race that polling suggests is a tossup.",tossup,TRUE,2,District 2,NM,new-mexico,New Mexico,N.M.,horizontal,"",FALSE,TRUE,winner,AP,TRUE,democrat,262138,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,578,578,100% reporting,100%,97,272000,edison,97%,97% reported,edison,democrat,FALSE,2020-11-16T15:48:24Z,TRUE,7.80543,20461,R+8,Herrell +8,republican,"","",0,0,1604474057502
35015,Eddy,22480,0,55,55,Merged into voters' home precincts and released with cumulative results,100,22568,>98%,>98% reported,edison,4,none,14448,16559,5921,0,0,0,0,2020-11-16T15:48:27Z,47.32206,R+47,Herrell +47,republican,NM-G-H-2-2020-11-03,nm-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-mexico-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-mexico.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-mexico.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,"Two years ago, Yvette Herrell, a Republican, declared victory on election night only to have Xochitl Torres Small, a Democrat, eventually be declared the victor by just over 3,700 votes. This year, Ms. Herrell is running again in the traditionally Republican district, implying in ads that the Democrats stole the seat with fraudulent ballots (election officials <a href=""https://www.lcsun-news.com/story/news/2020/02/14/yvette-herrell-ad-claims-democrats-took-election-her-2018/4739095002"">call those claims false</a>) and highlighting her allegiance to the president in a race that polling suggests is a tossup.",tossup,TRUE,2,District 2,NM,new-mexico,New Mexico,N.M.,horizontal,"",FALSE,TRUE,winner,AP,TRUE,democrat,262138,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,578,578,100% reporting,100%,97,272000,edison,97%,97% reported,edison,democrat,FALSE,2020-11-16T15:48:24Z,TRUE,7.80543,20461,R+8,Herrell +8,republican,"","",0,0,1604474057502
35017,Grant,14103,0,39,39,Released as a separate subtotal as first report of the night,98,14457,98%,98% reported,edison,2,unknown,12286,6254,7849,0,0,0,0,2020-11-16T15:48:27Z,11.30965,D+11,Small +11,democrat,NM-G-H-2-2020-11-03,nm-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-mexico-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-mexico.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-mexico.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,"Two years ago, Yvette Herrell, a Republican, declared victory on election night only to have Xochitl Torres Small, a Democrat, eventually be declared the victor by just over 3,700 votes. This year, Ms. Herrell is running again in the traditionally Republican district, implying in ads that the Democrats stole the seat with fraudulent ballots (election officials <a href=""https://www.lcsun-news.com/story/news/2020/02/14/yvette-herrell-ad-claims-democrats-took-election-her-2018/4739095002"">call those claims false</a>) and highlighting her allegiance to the president in a race that polling suggests is a tossup.",tossup,TRUE,2,District 2,NM,new-mexico,New Mexico,N.M.,horizontal,"",FALSE,TRUE,winner,AP,TRUE,democrat,262138,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,578,578,100% reporting,100%,97,272000,edison,97%,97% reported,edison,democrat,FALSE,2020-11-16T15:48:24Z,TRUE,7.80543,20461,R+8,Herrell +8,republican,"","",0,0,1604474057502
35019,Guadalupe,2116,0,7,7,Released as a separate subtotal at the end of tabulation,100,2116,>98%,>98% reported,edison,6,unknown,1781,768,1346,2,0,0,0,2020-11-16T15:48:27Z,27.31569,D+27,Small +27,democrat,NM-G-H-2-2020-11-03,nm-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-mexico-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-mexico.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-mexico.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,"Two years ago, Yvette Herrell, a Republican, declared victory on election night only to have Xochitl Torres Small, a Democrat, eventually be declared the victor by just over 3,700 votes. This year, Ms. Herrell is running again in the traditionally Republican district, implying in ads that the Democrats stole the seat with fraudulent ballots (election officials <a href=""https://www.lcsun-news.com/story/news/2020/02/14/yvette-herrell-ad-claims-democrats-took-election-her-2018/4739095002"">call those claims false</a>) and highlighting her allegiance to the president in a race that polling suggests is a tossup.",tossup,TRUE,2,District 2,NM,new-mexico,New Mexico,N.M.,horizontal,"",FALSE,TRUE,winner,AP,TRUE,democrat,262138,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,578,578,100% reporting,100%,97,272000,edison,97%,97% reported,edison,democrat,FALSE,2020-11-16T15:48:24Z,TRUE,7.80543,20461,R+8,Herrell +8,republican,"","",0,0,1604474057502
35023,Hidalgo,1874,0,7,7,Released as a precinct at the end of tabulation,88,2124,88%,88% reported,edison,4,some,1219,1003,871,0,0,0,0,2020-11-16T15:48:28Z,7.04376,R+7,Herrell +7,republican,NM-G-H-2-2020-11-03,nm-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-mexico-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-mexico.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-mexico.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,"Two years ago, Yvette Herrell, a Republican, declared victory on election night only to have Xochitl Torres Small, a Democrat, eventually be declared the victor by just over 3,700 votes. This year, Ms. Herrell is running again in the traditionally Republican district, implying in ads that the Democrats stole the seat with fraudulent ballots (election officials <a href=""https://www.lcsun-news.com/story/news/2020/02/14/yvette-herrell-ad-claims-democrats-took-election-her-2018/4739095002"">call those claims false</a>) and highlighting her allegiance to the president in a race that polling suggests is a tossup.",tossup,TRUE,2,District 2,NM,new-mexico,New Mexico,N.M.,horizontal,"",FALSE,TRUE,winner,AP,TRUE,democrat,262138,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,578,578,100% reporting,100%,97,272000,edison,97%,97% reported,edison,democrat,FALSE,2020-11-16T15:48:24Z,TRUE,7.80543,20461,R+8,Herrell +8,republican,"","",0,0,1604474057502
