fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_leger_fernandezt,results_johnsona,results_absentee_leger_fernandezt,results_absentee_johnsona,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
35001,Bernalillo,15196,0,27,27,Released as a separate subtotal as first report of the night,100,13671,>98%,>98% reported,edison,6,all,298190,7920,7276,0,0,2020-11-16T15:47:47Z,4.23796,D+4,Leger Fernandez +4,democrat,NM-G-H-3-2020-11-03,nm-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-mexico-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-mexico.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-mexico.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-dem,3,District 3,NM,new-mexico,New Mexico,N.M.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",301163,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,600,633,95% reporting,95%,94,319000,edison,94%,94% reported,edison,democrat,FALSE,2020-11-18T17:17:50Z,FALSE,15.85221,47741,D+16,Leger Fernandez +16,democrat,"","",0,0,1604463231412
35007,Colfax,5921,0,10,10,Released as a separate subtotal at the end of tabulation,99,5975,>98%,>98% reported,edison,2,unknown,3562,2789,3132,0,0,2020-11-16T15:47:48Z,5.79294,R+6,Johnson +6,republican,NM-G-H-3-2020-11-03,nm-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-mexico-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-mexico.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-mexico.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-dem,3,District 3,NM,new-mexico,New Mexico,N.M.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",301163,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,600,633,95% reporting,95%,94,319000,edison,94%,94% reported,edison,democrat,FALSE,2020-11-18T17:17:50Z,FALSE,15.85221,47741,D+16,Leger Fernandez +16,democrat,"","",0,0,1604463231412
35009,Curry,14448,0,36,37,Released as a precinct at the end of tabulation,100,14448,>98%,>98% reported,edison,6,all,10835,4185,10263,0,0,2020-11-16T15:47:48Z,42.06811,R+42,Johnson +42,republican,NM-G-H-3-2020-11-03,nm-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-mexico-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-mexico.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-mexico.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-dem,3,District 3,NM,new-mexico,New Mexico,N.M.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",301163,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,600,633,95% reporting,95%,94,319000,edison,94%,94% reported,edison,democrat,FALSE,2020-11-18T17:17:50Z,FALSE,15.85221,47741,D+16,Leger Fernandez +16,democrat,"","",0,0,1604463231412
35021,Harding,482,0,4,4,Merged into voters' home precincts and released with cumulative results,81,595,81%,81% reported,edison,2,unknown,578,188,294,0,0,2020-11-16T15:47:49Z,21.9917,R+22,Johnson +22,republican,NM-G-H-3-2020-11-03,nm-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-mexico-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-mexico.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-mexico.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-dem,3,District 3,NM,new-mexico,New Mexico,N.M.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",301163,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,600,633,95% reporting,95%,94,319000,edison,94%,94% reported,edison,democrat,FALSE,2020-11-18T17:17:50Z,FALSE,15.85221,47741,D+16,Leger Fernandez +16,democrat,"","",0,0,1604463231412
35028,Los Alamos,4417,0,8,21,Released as a separate subtotal as first report of the night,37,11894,37%,37% reported,edison,4,unknown,11450,2449,1968,0,0,2020-11-16T15:47:49Z,10.88974,D+11,Leger Fernandez +11,democrat,NM-G-H-3-2020-11-03,nm-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-mexico-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-mexico.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-mexico.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-dem,3,District 3,NM,new-mexico,New Mexico,N.M.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",301163,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,600,633,95% reporting,95%,94,319000,edison,94%,94% reported,edison,democrat,FALSE,2020-11-18T17:17:50Z,FALSE,15.85221,47741,D+16,Leger Fernandez +16,democrat,"","",0,0,1604463231412
35031,McKinley,21455,0,48,49,Released as a separate subtotal as first report of the night,100,21455,>98%,>98% reported,edison,6,all,10742,14164,7291,0,0,2020-11-16T15:47:50Z,32.03449,D+32,Leger Fernandez +32,democrat,NM-G-H-3-2020-11-03,nm-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-mexico-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-mexico.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-mexico.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-dem,3,District 3,NM,new-mexico,New Mexico,N.M.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",301163,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,600,633,95% reporting,95%,94,319000,edison,94%,94% reported,edison,democrat,FALSE,2020-11-18T17:17:50Z,FALSE,15.85221,47741,D+16,Leger Fernandez +16,democrat,"","",0,0,1604463231412
35033,Mora,2588,0,11,11,Released as a separate subtotal as first report of the night,95,2730,95%,95% reported,edison,2,unknown,1890,1866,722,0,0,2020-11-16T15:47:50Z,44.20402,D+44,Leger Fernandez +44,democrat,NM-G-H-3-2020-11-03,nm-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-mexico-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-mexico.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-mexico.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-dem,3,District 3,NM,new-mexico,New Mexico,N.M.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",301163,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,600,633,95% reporting,95%,94,319000,edison,94%,94% reported,edison,democrat,FALSE,2020-11-18T17:17:50Z,FALSE,15.85221,47741,D+16,Leger Fernandez +16,democrat,"","",0,0,1604463231412
35037,Quay,3766,0,12,12,Other,94,4022,94%,94% reported,edison,2,unknown,3005,1212,2554,0,0,2020-11-16T15:47:50Z,35.63463,R+36,Johnson +36,republican,NM-G-H-3-2020-11-03,nm-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-mexico-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-mexico.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-mexico.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-dem,3,District 3,NM,new-mexico,New Mexico,N.M.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",301163,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,600,633,95% reporting,95%,94,319000,edison,94%,94% reported,edison,democrat,FALSE,2020-11-18T17:17:50Z,FALSE,15.85221,47741,D+16,Leger Fernandez +16,democrat,"","",0,0,1604463231412
35039,Rio Arriba,16020,0,23,23,None,96,16662,96%,96% reported,edison,4,none,8994,11380,4640,0,0,2020-11-16T15:47:51Z,42.07241,D+42,Leger Fernandez +42,democrat,NM-G-H-3-2020-11-03,nm-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-mexico-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-mexico.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-mexico.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-dem,3,District 3,NM,new-mexico,New Mexico,N.M.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",301163,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,600,633,95% reporting,95%,94,319000,edison,94%,94% reported,edison,democrat,FALSE,2020-11-18T17:17:50Z,FALSE,15.85221,47741,D+16,Leger Fernandez +16,democrat,"","",0,0,1604463231412
35041,Roosevelt,3506,0,11,11,Released as a separate subtotal as first report of the night,100,3506,>98%,>98% reported,edison,6,unknown,4750,1122,2384,0,0,2020-11-16T15:47:51Z,35.99544,R+36,Johnson +36,republican,NM-G-H-3-2020-11-03,nm-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-mexico-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-mexico.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-mexico.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-dem,3,District 3,NM,new-mexico,New Mexico,N.M.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",301163,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,600,633,95% reporting,95%,94,319000,edison,94%,94% reported,edison,democrat,FALSE,2020-11-18T17:17:50Z,FALSE,15.85221,47741,D+16,Leger Fernandez +16,democrat,"","",0,0,1604463231412
