fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_jacksonr,results_trujillog,results_westbrookj,results_absentee_jacksonr,results_absentee_trujillog,results_absentee_westbrookj,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
48009,Archer,4704,3553,10,12,Released as a precinct as first report of the night,85,5508,85%,85% reported,edison,2,unknown,2737,4229,404,71,3184,331,38,2020-11-16T15:48:38Z,81.31378,R+81,Jackson +81,republican,TX-G-H-13-2020-11-03,tx-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,solid-rep,13,District 13,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",273317,214196,40,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,361,423,85% reporting,85%,89,309000,edison,89%,89% reported,edison,republican,FALSE,2020-11-18T17:17:34Z,FALSE,63.1117,172495,R+63,Jackson +63,republican,"","",1,0,1604457624852
48011,Armstrong,1110,844,7,8,Released as a precinct as first report of the night,85,1312,85%,85% reported,edison,2,unknown,777,1025,69,16,774,56,14,2020-11-16T15:48:38Z,86.12613,R+86,Jackson +86,republican,TX-G-H-13-2020-11-03,tx-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,solid-rep,13,District 13,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",273317,214196,40,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,361,423,85% reporting,85%,89,309000,edison,89%,89% reported,edison,republican,FALSE,2020-11-18T17:17:34Z,FALSE,63.1117,172495,R+63,Jackson +63,republican,"","",1,0,1604457624852
48023,Baylor,1668,1368,4,5,Released as a precinct as first report of the night,87,1925,87%,87% reported,edison,2,unknown,1554,1465,164,39,1205,139,24,2020-11-16T15:48:38Z,77.9976,R+78,Jackson +78,republican,TX-G-H-13-2020-11-03,tx-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,solid-rep,13,District 13,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",273317,214196,40,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,361,423,85% reporting,85%,89,309000,edison,89%,89% reported,edison,republican,FALSE,2020-11-18T17:17:34Z,FALSE,63.1117,172495,R+63,Jackson +63,republican,"","",1,0,1604457624852
48045,Briscoe,723,452,5,6,Released as a precinct as first report of the night,76,947,76%,76% reported,edison,2,unknown,503,637,76,10,397,50,5,2020-11-16T15:48:39Z,77.59336,R+78,Jackson +78,republican,TX-G-H-13-2020-11-03,tx-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,solid-rep,13,District 13,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",273317,214196,40,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,361,423,85% reporting,85%,89,309000,edison,89%,89% reported,edison,republican,FALSE,2020-11-18T17:17:34Z,FALSE,63.1117,172495,R+63,Jackson +63,republican,"","",1,0,1604457624852
48065,Carson,3068,1889,7,9,Released as a precinct as first report of the night,81,3803,81%,81% reported,edison,2,unknown,1767,2701,298,69,1637,212,40,2020-11-16T15:47:42Z,78.32464,R+78,Jackson +78,republican,TX-G-H-13-2020-11-03,tx-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,solid-rep,13,District 13,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",273317,214196,40,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,361,423,85% reporting,85%,89,309000,edison,89%,89% reported,edison,republican,FALSE,2020-11-18T17:17:34Z,FALSE,63.1117,172495,R+63,Jackson +63,republican,"","",1,0,1604457624852
48075,Childress,2241,1777,4,5,Released as a precinct as first report of the night,83,2688,83%,83% reported,edison,2,unknown,1817,1942,268,31,1543,209,25,2020-11-16T15:47:45Z,74.6988,R+75,Jackson +75,republican,TX-G-H-13-2020-11-03,tx-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,solid-rep,13,District 13,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",273317,214196,40,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,361,423,85% reporting,85%,89,309000,edison,89%,89% reported,edison,republican,FALSE,2020-11-18T17:17:34Z,FALSE,63.1117,172495,R+63,Jackson +63,republican,"","",1,0,1604457624852
48077,Clay,5674,4115,15,17,Released as a precinct as first report of the night,88,6465,88%,88% reported,edison,2,unknown,3005,4972,592,110,3595,454,66,2020-11-16T15:47:46Z,77.19422,R+77,Jackson +77,republican,TX-G-H-13-2020-11-03,tx-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,solid-rep,13,District 13,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",273317,214196,40,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,361,423,85% reporting,85%,89,309000,edison,89%,89% reported,edison,republican,FALSE,2020-11-18T17:17:34Z,FALSE,63.1117,172495,R+63,Jackson +63,republican,"","",1,0,1604457624852
48087,Collingsworth,1184,821,6,8,Released as a precinct as first report of the night,80,1489,80%,80% reported,edison,2,unknown,1021,1035,135,14,712,100,9,2020-11-16T15:47:47Z,76.01351,R+76,Jackson +76,republican,TX-G-H-13-2020-11-03,tx-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,solid-rep,13,District 13,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",273317,214196,40,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,361,423,85% reporting,85%,89,309000,edison,89%,89% reported,edison,republican,FALSE,2020-11-18T17:17:34Z,FALSE,63.1117,172495,R+63,Jackson +63,republican,"","",1,0,1604457624852
48097,Cooke,18673,13414,27,30,Released as a precinct as first report of the night,91,20524,91%,91% reported,edison,2,some,10395,15401,2813,459,10860,2256,298,2020-11-16T15:47:49Z,67.41284,R+67,Jackson +67,republican,TX-G-H-13-2020-11-03,tx-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,solid-rep,13,District 13,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",273317,214196,40,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,361,423,85% reporting,85%,89,309000,edison,89%,89% reported,edison,republican,FALSE,2020-11-18T17:17:34Z,FALSE,63.1117,172495,R+63,Jackson +63,republican,"","",1,0,1604457624852
48101,Cottle,661,490,4,5,Released as a precinct as first report of the night,84,789,84%,84% reported,edison,2,unknown,690,543,112,6,400,86,4,2020-11-16T15:47:50Z,65.20424,R+65,Jackson +65,republican,TX-G-H-13-2020-11-03,tx-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,solid-rep,13,District 13,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",273317,214196,40,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,361,423,85% reporting,85%,89,309000,edison,89%,89% reported,edison,republican,FALSE,2020-11-18T17:17:34Z,FALSE,63.1117,172495,R+63,Jackson +63,republican,"","",1,0,1604457624852
