fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_lamalfad,results_denneya,results_absentee_lamalfad,results_absentee_denneya,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
06007,Butte,99404,0,145,157,Released as a separate subtotal as first report of the night,92,107651,92%,92% reported,edison,2,unknown,90845,48734,50670,0,0,2020-11-16T15:47:51Z,1.94761,D+1.9,Denney +1.9,democrat,CA-G-H-1-2020-11-03,ca-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-california.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,CA,california,California,Calif.,vertical,0.5,"",FALSE,TRUE,winner,AP,FALSE,"",348654,22847,2,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,597,615,97% reporting,97%,97,358000,edison,97%,97% reported,edison,republican,FALSE,2020-11-18T23:41:09Z,TRUE,13.59916,47414,R+14,LaMalfa +14,republican,"All active registered voters were sent mail ballots, and late-arriving mail ballots and provisional ballots will be counted in the days and weeks after the election.","All active registered voters were sent mail ballots, and late-arriving mail ballots and provisional ballots will be counted in the days and weeks after the election.",17,0,1604522296675
06021,Glenn,1021,552,7,8,Released as a separate subtotal as first report of the night,92,1104,92%,92% reported,edison,4,unknown,11067,802,219,444,108,2020-11-18T23:41:05Z,57.10088,R+57,LaMalfa +57,republican,CA-G-H-1-2020-11-03,ca-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-california.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,CA,california,California,Calif.,vertical,0.5,"",FALSE,TRUE,winner,AP,FALSE,"",348654,22847,2,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,597,615,97% reporting,97%,97,358000,edison,97%,97% reported,edison,republican,FALSE,2020-11-18T23:41:09Z,TRUE,13.59916,47414,R+14,LaMalfa +14,republican,"All active registered voters were sent mail ballots, and late-arriving mail ballots and provisional ballots will be counted in the days and weeks after the election.","All active registered voters were sent mail ballots, and late-arriving mail ballots and provisional ballots will be counted in the days and weeks after the election.",17,0,1604522296675
06035,Lassen,11709,0,56,57,Released as a separate subtotal as first report of the night,99,11881,>98%,>98% reported,edison,2,unknown,12965,8745,2964,0,0,2020-11-16T15:47:52Z,49.37228,R+49,LaMalfa +49,republican,CA-G-H-1-2020-11-03,ca-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-california.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,CA,california,California,Calif.,vertical,0.5,"",FALSE,TRUE,winner,AP,FALSE,"",348654,22847,2,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,597,615,97% reporting,97%,97,358000,edison,97%,97% reported,edison,republican,FALSE,2020-11-18T23:41:09Z,TRUE,13.59916,47414,R+14,LaMalfa +14,republican,"All active registered voters were sent mail ballots, and late-arriving mail ballots and provisional ballots will be counted in the days and weeks after the election.","All active registered voters were sent mail ballots, and late-arriving mail ballots and provisional ballots will be counted in the days and weeks after the election.",17,0,1604522296675
06049,Modoc,3798,0,20,22,Released as a separate subtotal as first report of the night,89,4284,89%,89% reported,edison,2,unknown,4538,2615,1183,0,0,2020-11-16T15:47:53Z,37.70405,R+38,LaMalfa +38,republican,CA-G-H-1-2020-11-03,ca-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-california.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,CA,california,California,Calif.,vertical,0.5,"",FALSE,TRUE,winner,AP,FALSE,"",348654,22847,2,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,597,615,97% reporting,97%,97,358000,edison,97%,97% reported,edison,republican,FALSE,2020-11-18T23:41:09Z,TRUE,13.59916,47414,R+14,LaMalfa +14,republican,"All active registered voters were sent mail ballots, and late-arriving mail ballots and provisional ballots will be counted in the days and weeks after the election.","All active registered voters were sent mail ballots, and late-arriving mail ballots and provisional ballots will be counted in the days and weeks after the election.",17,0,1604522296675
06057,Nevada,53776,22295,95,95,Other,100,52910,>98%,>98% reported,edison,4,all,61400,24554,29222,9225,13070,2020-11-18T02:41:11Z,8.68045,D+9,Denney +9,democrat,CA-G-H-1-2020-11-03,ca-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-california.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,CA,california,California,Calif.,vertical,0.5,"",FALSE,TRUE,winner,AP,FALSE,"",348654,22847,2,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,597,615,97% reporting,97%,97,358000,edison,97%,97% reported,edison,republican,FALSE,2020-11-18T23:41:09Z,TRUE,13.59916,47414,R+14,LaMalfa +14,republican,"All active registered voters were sent mail ballots, and late-arriving mail ballots and provisional ballots will be counted in the days and weeks after the election.","All active registered voters were sent mail ballots, and late-arriving mail ballots and provisional ballots will be counted in the days and weeks after the election.",17,0,1604522296675
06061,Placer,26669,0,17,17,Released as a separate subtotal as first report of the night,98,27110,98%,98% reported,edison,4,all,184938,16040,10629,0,0,2020-11-18T02:41:09Z,20.28947,R+20,LaMalfa +20,republican,CA-G-H-1-2020-11-03,ca-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-california.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,CA,california,California,Calif.,vertical,0.5,"",FALSE,TRUE,winner,AP,FALSE,"",348654,22847,2,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,597,615,97% reporting,97%,97,358000,edison,97%,97% reported,edison,republican,FALSE,2020-11-18T23:41:09Z,TRUE,13.59916,47414,R+14,LaMalfa +14,republican,"All active registered voters were sent mail ballots, and late-arriving mail ballots and provisional ballots will be counted in the days and weeks after the election.","All active registered voters were sent mail ballots, and late-arriving mail ballots and provisional ballots will be counted in the days and weeks after the election.",17,0,1604522296675
06063,Plumas,10973,0,29,29,Other,100,10836,>98%,>98% reported,edison,4,some,11534,6346,4627,0,0,2020-11-16T15:47:55Z,15.66572,R+16,LaMalfa +16,republican,CA-G-H-1-2020-11-03,ca-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-california.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,CA,california,California,Calif.,vertical,0.5,"",FALSE,TRUE,winner,AP,FALSE,"",348654,22847,2,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,597,615,97% reporting,97%,97,358000,edison,97%,97% reported,edison,republican,FALSE,2020-11-18T23:41:09Z,TRUE,13.59916,47414,R+14,LaMalfa +14,republican,"All active registered voters were sent mail ballots, and late-arriving mail ballots and provisional ballots will be counted in the days and weeks after the election.","All active registered voters were sent mail ballots, and late-arriving mail ballots and provisional ballots will be counted in the days and weeks after the election.",17,0,1604522296675
06089,Shasta,89281,0,96,97,Released as a separate subtotal as first report of the night,99,90163,>98%,>98% reported,edison,2,unknown,77694,58194,31087,0,0,2020-11-16T15:47:56Z,30.36144,R+30,LaMalfa +30,republican,CA-G-H-1-2020-11-03,ca-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-california.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,CA,california,California,Calif.,vertical,0.5,"",FALSE,TRUE,winner,AP,FALSE,"",348654,22847,2,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,597,615,97% reporting,97%,97,358000,edison,97%,97% reported,edison,republican,FALSE,2020-11-18T23:41:09Z,TRUE,13.59916,47414,R+14,LaMalfa +14,republican,"All active registered voters were sent mail ballots, and late-arriving mail ballots and provisional ballots will be counted in the days and weeks after the election.","All active registered voters were sent mail ballots, and late-arriving mail ballots and provisional ballots will be counted in the days and weeks after the election.",17,0,1604522296675
06091,Sierra,1930,0,22,23,Other,94,2057,94%,94% reported,edison,2,unknown,2915,1129,801,0,0,2020-11-16T15:47:56Z,16.99482,R+17,LaMalfa +17,republican,CA-G-H-1-2020-11-03,ca-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-california.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,CA,california,California,Calif.,vertical,0.5,"",FALSE,TRUE,winner,AP,FALSE,"",348654,22847,2,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,597,615,97% reporting,97%,97,358000,edison,97%,97% reported,edison,republican,FALSE,2020-11-18T23:41:09Z,TRUE,13.59916,47414,R+14,LaMalfa +14,republican,"All active registered voters were sent mail ballots, and late-arriving mail ballots and provisional ballots will be counted in the days and weeks after the election.","All active registered voters were sent mail ballots, and late-arriving mail ballots and provisional ballots will be counted in the days and weeks after the election.",17,0,1604522296675
06093,Siskiyou,23348,0,64,64,Released as a separate subtotal as first report of the night,100,22929,>98%,>98% reported,edison,2,unknown,21928,13153,10195,0,0,2020-11-17T23:41:10Z,12.66918,R+13,LaMalfa +13,republican,CA-G-H-1-2020-11-03,ca-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-california.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,CA,california,California,Calif.,vertical,0.5,"",FALSE,TRUE,winner,AP,FALSE,"",348654,22847,2,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,597,615,97% reporting,97%,97,358000,edison,97%,97% reported,edison,republican,FALSE,2020-11-18T23:41:09Z,TRUE,13.59916,47414,R+14,LaMalfa +14,republican,"All active registered voters were sent mail ballots, and late-arriving mail ballots and provisional ballots will be counted in the days and weeks after the election.","All active registered voters were sent mail ballots, and late-arriving mail ballots and provisional ballots will be counted in the days and weeks after the election.",17,0,1604522296675
