fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_la_rivag,results_de_la_fuenter,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_la_rivag,results_absentee_de_la_fuenter,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
06001,Alameda,769617,292999,521,521,"Released as first report, then NOT included in cumulative results",100,745863,>98%,>98% reported,edison,2,unknown,,533518,,,617486,136238,6294,4664,2536,2399,,250884,37712,1745,1383,704,571,,2020-11-21T02:40:52Z,62.53084,D+63,Biden +63,democrat,-62.53084,659543,-63.5,595642,-60.69,california,2020-11-22T00:47:51.830361Z
06003,Alpine,736,736,0,5,Other,100,738,>98%,>98% reported,edison,4,unknown,,1050,,,473,238,14,4,2,0,5,473,238,14,4,2,0,5,2020-11-16T15:47:36Z,31.92935,D+32,Biden +32,democrat,-31.92935,602,-19.4,653,-23.43,california,2020-11-22T00:47:51.830361Z
06005,Amador,22302,17773,30,30,Released as a separate subtotal as first report of the night,100,20217,>98%,>98% reported,edison,4,none,,17509,,,8153,13585,349,110,41,64,,7294,10068,248,84,29,50,,2020-11-19T20:40:47Z,24.35656,R+24,Trump +24,republican,24.35656,17963,24.9,17649,19.55,california,2020-11-22T00:47:51.830361Z
06007,Butte,102024,0,147,157,Released as a separate subtotal as first report of the night,94,108943,94%,94% reported,edison,2,unknown,,90845,,,50416,48723,1773,507,281,324,,0,0,0,0,0,0,,2020-11-21T02:40:52Z,1.65941,D+1.7,Biden +1.7,democrat,-1.65941,97002,3.7,90752,1.99,california,2020-11-22T00:47:51.830361Z
06009,Calaveras,26717,18851,29,29,Merged into voters' home precincts and released with cumulative results,100,26375,>98%,>98% reported,edison,4,some,,23685,,,9845,16287,352,120,44,69,,8168,10318,208,82,28,47,,2020-11-16T15:47:41Z,24.11199,R+24,Trump +24,republican,24.11199,23531,23.7,21786,16.96,california,2020-11-22T00:47:51.830361Z
06011,Colusa,7919,0,18,18,None,100,4235,>98%,>98% reported,edison,4,all,,5440,,,3218,4539,81,25,27,29,,0,0,0,0,0,0,,2020-11-19T02:40:43Z,16.6814,R+17,Trump +17,republican,16.6814,6697,13.3,6034,21.33,california,2020-11-22T00:47:51.830361Z
06013,Contra Costa,579996,313531,957,957,Released as a separate subtotal as first report of the night,100,531440,>98%,>98% reported,edison,4,all,,393525,,,415573,152497,6104,2612,1272,1938,,244659,63738,2639,1137,556,802,,2020-11-21T02:40:52Z,45.35824,D+45,Biden +45,democrat,-45.35824,473014,-43,438226,-35.21,california,2020-11-22T00:47:51.830361Z
06015,Del Norte,11416,0,18,18,Released as a separate subtotal as first report of the night,100,10896,>98%,>98% reported,edison,2,unknown,,8414,,,4659,6444,149,78,33,53,,0,0,0,0,0,0,,2020-11-20T21:30:41Z,15.63595,R+16,Trump +16,republican,15.63595,9558,17.3,8770,9.38,california,2020-11-22T00:47:51.830361Z
06017,El Dorado,116101,82522,202,202,Released as a separate subtotal as first report of the night,100,106694,>98%,>98% reported,edison,4,unknown,,102390,,,51606,61820,1869,458,108,240,,41456,39485,1075,296,68,142,,2020-11-19T02:40:43Z,8.79751,R+9,Trump +9,republican,8.79751,95149,13.5,88774,17.81,california,2020-11-22T00:47:51.830361Z
06019,Fresno,363271,231308,384,384,Merged into voters' home precincts and released with cumulative results,100,321844,>98%,>98% reported,edison,4,all,,227374,,,192118,163880,4012,1463,662,1136,,130464,96873,2133,903,375,560,,2020-11-18T23:40:40Z,7.77326,D+8,Biden +8,democrat,-7.77326,287062,-6,258827,-1.79,california,2020-11-22T00:47:51.830361Z
