fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_kellerf,results_griffinl,results_absentee_kellerf,results_absentee_griffinl,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
42015,Bradford,29484,0,60,61,None,99,29821,>98%,>98% reported,edison,4,none,2080,22208,7276,0,0,2020-11-14T16:39:08Z,50.64442,R+51,Keller +51,republican,PA-G-H-12-2020-11-03,pa-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",339632,4603,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,532,549,97% reporting,97%,95,356000,edison,95%,95% reported,edison,republican,FALSE,2020-11-14T16:40:20Z,TRUE,41.72163,141700,R+42,Keller +42,republican,"","",3,0,1604461859233
42027,Centre,41488,0,33,42,Merged into voters' home precincts and released with cumulative results,79,52525,79%,79% reported,edison,2,unknown,6518,17532,23956,0,0,2020-11-14T16:39:08Z,15.484,D+15,Griffin +15,democrat,PA-G-H-12-2020-11-03,pa-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",339632,4603,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,532,549,97% reporting,97%,95,356000,edison,95%,95% reported,edison,republican,FALSE,2020-11-14T16:40:20Z,TRUE,41.72163,141700,R+42,Keller +42,republican,"","",3,0,1604461859233
42035,Clinton,17335,0,33,34,Released with cumulative results periodically election night,97,17857,97%,97% reported,edison,2,unknown,925,12040,5295,0,0,2020-11-14T16:39:09Z,38.90972,R+39,Keller +39,republican,PA-G-H-12-2020-11-03,pa-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",339632,4603,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,532,549,97% reporting,97%,95,356000,edison,95%,95% reported,edison,republican,FALSE,2020-11-14T16:40:20Z,TRUE,41.72163,141700,R+42,Keller +42,republican,"","",3,0,1604461859233
42067,Juniata,11868,0,18,18,Merged into voters' home precincts and released with cumulative results,98,12127,98%,98% reported,edison,4,none,670,9764,2104,0,0,2020-11-14T16:39:10Z,64.54331,R+65,Keller +65,republican,PA-G-H-12-2020-11-03,pa-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",339632,4603,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,532,549,97% reporting,97%,95,356000,edison,95%,95% reported,edison,republican,FALSE,2020-11-14T16:40:20Z,TRUE,41.72163,141700,R+42,Keller +42,republican,"","",3,0,1604461859233
42081,Lycoming,58487,0,81,81,Merged into voters' home precincts and released with cumulative results,100,58655,>98%,>98% reported,edison,2,some,3546,42869,15618,0,0,2020-11-14T16:39:10Z,46.59326,R+47,Keller +47,republican,PA-G-H-12-2020-11-03,pa-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",339632,4603,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,532,549,97% reporting,97%,95,356000,edison,95%,95% reported,edison,republican,FALSE,2020-11-14T16:40:20Z,TRUE,41.72163,141700,R+42,Keller +42,republican,"","",3,0,1604461859233
42087,Mifflin,21130,0,25,26,Merged into voters' home precincts and released with cumulative results,98,21577,98%,98% reported,edison,2,unknown,1134,16821,4309,0,0,2020-11-14T16:39:12Z,59.21439,R+59,Keller +59,republican,PA-G-H-12-2020-11-03,pa-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",339632,4603,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,532,549,97% reporting,97%,95,356000,edison,95%,95% reported,edison,republican,FALSE,2020-11-14T16:40:20Z,TRUE,41.72163,141700,R+42,Keller +42,republican,"","",3,0,1604461859233
42097,Northumberland,28070,0,49,49,None,100,27992,>98%,>98% reported,edison,4,some,2466,20801,7269,0,0,2020-11-14T16:39:13Z,48.20805,R+48,Keller +48,republican,PA-G-H-12-2020-11-03,pa-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",339632,4603,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,532,549,97% reporting,97%,95,356000,edison,95%,95% reported,edison,republican,FALSE,2020-11-14T16:40:20Z,TRUE,41.72163,141700,R+42,Keller +42,republican,"","",3,0,1604461859233
42099,Perry,24295,635,31,31,Merged into voters' home precincts and released with cumulative results,99,24543,>98%,>98% reported,edison,2,some,1426,19040,5255,295,340,2020-11-14T16:39:14Z,56.74007,R+57,Keller +57,republican,PA-G-H-12-2020-11-03,pa-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",339632,4603,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,532,549,97% reporting,97%,95,356000,edison,95%,95% reported,edison,republican,FALSE,2020-11-14T16:40:20Z,TRUE,41.72163,141700,R+42,Keller +42,republican,"","",3,0,1604461859233
42105,Potter,8911,0,30,30,Merged into voters' home precincts and released with cumulative results,99,9029,>98%,>98% reported,edison,2,unknown,790,7270,1641,0,0,2020-11-14T16:39:14Z,63.16912,R+63,Keller +63,republican,PA-G-H-12-2020-11-03,pa-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",339632,4603,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,532,549,97% reporting,97%,95,356000,edison,95%,95% reported,edison,republican,FALSE,2020-11-14T16:40:20Z,TRUE,41.72163,141700,R+42,Keller +42,republican,"","",3,0,1604461859233
42109,Snyder,18991,0,25,25,Merged into voters' home precincts and released with cumulative results,100,18981,>98%,>98% reported,edison,4,some,1165,14857,4134,0,0,2020-11-14T16:39:15Z,56.46359,R+56,Keller +56,republican,PA-G-H-12-2020-11-03,pa-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",339632,4603,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,532,549,97% reporting,97%,95,356000,edison,95%,95% reported,edison,republican,FALSE,2020-11-14T16:40:20Z,TRUE,41.72163,141700,R+42,Keller +42,republican,"","",3,0,1604461859233
