fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_lucasf,results_midyettz,results_absentee_lucasf,results_absentee_midyettz,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
40045,Ellis,1863,388,7,7,Released as a separate subtotal as first report of the night,100,1863,>98%,>98% reported,edison,10,unknown,469,1717,146,345,43,2020-11-14T16:40:11Z,84.32636,R+84,Lucas +84,republican,OK-G-H-3-2020-11-03,ok-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oklahoma.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,OK,oklahoma,Oklahoma,Okla.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",309178,79235,32,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,479,479,100% reporting,100%,99,309178,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-14T16:40:13Z,TRUE,56.98206,176176,R+57,Lucas +57,republican,0,0,1604456490818
40047,Garfield,22267,5305,30,30,Released as a separate subtotal as first report of the night,100,22267,>98%,>98% reported,edison,10,all,5979,17804,4463,3612,1693,2020-11-14T16:40:11Z,59.91377,R+60,Lucas +60,republican,OK-G-H-3-2020-11-03,ok-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oklahoma.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,OK,oklahoma,Oklahoma,Okla.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",309178,79235,32,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,479,479,100% reporting,100%,99,309178,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-14T16:40:13Z,TRUE,56.98206,176176,R+57,Lucas +57,republican,0,0,1604456490818
40053,Grant,2205,434,7,7,Released as a separate subtotal as first report of the night,100,2205,>98%,>98% reported,edison,10,unknown,400,1957,248,351,83,2020-11-14T16:40:12Z,77.50567,R+78,Lucas +78,republican,OK-G-H-3-2020-11-03,ok-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oklahoma.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,OK,oklahoma,Oklahoma,Okla.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",309178,79235,32,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,479,479,100% reporting,100%,99,309178,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-14T16:40:13Z,TRUE,56.98206,176176,R+57,Lucas +57,republican,0,0,1604456490818
40055,Greer,1954,498,8,8,Released as a separate subtotal as first report of the night,100,1954,>98%,>98% reported,edison,10,unknown,514,1655,299,393,105,2020-11-14T16:40:12Z,69.39611,R+69,Lucas +69,republican,OK-G-H-3-2020-11-03,ok-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oklahoma.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,OK,oklahoma,Oklahoma,Okla.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",309178,79235,32,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,479,479,100% reporting,100%,99,309178,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-14T16:40:13Z,TRUE,56.98206,176176,R+57,Lucas +57,republican,0,0,1604456490818
40057,Harmon,929,278,7,7,Released as a separate subtotal as first report of the night,100,929,>98%,>98% reported,edison,10,unknown,288,770,159,219,59,2020-11-14T16:40:13Z,65.76964,R+66,Lucas +66,republican,OK-G-H-3-2020-11-03,ok-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oklahoma.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,OK,oklahoma,Oklahoma,Okla.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",309178,79235,32,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,479,479,100% reporting,100%,99,309178,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-14T16:40:13Z,TRUE,56.98206,176176,R+57,Lucas +57,republican,0,0,1604456490818
40059,Harper,1476,305,6,6,Released as a separate subtotal as first report of the night,100,1476,>98%,>98% reported,edison,10,unknown,291,1366,110,268,37,2020-11-14T16:40:13Z,85.09485,R+85,Lucas +85,republican,OK-G-H-3-2020-11-03,ok-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oklahoma.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,OK,oklahoma,Oklahoma,Okla.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",309178,79235,32,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,479,479,100% reporting,100%,99,309178,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-14T16:40:13Z,TRUE,56.98206,176176,R+57,Lucas +57,republican,0,0,1604456490818
40065,Jackson,8166,2159,15,15,Released as a separate subtotal as first report of the night,100,8166,>98%,>98% reported,edison,10,unknown,2832,6653,1513,1586,573,2020-11-14T16:40:07Z,62.94391,R+63,Lucas +63,republican,OK-G-H-3-2020-11-03,ok-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oklahoma.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,OK,oklahoma,Oklahoma,Okla.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",309178,79235,32,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,479,479,100% reporting,100%,99,309178,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-14T16:40:13Z,TRUE,56.98206,176176,R+57,Lucas +57,republican,0,0,1604456490818
40071,Kay,17123,3732,28,28,Released as a separate subtotal as first report of the night,100,17123,>98%,>98% reported,edison,10,all,2845,13335,3788,2534,1198,2020-11-14T16:40:08Z,55.75542,R+56,Lucas +56,republican,OK-G-H-3-2020-11-03,ok-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oklahoma.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,OK,oklahoma,Oklahoma,Okla.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",309178,79235,32,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,479,479,100% reporting,100%,99,309178,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-14T16:40:13Z,TRUE,56.98206,176176,R+57,Lucas +57,republican,0,0,1604456490818
40073,Kingfisher,6430,1640,14,14,Released as a separate subtotal as first report of the night,100,6430,>98%,>98% reported,edison,10,unknown,1557,5728,702,1395,245,2020-11-14T16:40:08Z,78.16485,R+78,Lucas +78,republican,OK-G-H-3-2020-11-03,ok-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oklahoma.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,OK,oklahoma,Oklahoma,Okla.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",309178,79235,32,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,479,479,100% reporting,100%,99,309178,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-14T16:40:13Z,TRUE,56.98206,176176,R+57,Lucas +57,republican,0,0,1604456490818
40075,Kiowa,3409,850,14,14,Released as a separate subtotal as first report of the night,100,3409,>98%,>98% reported,edison,10,unknown,818,2828,581,656,194,2020-11-14T16:40:09Z,65.91376,R+66,Lucas +66,republican,OK-G-H-3-2020-11-03,ok-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oklahoma.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,OK,oklahoma,Oklahoma,Okla.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",309178,79235,32,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,479,479,100% reporting,100%,99,309178,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-14T16:40:13Z,TRUE,56.98206,176176,R+57,Lucas +57,republican,0,0,1604456490818
40081,Lincoln,14748,3000,21,21,Released as a separate subtotal as first report of the night,100,14748,>98%,>98% reported,edison,10,all,2651,12215,2533,2190,810,2020-11-14T16:40:09Z,65.64958,R+66,Lucas +66,republican,OK-G-H-3-2020-11-03,ok-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oklahoma.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,OK,oklahoma,Oklahoma,Okla.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",309178,79235,32,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,479,479,100% reporting,100%,99,309178,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-14T16:40:13Z,TRUE,56.98206,176176,R+57,Lucas +57,republican,0,0,1604456490818
40083,Logan,21350,6658,22,22,Released as a separate subtotal as first report of the night,100,21350,>98%,>98% reported,edison,10,unknown,5138,16349,5001,4344,2314,2020-11-14T16:40:10Z,53.15222,R+53,Lucas +53,republican,OK-G-H-3-2020-11-03,ok-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oklahoma.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,OK,oklahoma,Oklahoma,Okla.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",309178,79235,32,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,479,479,100% reporting,100%,99,309178,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-14T16:40:13Z,TRUE,56.98206,176176,R+57,Lucas +57,republican,0,0,1604456490818
40093,Major,3451,935,8,8,Released as a separate subtotal as first report of the night,100,3451,>98%,>98% reported,edison,10,unknown,987,3160,291,807,128,2020-11-14T16:40:10Z,83.13532,R+83,Lucas +83,republican,OK-G-H-3-2020-11-03,ok-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oklahoma.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,OK,oklahoma,Oklahoma,Okla.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",309178,79235,32,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,479,479,100% reporting,100%,99,309178,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-14T16:40:13Z,TRUE,56.98206,176176,R+57,Lucas +57,republican,0,0,1604456490818
40103,Noble,4911,1345,12,12,Released as a separate subtotal as first report of the night,100,4911,>98%,>98% reported,edison,10,unknown,1789,4047,864,1030,315,2020-11-14T16:40:11Z,64.81368,R+65,Lucas +65,republican,OK-G-H-3-2020-11-03,ok-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oklahoma.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,OK,oklahoma,Oklahoma,Okla.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",309178,79235,32,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,479,479,100% reporting,100%,99,309178,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-14T16:40:13Z,TRUE,56.98206,176176,R+57,Lucas +57,republican,0,0,1604456490818
