fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_allenr,results_johnsonl,results_absentee_allenr,results_absentee_johnsonl,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
13001,Appling,8025,6016,9,9,None,100,7388,>98%,>98% reported,edison,2,unknown,4621,6335,1690,4651,1365,2020-11-14T16:42:04Z,57.88162,R+58,Allen +58,republican,GA-G-H-12-2020-11-03,ga-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",310100,228390,19,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,239,240,99% reporting,99%,90,343000,edison,90%,90% reported,edison,republican,FALSE,2020-11-14T16:40:01Z,TRUE,16.76169,51978,R+17,Allen +17,republican,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604460889706
13031,Bulloch,29502,20402,16,16,Other,91,32317,91%,91% reported,edison,4,unknown,19275,18813,10689,12081,8321,2020-11-14T16:42:02Z,27.53712,R+28,Allen +28,republican,GA-G-H-12-2020-11-03,ga-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",310100,228390,19,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,239,240,99% reporting,99%,90,343000,edison,90%,90% reported,edison,republican,FALSE,2020-11-14T16:40:01Z,TRUE,16.76169,51978,R+17,Allen +17,republican,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604460889706
13033,Burke,10432,7079,16,16,None,87,11969,87%,87% reported,edison,4,unknown,6829,5473,4959,3522,3557,2020-11-14T16:42:02Z,4.92715,R+5,Allen +5,republican,GA-G-H-12-2020-11-03,ga-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",310100,228390,19,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,239,240,99% reporting,99%,90,343000,edison,90%,90% reported,edison,republican,FALSE,2020-11-14T16:40:01Z,TRUE,16.76169,51978,R+17,Allen +17,republican,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604460889706
13043,Candler,4320,2231,1,1,Other,100,4306,>98%,>98% reported,edison,6,unknown,3010,3145,1175,1546,685,2020-11-14T16:42:03Z,45.60185,R+46,Allen +46,republican,GA-G-H-12-2020-11-03,ga-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",310100,228390,19,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,239,240,99% reporting,99%,90,343000,edison,90%,90% reported,edison,republican,FALSE,2020-11-14T16:40:01Z,TRUE,16.76169,51978,R+17,Allen +17,republican,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604460889706
13069,Coffee,14558,11010,6,6,Other,100,14473,>98%,>98% reported,edison,6,all,13390,10315,4243,7825,3185,2020-11-14T16:42:04Z,41.70903,R+42,Allen +42,republican,GA-G-H-12-2020-11-03,ga-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",310100,228390,19,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,239,240,99% reporting,99%,90,343000,edison,90%,90% reported,edison,republican,FALSE,2020-11-14T16:40:01Z,TRUE,16.76169,51978,R+17,Allen +17,republican,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604460889706
13073,Columbia,67970,52541,41,41,Merged into voters' home precincts and released with cumulative results,96,70908,96%,96% reported,edison,4,unknown,44339,43999,23971,32625,19916,2020-11-14T16:42:05Z,29.46594,R+29,Allen +29,republican,GA-G-H-12-2020-11-03,ga-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",310100,228390,19,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,239,240,99% reporting,99%,90,343000,edison,90%,90% reported,edison,republican,FALSE,2020-11-14T16:40:01Z,TRUE,16.76169,51978,R+17,Allen +17,republican,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604460889706
13103,Effingham,11711,8493,7,7,Merged into voters' home precincts and released with cumulative results,100,11238,>98%,>98% reported,edison,2,unknown,15051,9148,2563,6569,1924,2020-11-14T16:42:02Z,56.22919,R+56,Allen +56,republican,GA-G-H-12-2020-11-03,ga-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",310100,228390,19,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,239,240,99% reporting,99%,90,343000,edison,90%,90% reported,edison,republican,FALSE,2020-11-14T16:40:01Z,TRUE,16.76169,51978,R+17,Allen +17,republican,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604460889706
13107,Emanuel,9180,5890,11,11,Released as a precinct as first report of the night,91,10042,91%,91% reported,edison,2,some,5450,6566,2614,4039,1851,2020-11-14T16:42:03Z,43.05011,R+43,Allen +43,republican,GA-G-H-12-2020-11-03,ga-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",310100,228390,19,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,239,240,99% reporting,99%,90,343000,edison,90%,90% reported,edison,republican,FALSE,2020-11-14T16:40:01Z,TRUE,16.76169,51978,R+17,Allen +17,republican,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604460889706
13109,Evans,4116,3425,1,1,Released as a precinct as first report of the night,89,4611,89%,89% reported,edison,2,unknown,3528,2899,1217,2425,1000,2020-11-14T16:42:04Z,40.86492,R+41,Allen +41,republican,GA-G-H-12-2020-11-03,ga-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",310100,228390,19,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,239,240,99% reporting,99%,90,343000,edison,90%,90% reported,edison,republican,FALSE,2020-11-14T16:40:01Z,TRUE,16.76169,51978,R+17,Allen +17,republican,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604460889706
13161,Jeff Davis,5524,3918,7,7,Other,100,5369,>98%,>98% reported,edison,4,some,3910,4529,995,3176,742,2020-11-14T16:42:05Z,63.97538,R+64,Allen +64,republican,GA-G-H-12-2020-11-03,ga-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",310100,228390,19,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,239,240,99% reporting,99%,90,343000,edison,90%,90% reported,edison,republican,FALSE,2020-11-14T16:40:01Z,TRUE,16.76169,51978,R+17,Allen +17,republican,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604460889706
