fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_westk,results_hawkinsh,results_blankenshipd,results_la_rivag,results_mchughj,results_pierceb,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_westk,results_absentee_hawkinsh,results_absentee_blankenshipd,results_absentee_la_rivag,results_absentee_mchughj,results_absentee_pierceb,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
49001,Beaver,3100,0,9,9,"As a subtotal in the FIRST cumulative report, along with regular precincts",100,3021,>98%,>98% reported,edison,2,unknown,,2092,,,2695,357,23,7,6,4,4,3,1,,0,0,0,0,0,0,0,0,0,,2020-11-17T00:27:46Z,75.41935,R+75,Trump +75,republican,75.41935,2505,60.5,2560,71.41,utah,2020-11-17T00:43:13.576909Z
49003,Box Elder,26955,14719,53,53,Released as a separate subtotal as first report of the night,100,23287,>98%,>98% reported,edison,4,unknown,,21942,,,21494,4461,613,112,55,133,18,33,36,,11361,2883,285,56,22,64,10,20,18,,2020-11-16T15:48:35Z,63.1905,R+63,Trump +63,republican,63.1905,19878,40.1,19408,77.89,utah,2020-11-17T00:43:13.576909Z
49005,Cache,57529,0,91,91,Merged into voters' home precincts and released with cumulative results,100,54465,>98%,>98% reported,edison,4,all,,32212,,,38029,16648,1796,230,217,351,54,98,106,,0,0,0,0,0,0,0,0,0,,2020-11-16T22:57:49Z,37.1656,R+37,Trump +37,republican,37.1656,46718,15.9,42293,68.08,utah,2020-11-17T00:43:13.576909Z
49007,Carbon,8822,0,19,20,Released as a separate subtotal as first report of the night,94,9383,94%,94% reported,edison,2,unknown,,7692,,,6255,2306,138,42,17,21,3,18,22,,0,0,0,0,0,0,0,0,0,,2020-11-16T15:48:35Z,44.76309,R+45,Trump +45,republican,44.76309,7999,44.5,7567,37.2,utah,2020-11-17T00:43:13.576909Z
49009,Daggett,590,0,3,3,Released as a separate subtotal at the end of tabulation,96,614,96%,96% reported,edison,2,unknown,,562,,,473,105,7,2,0,2,0,0,1,,0,0,0,0,0,0,0,0,0,,2020-11-16T15:48:35Z,62.37288,R+62,Trump +62,republican,62.37288,477,53.2,520,60,utah,2020-11-17T00:43:13.576909Z
49011,Davis,169653,0,224,224,Merged into voters' home precincts and released with cumulative results,100,163325,>98%,>98% reported,edison,2,unknown,,123145,,,104033,57356,5003,1012,596,826,118,329,380,,0,0,0,0,0,0,0,0,0,,2020-11-16T22:57:49Z,27.51322,R+28,Trump +28,republican,27.51322,140288,16,121069,61.93,utah,2020-11-17T00:43:13.576909Z
49013,Duchesne,8524,0,34,34,Released with cumulative results periodically election night,100,8192,>98%,>98% reported,edison,2,unknown,,2795,,,7513,843,107,18,9,21,3,4,6,,0,0,0,0,0,0,0,0,0,,2020-11-16T22:57:48Z,78.24965,R+78,Trump +78,republican,78.24965,6988,68.4,6379,80.22,utah,2020-11-17T00:43:13.576909Z
49015,Emery,4865,0,11,12,Merged into voters' home precincts and released with cumulative results,93,5250,93%,93% reported,edison,2,unknown,,2072,,,4207,572,47,15,8,4,2,4,6,,0,0,0,0,0,0,0,0,0,,2020-11-17T00:06:46Z,74.71737,R+75,Trump +75,republican,74.71737,4315,70.6,4449,72.11,utah,2020-11-17T00:43:13.576909Z
49017,Garfield,2732,0,11,11,Merged into voters' home precincts and released with cumulative results,99,2766,>98%,>98% reported,edison,2,unknown,,1560,,,2158,514,37,2,11,3,1,3,3,,0,0,0,0,0,0,0,0,0,,2020-11-16T15:48:36Z,60.1757,R+60,Trump +60,republican,60.1757,2363,52.8,2182,69.84,utah,2020-11-17T00:43:13.576909Z
49019,Grand,5027,0,17,18,Merged into voters' home precincts and released with cumulative results,94,5349,94%,94% reported,edison,2,unknown,,3890,,,2168,2733,61,18,22,5,1,6,13,,0,0,0,0,0,0,0,0,0,,2020-11-16T15:48:36Z,11.23931,D+11,Biden +11,democrat,-11.23931,4601,0.3,3950,6.81,utah,2020-11-17T00:43:13.576909Z
