fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_smitht,results_lewisj,results_oconnork,results_steinbergo,results_absentee_smitht,results_absentee_lewisj,results_absentee_oconnork,results_absentee_steinbergo,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
27001,Aitkin,9840,0,50,54,Merged into voters' home precincts and released with cumulative results,98,10005,98%,98% reported,edison,6,all,,2973,,,3474,5761,462,143,0,0,0,0,2020-11-16T15:48:26Z,23.24187,R+23,Lewis +23,republican,minnesota,2020-11-21T00:45:34.754694Z
27003,Anoka,206686,0,123,128,Merged into voters' home precincts and released with cumulative results,96,215479,96%,96% reported,edison,2,some,,34809,,,89417,98041,15386,3842,0,0,0,0,2020-11-16T15:48:26Z,4.17251,R+4,Lewis +4,republican,minnesota,2020-11-21T00:45:34.754694Z
27005,Becker,19016,6167,46,48,Merged into voters' home precincts and released with cumulative results,100,19025,>98%,>98% reported,edison,6,all,,4508,,,6372,11275,1070,299,3298,2586,220,63,2020-11-16T15:48:26Z,25.78355,R+26,Lewis +26,republican,minnesota,2020-11-21T00:45:34.754694Z
27007,Beltrami,23823,0,60,63,Merged into voters' home precincts and released with cumulative results,94,25461,94%,94% reported,edison,2,unknown,,4845,,,9987,11468,1804,564,0,0,0,0,2020-11-16T15:48:27Z,6.21668,R+6,Lewis +6,republican,minnesota,2020-11-21T00:45:34.754694Z
27009,Benton,21753,0,25,27,Merged into voters' home precincts and released with cumulative results,98,22088,98%,98% reported,edison,2,unknown,,3225,,,6835,12914,1539,465,0,0,0,0,2020-11-16T15:48:27Z,27.94557,R+28,Lewis +28,republican,minnesota,2020-11-21T00:45:34.754694Z
27011,Big Stone,2945,0,21,23,Merged into voters' home precincts and released with cumulative results,99,2987,>98%,>98% reported,edison,4,some,,612,,,1106,1637,163,39,0,0,0,0,2020-11-16T15:48:27Z,18.03056,R+18,Lewis +18,republican,minnesota,2020-11-21T00:45:34.754694Z
27013,Blue Earth,35285,0,49,54,Merged into voters' home precincts and released with cumulative results,89,39485,89%,89% reported,edison,4,some,,5756,,,16527,15040,2847,871,0,0,0,0,2020-11-16T15:48:27Z,4.21426,D+4,Smith +4,democrat,minnesota,2020-11-21T00:45:34.754694Z
27015,Brown,14458,0,29,32,Merged into voters' home precincts and released with cumulative results,100,13777,>98%,>98% reported,edison,4,all,,2808,,,4808,8736,690,224,0,0,0,0,2020-11-16T15:48:27Z,27.16835,R+27,Lewis +27,republican,minnesota,2020-11-21T00:45:34.754694Z
27017,Carlton,19937,0,36,38,Merged into voters' home precincts and released with cumulative results,98,20361,98%,98% reported,edison,6,all,,3884,,,9577,8906,1093,361,0,0,0,0,2020-11-16T15:48:28Z,3.3656,D+3,Smith +3,democrat,minnesota,2020-11-21T00:45:34.754694Z
27019,Carver,65456,0,35,35,Merged into voters' home precincts and released with cumulative results,100,65382,>98%,>98% reported,edison,6,unknown,,12048,,,27613,33624,3292,927,0,0,0,0,2020-11-16T15:48:28Z,9.18327,R+9,Lewis +9,republican,minnesota,2020-11-21T00:45:34.754694Z
