fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_petersg,results_jamesj,results_willisv,results_squierm,results_dernd,results_absentee_petersg,results_absentee_jamesj,results_absentee_willisv,results_absentee_squierm,results_absentee_dernd,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
26001,Alcona,6997,0,12,12,Merged into voters' home precincts and released with cumulative results,99,7063,>98%,>98% reported,edison,6,all,,731,,,2284,4614,50,34,15,0,0,0,0,0,2020-11-16T15:48:07Z,33.29999,R+33,James +33,republican,michigan,2020-11-22T00:50:22.660643Z
26003,Alger,5082,0,9,9,Merged into voters' home precincts and released with cumulative results,99,5135,>98%,>98% reported,edison,6,some,,484,,,2089,2919,36,31,7,0,0,0,0,0,2020-11-16T15:48:09Z,16.33215,R+16,James +16,republican,michigan,2020-11-22T00:50:22.660643Z
26005,Allegan,66443,0,42,42,Merged into voters' home precincts and released with cumulative results,99,67182,>98%,>98% reported,edison,6,unknown,,9594,,,22939,42362,594,416,132,0,0,0,0,0,2020-11-20T15:27:07Z,29.23258,R+29,James +29,republican,michigan,2020-11-22T00:50:22.660643Z
26007,Alpena,16771,0,19,19,Merged into voters' home precincts and released with cumulative results,100,16771,>98%,>98% reported,edison,6,all,,2738,,,6273,10257,119,82,40,0,0,0,0,0,2020-11-16T15:48:10Z,23.75529,R+24,James +24,republican,michigan,2020-11-22T00:50:22.660643Z
26009,Antrim,17219,0,16,16,Merged into voters' home precincts AFTER election night,100,15415,>98%,>98% reported,edison,2,unknown,,2188,,,6807,9345,960,81,26,0,0,0,0,0,2020-11-20T15:28:10Z,14.73953,R+15,James +15,republican,michigan,2020-11-22T00:50:22.660643Z
26011,Arenac,8712,0,15,15,Merged into voters' home precincts and released with cumulative results,99,8830,>98%,>98% reported,edison,6,unknown,,563,,,3085,5443,103,48,33,0,0,0,0,0,2020-11-16T22:23:46Z,27.06612,R+27,James +27,republican,michigan,2020-11-22T00:50:22.660643Z
26013,Baraga,4000,0,8,8,Merged into voters' home precincts and released with cumulative results,99,4033,>98%,>98% reported,edison,6,unknown,,489,,,1528,2409,31,23,9,0,0,0,0,0,2020-11-16T15:48:12Z,22.025,R+22,James +22,republican,michigan,2020-11-22T00:50:22.660643Z
26015,Barry,35580,0,24,24,Merged into voters' home precincts and released with cumulative results,99,35914,>98%,>98% reported,edison,6,unknown,,5623,,,11379,23499,366,241,95,0,0,0,0,0,2020-11-20T15:28:56Z,34.06408,R+34,James +34,republican,michigan,2020-11-22T00:50:22.660643Z
26017,Bay,60200,0,75,75,Merged into voters' home precincts and released with cumulative results,100,53505,>98%,>98% reported,edison,6,unknown,,11503,,,27579,31521,571,385,144,0,0,0,0,0,2020-11-20T15:29:33Z,6.54817,R+7,James +7,republican,michigan,2020-11-22T00:50:22.660643Z
26019,Benzie,12169,0,13,13,Merged into voters' home precincts and released with cumulative results,99,12259,>98%,>98% reported,edison,6,unknown,,2388,,,5328,6692,58,66,25,0,0,0,0,0,2020-11-17T22:20:49Z,11.20881,R+11,James +11,republican,michigan,2020-11-22T00:50:22.660643Z
