fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_cheneyl,results_grey_bulll,results_brubakerr,results_haggitj,results_absentee_cheneyl,results_absentee_grey_bulll,results_absentee_brubakerr,results_absentee_haggitj,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
56021,Laramie,44377,0,59,61,Merged into voters' home precincts and released with cumulative results,99,44744,>98%,>98% reported,edison,2,unknown,24234,27567,13835,1780,1195,0,0,0,0,2020-11-04T10:43:33Z,30.94396,R+31,Cheney +31,republican,WY-G-H-1-2020-11-03,wy-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wyoming.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,solid-rep,1,At-Large,WY,wyoming,Wyoming,Wyo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",270181,44835,6,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,433,483,90% reporting,90%,93,290000,edison,93%,93% reported,edison,republican,FALSE,2020-11-06T02:43:59Z,TRUE,44.06898,119066,R+44,Cheney +44,republican,"","",0,0,1604455373884
56023,Lincoln,10271,0,15,15,Merged into voters' home precincts and released with cumulative results,100,9406,>98%,>98% reported,edison,4,some,3246,8324,1426,262,259,0,0,0,0,2020-11-04T10:43:34Z,67.15996,R+67,Cheney +67,republican,WY-G-H-1-2020-11-03,wy-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wyoming.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,solid-rep,1,At-Large,WY,wyoming,Wyoming,Wyo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",270181,44835,6,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,433,483,90% reporting,90%,93,290000,edison,93%,93% reported,edison,republican,FALSE,2020-11-06T02:43:59Z,TRUE,44.06898,119066,R+44,Cheney +44,republican,"","",0,0,1604455373884
56025,Natrona,34275,17039,42,46,Released as a precinct as first report of the night,94,36434,94%,94% reported,edison,4,all,11960,24209,7453,1652,961,10983,5088,648,320,2020-11-04T10:43:35Z,48.88694,R+49,Cheney +49,republican,WY-G-H-1-2020-11-03,wy-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wyoming.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,solid-rep,1,At-Large,WY,wyoming,Wyoming,Wyo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",270181,44835,6,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,433,483,90% reporting,90%,93,290000,edison,93%,93% reported,edison,republican,FALSE,2020-11-06T02:43:59Z,TRUE,44.06898,119066,R+44,Cheney +44,republican,"","",0,0,1604455373884
56027,Niobrara,1287,376,5,6,None,89,1453,89%,89% reported,edison,2,some,480,1053,145,31,58,281,74,4,17,2020-11-06T02:43:58Z,70.55167,R+71,Cheney +71,republican,WY-G-H-1-2020-11-03,wy-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wyoming.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,solid-rep,1,At-Large,WY,wyoming,Wyoming,Wyo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",270181,44835,6,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,433,483,90% reporting,90%,93,290000,edison,93%,93% reported,edison,republican,FALSE,2020-11-06T02:43:59Z,TRUE,44.06898,119066,R+44,Cheney +44,republican,"","",0,0,1604455373884
56029,Park,16246,0,29,30,Merged into voters' home precincts and released with cumulative results,100,16246,>98%,>98% reported,edison,6,all,6325,12361,2869,511,505,0,0,0,0,2020-11-04T10:43:36Z,58.42669,R+58,Cheney +58,republican,WY-G-H-1-2020-11-03,wy-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wyoming.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,solid-rep,1,At-Large,WY,wyoming,Wyoming,Wyo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",270181,44835,6,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,433,483,90% reporting,90%,93,290000,edison,93%,93% reported,edison,republican,FALSE,2020-11-06T02:43:59Z,TRUE,44.06898,119066,R+44,Cheney +44,republican,"","",0,0,1604455373884
56031,Platte,4814,1945,12,13,Merged into voters' home precincts and released with cumulative results,96,4995,96%,96% reported,edison,2,all,1712,3589,868,142,215,1276,548,45,76,2020-11-04T10:43:37Z,56.52264,R+57,Cheney +57,republican,WY-G-H-1-2020-11-03,wy-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wyoming.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,solid-rep,1,At-Large,WY,wyoming,Wyoming,Wyo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",270181,44835,6,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,433,483,90% reporting,90%,93,290000,edison,93%,93% reported,edison,republican,FALSE,2020-11-06T02:43:59Z,TRUE,44.06898,119066,R+44,Cheney +44,republican,"","",0,0,1604455373884
56033,Sheridan,15999,0,29,29,None,100,15999,>98%,>98% reported,edison,6,all,5912,11588,3460,578,373,0,0,0,0,2020-11-04T10:43:37Z,50.80318,R+51,Cheney +51,republican,WY-G-H-1-2020-11-03,wy-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wyoming.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,solid-rep,1,At-Large,WY,wyoming,Wyoming,Wyo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",270181,44835,6,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,433,483,90% reporting,90%,93,290000,edison,93%,93% reported,edison,republican,FALSE,2020-11-06T02:43:59Z,TRUE,44.06898,119066,R+44,Cheney +44,republican,"","",0,0,1604455373884
56035,Sublette,4843,0,7,7,Merged into voters' home precincts and released with cumulative results,100,4813,>98%,>98% reported,edison,2,some,1936,3729,837,128,149,0,0,0,0,2020-11-04T10:43:37Z,59.71505,R+60,Cheney +60,republican,WY-G-H-1-2020-11-03,wy-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wyoming.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,solid-rep,1,At-Large,WY,wyoming,Wyoming,Wyo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",270181,44835,6,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,433,483,90% reporting,90%,93,290000,edison,93%,93% reported,edison,republican,FALSE,2020-11-06T02:43:59Z,TRUE,44.06898,119066,R+44,Cheney +44,republican,"","",0,0,1604455373884
56037,Sweetwater,16087,0,31,37,Merged into voters' home precincts and released with cumulative results,100,16087,>98%,>98% reported,edison,6,all,4187,11069,3677,731,610,0,0,0,0,2020-11-04T10:43:38Z,45.95015,R+46,Cheney +46,republican,WY-G-H-1-2020-11-03,wy-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wyoming.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,solid-rep,1,At-Large,WY,wyoming,Wyoming,Wyo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",270181,44835,6,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,433,483,90% reporting,90%,93,290000,edison,93%,93% reported,edison,republican,FALSE,2020-11-06T02:43:59Z,TRUE,44.06898,119066,R+44,Cheney +44,republican,"","",0,0,1604455373884
56039,Teton,14337,0,19,19,Released as a separate subtotal as first report of the night,100,13639,>98%,>98% reported,edison,2,unknown,7958,5210,8628,383,116,0,0,0,0,2020-11-04T10:43:38Z,23.84041,D+24,Grey Bull +24,democrat,WY-G-H-1-2020-11-03,wy-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wyoming.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,solid-rep,1,At-Large,WY,wyoming,Wyoming,Wyo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",270181,44835,6,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,433,483,90% reporting,90%,93,290000,edison,93%,93% reported,edison,republican,FALSE,2020-11-06T02:43:59Z,TRUE,44.06898,119066,R+44,Cheney +44,republican,"","",0,0,1604455373884
56041,Uinta,9091,3806,10,10,Merged into voters' home precincts and released with cumulative results,100,9019,>98%,>98% reported,edison,2,some,3219,6779,1521,269,522,2612,951,93,150,2020-11-04T10:43:39Z,57.83742,R+58,Cheney +58,republican,WY-G-H-1-2020-11-03,wy-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wyoming.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,solid-rep,1,At-Large,WY,wyoming,Wyoming,Wyo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",270181,44835,6,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,433,483,90% reporting,90%,93,290000,edison,93%,93% reported,edison,republican,FALSE,2020-11-06T02:43:59Z,TRUE,44.06898,119066,R+44,Cheney +44,republican,"","",0,0,1604455373884
56043,Washakie,3931,0,5,5,Merged into voters' home precincts and released with cumulative results,94,4161,94%,94% reported,edison,2,unknown,1323,3063,599,143,126,0,0,0,0,2020-11-04T10:43:40Z,62.68125,R+63,Cheney +63,republican,WY-G-H-1-2020-11-03,wy-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wyoming.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,solid-rep,1,At-Large,WY,wyoming,Wyoming,Wyo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",270181,44835,6,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,433,483,90% reporting,90%,93,290000,edison,93%,93% reported,edison,republican,FALSE,2020-11-06T02:43:59Z,TRUE,44.06898,119066,R+44,Cheney +44,republican,"","",0,0,1604455373884
56045,Weston,3414,0,7,8,Merged into voters' home precincts and released with cumulative results,87,3903,87%,87% reported,edison,2,some,1131,2760,402,72,180,0,0,0,0,2020-11-04T10:43:41Z,69.06854,R+69,Cheney +69,republican,WY-G-H-1-2020-11-03,wy-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wyoming.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,solid-rep,1,At-Large,WY,wyoming,Wyoming,Wyo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",270181,44835,6,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,433,483,90% reporting,90%,93,290000,edison,93%,93% reported,edison,republican,FALSE,2020-11-06T02:43:59Z,TRUE,44.06898,119066,R+44,Cheney +44,republican,"","",0,0,1604455373884
