fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_mullinm,results_lanierd,results_castaldor,results_absentee_mullinm,results_absentee_lanierd,results_absentee_castaldor,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
40001,Adair,7085,1285,16,17,Released as a separate subtotal as first report of the night,100,6847,>98%,>98% reported,edison,2,unknown,1456,5488,1366,231,840,402,43,2020-11-07T00:28:52Z,58.17925,R+58,Mullin +58,republican,OK-G-H-2-2020-11-03,ok-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oklahoma.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,OK,oklahoma,Oklahoma,Okla.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",288527,68218,26,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,487,518,94% reporting,94%,95,305000,edison,95%,95% reported,edison,republican,FALSE,2020-11-07T00:29:02Z,TRUE,53.04148,153039,R+53,Mullin +53,republican,0,0,1604457012527
40005,Atoka,5329,1545,16,17,Released as a separate subtotal as first report of the night,95,5620,95%,95% reported,edison,2,unknown,1779,4458,777,94,1212,303,30,2020-11-07T00:28:50Z,69.07487,R+69,Mullin +69,republican,OK-G-H-2-2020-11-03,ok-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oklahoma.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,OK,oklahoma,Oklahoma,Okla.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",288527,68218,26,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,487,518,94% reporting,94%,95,305000,edison,95%,95% reported,edison,republican,FALSE,2020-11-07T00:29:02Z,TRUE,53.04148,153039,R+53,Mullin +53,republican,0,0,1604457012527
40013,Bryan,15869,3507,22,22,Released as a separate subtotal as first report of the night,100,15476,>98%,>98% reported,edison,2,unknown,2874,12133,3256,480,2242,1184,81,2020-11-07T00:28:48Z,55.93925,R+56,Mullin +56,republican,OK-G-H-2-2020-11-03,ok-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oklahoma.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,OK,oklahoma,Oklahoma,Okla.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",288527,68218,26,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,487,518,94% reporting,94%,95,305000,edison,95%,95% reported,edison,republican,FALSE,2020-11-07T00:29:02Z,TRUE,53.04148,153039,R+53,Mullin +53,republican,0,0,1604457012527
40021,Cherokee,17640,4737,23,24,Released as a separate subtotal as first report of the night,100,17623,>98%,>98% reported,edison,6,all,5304,10887,5970,783,2306,2271,160,2020-11-07T00:28:46Z,27.87415,R+28,Mullin +28,republican,OK-G-H-2-2020-11-03,ok-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oklahoma.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,OK,oklahoma,Oklahoma,Okla.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",288527,68218,26,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,487,518,94% reporting,94%,95,305000,edison,95%,95% reported,edison,republican,FALSE,2020-11-07T00:29:02Z,TRUE,53.04148,153039,R+53,Mullin +53,republican,0,0,1604457012527
40023,Choctaw,5797,1739,16,17,Released as a separate subtotal as first report of the night,95,6077,95%,95% reported,edison,2,unknown,1486,4544,1142,111,1320,399,20,2020-11-07T00:28:45Z,58.68553,R+59,Mullin +59,republican,OK-G-H-2-2020-11-03,ok-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oklahoma.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,OK,oklahoma,Oklahoma,Okla.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",288527,68218,26,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,487,518,94% reporting,94%,95,305000,edison,95%,95% reported,edison,republican,FALSE,2020-11-07T00:29:02Z,TRUE,53.04148,153039,R+53,Mullin +53,republican,0,0,1604457012527
40029,Coal,2463,772,8,9,Released as a separate subtotal as first report of the night,92,2687,92%,92% reported,edison,2,unknown,818,1975,414,74,601,149,22,2020-11-07T00:28:43Z,63.37799,R+63,Mullin +63,republican,OK-G-H-2-2020-11-03,ok-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oklahoma.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,OK,oklahoma,Oklahoma,Okla.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",288527,68218,26,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,487,518,94% reporting,94%,95,305000,edison,95%,95% reported,edison,republican,FALSE,2020-11-07T00:29:02Z,TRUE,53.04148,153039,R+53,Mullin +53,republican,0,0,1604457012527
40035,Craig,5997,1366,11,12,Released as a separate subtotal as first report of the night,93,6479,93%,93% reported,edison,2,unknown,944,4628,1200,169,914,423,29,2020-11-04T10:43:51Z,57.16191,R+57,Mullin +57,republican,OK-G-H-2-2020-11-03,ok-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oklahoma.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,OK,oklahoma,Oklahoma,Okla.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",288527,68218,26,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,487,518,94% reporting,94%,95,305000,edison,95%,95% reported,edison,republican,FALSE,2020-11-07T00:29:02Z,TRUE,53.04148,153039,R+53,Mullin +53,republican,0,0,1604457012527
40041,Delaware,17143,4220,21,22,Released as a separate subtotal as first report of the night,97,17602,97%,97% reported,edison,4,all,3314,13409,3286,448,2812,1306,102,2020-11-07T00:28:39Z,59.05034,R+59,Mullin +59,republican,OK-G-H-2-2020-11-03,ok-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oklahoma.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,OK,oklahoma,Oklahoma,Okla.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",288527,68218,26,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,487,518,94% reporting,94%,95,305000,edison,95%,95% reported,edison,republican,FALSE,2020-11-07T00:29:02Z,TRUE,53.04148,153039,R+53,Mullin +53,republican,0,0,1604457012527
40061,Haskell,4968,1360,10,11,Released as a separate subtotal as first report of the night,94,5307,94%,94% reported,edison,2,unknown,1104,4069,827,72,1049,293,18,2020-11-07T00:28:50Z,65.25765,R+65,Mullin +65,republican,OK-G-H-2-2020-11-03,ok-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oklahoma.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,OK,oklahoma,Oklahoma,Okla.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",288527,68218,26,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,487,518,94% reporting,94%,95,305000,edison,95%,95% reported,edison,republican,FALSE,2020-11-07T00:29:02Z,TRUE,53.04148,153039,R+53,Mullin +53,republican,0,0,1604457012527
40063,Hughes,4786,930,15,16,Released as a separate subtotal as first report of the night,94,5069,94%,94% reported,edison,2,unknown,832,3694,958,134,660,248,22,2020-11-04T10:43:52Z,57.16674,R+57,Mullin +57,republican,OK-G-H-2-2020-11-03,ok-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oklahoma.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,OK,oklahoma,Oklahoma,Okla.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",288527,68218,26,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,487,518,94% reporting,94%,95,305000,edison,95%,95% reported,edison,republican,FALSE,2020-11-07T00:29:02Z,TRUE,53.04148,153039,R+53,Mullin +53,republican,0,0,1604457012527
