fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_la_rivag,results_collinsp,results_westk,results_hawkinsh,results_gammonc,results_blankenshipd,results_carrollb,results_de_la_fuenter,results_myersj,results_pierceb,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_la_rivag,results_absentee_collinsp,results_absentee_westk,results_absentee_hawkinsh,results_absentee_gammonc,results_absentee_blankenshipd,results_absentee_carrollb,results_absentee_de_la_fuenter,results_absentee_myersj,results_absentee_pierceb,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
05001,Arkansas,6284,5527,27,30,Released as a precinct as first report of the night,94,6697,94%,94% reported,edison,2,unknown,,6286,,,4301,1813,46,23,22,19,16,13,9,7,7,4,4,3801,1589,38,20,18,14,11,11,7,5,7,2,4,2020-11-11T03:25:56Z,39.59262,R+40,Trump +40,republican,39.59262,6212,30.4,6494,22.21,arkansas,2020-11-14T00:43:09.152456Z
05003,Ashley,7926,7911,26,30,Released as a separate subtotal as first report of the night,100,7911,>98%,>98% reported,edison,6,unknown,,5934,,,5548,2125,25,27,44,43,9,34,30,10,9,17,5,5540,2119,25,26,44,43,9,34,30,10,9,17,5,2020-11-11T03:25:58Z,43.18698,R+43,Trump +43,republican,43.18698,8083,36.2,7921,25.35,arkansas,2020-11-14T00:43:09.152456Z
05005,Baxter,21007,17888,41,43,Merged into voters' home precincts and released with cumulative results,95,22138,95%,95% reported,edison,4,some,,16848,,,15836,4635,183,10,31,72,43,16,78,27,24,11,41,13296,4186,138,6,24,48,33,13,60,19,22,8,35,2020-11-14T00:04:47Z,53.32032,R+53,Trump +53,republican,53.32032,19766,53.2,19339,44.04,arkansas,2020-11-14T00:43:09.152456Z
05007,Benton,119912,102890,117,117,Released as a separate subtotal as first report of the night,100,117000,>98%,>98% reported,edison,4,some,,64995,,,73965,42249,1972,105,116,323,277,102,115,170,153,90,275,62366,37684,1507,79,92,237,213,88,92,131,115,69,217,2020-11-14T00:04:50Z,26.4494,R+26,Trump +26,republican,26.4494,96824,33.9,79257,40.39,arkansas,2020-11-14T00:43:09.152456Z
05009,Boone,17114,12784,28,30,Released as a separate subtotal as first report of the night,100,17103,>98%,>98% reported,edison,6,all,,15309,,,13652,3064,153,9,22,39,55,21,17,37,12,13,20,9946,2572,89,5,19,23,41,17,12,28,8,9,15,2020-11-13T19:45:49Z,61.86748,R+62,Trump +62,republican,61.86748,16111,57.8,15391,48,arkansas,2020-11-14T00:43:09.152456Z
05011,Bradley,3644,2551,12,14,Released as a precinct as first report of the night,97,3767,97%,97% reported,edison,2,unknown,,2557,,,2332,1208,32,14,10,15,4,1,8,6,0,4,10,1560,918,25,12,7,7,4,0,7,1,0,2,8,2020-11-11T03:26:33Z,30.84523,R+31,Trump +31,republican,30.84523,3653,23.2,3652,18.76,arkansas,2020-11-14T00:43:09.152456Z
05013,Calhoun,2182,1409,17,20,Released as a precinct as first report of the night,93,2340,93%,93% reported,edison,2,unknown,,1190,,,1636,479,16,2,6,12,8,4,2,3,3,2,9,1030,339,12,1,2,9,3,3,0,1,2,1,6,2020-11-13T19:45:49Z,53.02475,R+53,Trump +53,republican,53.02475,2269,40.4,2174,36.71,arkansas,2020-11-14T00:43:09.152456Z
05015,Carroll,11797,9297,13,13,Other,100,11095,>98%,>98% reported,edison,4,all,,6619,,,7424,4023,100,5,22,40,48,20,26,28,22,30,9,5489,3562,59,5,13,25,37,11,22,23,19,24,8,2020-11-14T00:04:46Z,28.82936,R+29,Trump +29,republican,28.82936,10758,32,10183,23.85,arkansas,2020-11-14T00:43:09.152456Z
05017,Chicot,4103,2887,11,13,Released as a precinct as first report of the night,84,4884,84%,84% reported,edison,2,unknown,,2805,,,1752,2260,17,7,5,20,5,2,5,8,2,4,16,1390,1436,13,4,4,12,4,1,4,4,2,3,10,2020-11-13T19:45:49Z,12.38118,D+12,Biden +12,democrat,-12.38118,4176,-15.2,4361,-22.45,arkansas,2020-11-14T00:43:09.152456Z
05019,Clark,8358,0,27,27,Merged into voters' home precincts and released with cumulative results,100,8358,>98%,>98% reported,edison,6,all,,6814,,,4605,3413,78,12,66,37,48,12,29,24,13,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T22:20:22Z,14.26179,R+14,Trump +14,republican,14.26179,8526,9.2,8409,6.33,arkansas,2020-11-14T00:43:09.152456Z
05021,Clay,5183,1403,15,17,Other,97,5363,97%,97% reported,edison,2,unknown,,3371,,,4086,962,53,3,13,11,11,4,19,3,1,8,9,1087,269,23,1,3,4,5,1,4,1,0,4,1,2020-11-13T14:49:42Z,60.27397,R+60,Trump +60,republican,60.27397,5200,49.7,5110,29.1,arkansas,2020-11-14T00:43:09.152456Z
05023,Cleburne,12617,8471,32,34,Other,100,12617,>98%,>98% reported,edison,6,some,,7784,,,10292,1962,105,2,74,29,10,24,57,26,7,19,10,6711,1530,70,1,46,15,4,20,34,13,4,16,7,2020-11-11T03:26:32Z,66.02203,R+66,Trump +66,republican,66.02203,12085,60.9,11647,52.14,arkansas,2020-11-14T00:43:09.152456Z
05025,Cleveland,3600,2164,16,17,"As a subtotal in the FIRST cumulative report, along with regular precincts",100,3459,>98%,>98% reported,edison,2,unknown,,1656,,,2867,651,27,1,8,5,8,2,5,2,5,8,11,1654,461,14,0,5,4,4,1,3,1,4,6,7,2020-11-13T15:00:47Z,61.55556,R+62,Trump +62,republican,61.55556,3354,51.8,3266,44.95,arkansas,2020-11-14T00:43:09.152456Z
05027,Columbia,8550,7318,12,14,"As a precinct in the FIRST cumulative report, along with regular precincts",100,8550,>98%,>98% reported,edison,6,all,,9640,,,5469,2781,53,12,26,17,71,9,47,17,27,10,11,4713,2363,41,10,17,11,61,8,37,16,26,9,6,2020-11-11T03:26:32Z,31.4386,R+31,Trump +31,republican,31.4386,8887,26.1,9455,23.62,arkansas,2020-11-14T00:43:09.152456Z
05029,Conway,8641,5943,30,31,Released as a precinct as first report of the night,100,8641,>98%,>98% reported,edison,6,all,,5139,,,5672,2593,78,5,88,31,18,20,22,8,34,49,23,3634,2093,52,1,48,19,9,14,13,5,21,21,13,2020-11-11T03:26:33Z,35.63245,R+36,Trump +36,republican,35.63245,7927,27.7,7730,19.52,arkansas,2020-11-14T00:43:09.152456Z
05031,Craighead,38511,28532,51,53,Released as a precinct as first report of the night,100,38364,>98%,>98% reported,edison,6,all,,28910,,,25558,11921,440,40,40,157,121,43,71,64,17,11,28,18477,9435,277,20,23,83,63,27,42,46,11,9,19,2020-11-13T16:56:46Z,35.41066,R+35,Trump +35,republican,35.41066,35573,34.7,31700,30.99,arkansas,2020-11-14T00:43:09.152456Z
05033,Crawford,24091,18786,41,43,Released as a precinct as first report of the night,96,25144,96%,96% reported,edison,4,some,,10542,,,18607,4959,274,8,39,49,35,22,22,9,26,12,29,14299,4132,177,5,27,29,25,17,16,6,21,8,24,2020-11-14T00:04:49Z,56.65186,R+57,Trump +57,republican,56.65186,22450,54.3,20591,49.85,arkansas,2020-11-14T00:43:09.152456Z
05035,Crittenden,16086,13305,20,22,Released as a precinct as first report of the night,86,18722,86%,86% reported,edison,2,unknown,,16062,,,7244,8325,112,21,44,127,29,63,25,24,35,19,18,6182,6750,95,12,28,89,21,42,19,16,23,12,16,2020-11-11T03:26:29Z,6.72013,D+7,Biden +7,democrat,-6.72013,15952,-9.1,16716,-14.89,arkansas,2020-11-14T00:43:09.152456Z
