fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_clyburnj,results_mccollumj,results_hackettm,results_absentee_clyburnj,results_absentee_mccollumj,results_absentee_hackettm,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
45005,Allendale,3614,2427,7,8,Released as a precinct as first report of the night,85,4274,85%,85% reported,edison,4,some,2170,2778,812,24,2037,378,12,2020-11-11T03:25:34Z,54.39956,D+54,Clyburn +54,democrat,SC-G-H-6-2020-11-03,sc-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-carolina-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-south-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-south-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-dem,6,District 6,SC,south-carolina,South Carolina,S.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",289381,126527,15,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,316,349,91% reporting,91%,91,318000,edison,91%,91% reported,edison,democrat,FALSE,2020-11-11T03:25:04Z,TRUE,37.39672,108219,D+37,Clyburn +37,democrat,"","",0,0,1604451595678
45009,Bamberg,6476,3654,11,13,Released as a separate subtotal at the end of tabulation,100,6421,>98%,>98% reported,edison,6,all,1944,4159,2274,43,2659,979,16,2020-11-11T03:25:23Z,29.10747,D+29,Clyburn +29,democrat,SC-G-H-6-2020-11-03,sc-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-carolina-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-south-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-south-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-dem,6,District 6,SC,south-carolina,South Carolina,S.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",289381,126527,15,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,316,349,91% reporting,91%,91,318000,edison,91%,91% reported,edison,democrat,FALSE,2020-11-11T03:25:04Z,TRUE,37.39672,108219,D+37,Clyburn +37,democrat,"","",0,0,1604451595678
45013,Beaufort,5457,2730,6,6,Released as a precinct at the end of tabulation,95,5719,95%,95% reported,edison,4,all,27701,3370,2034,53,1852,865,13,2020-11-11T03:25:32Z,24.48232,D+24,Clyburn +24,democrat,SC-G-H-6-2020-11-03,sc-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-carolina-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-south-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-south-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-dem,6,District 6,SC,south-carolina,South Carolina,S.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",289381,126527,15,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,316,349,91% reporting,91%,91,318000,edison,91%,91% reported,edison,democrat,FALSE,2020-11-11T03:25:04Z,TRUE,37.39672,108219,D+37,Clyburn +37,democrat,"","",0,0,1604451595678
45015,Berkeley,12333,6551,13,13,"As a precinct in the FIRST cumulative report, along with regular precincts",99,12503,>98%,>98% reported,edison,4,all,19053,7439,4762,132,4612,1886,53,2020-11-11T03:25:25Z,21.70599,D+22,Clyburn +22,democrat,SC-G-H-6-2020-11-03,sc-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-carolina-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-south-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-south-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-dem,6,District 6,SC,south-carolina,South Carolina,S.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",289381,126527,15,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,316,349,91% reporting,91%,91,318000,edison,91%,91% reported,edison,democrat,FALSE,2020-11-11T03:25:04Z,TRUE,37.39672,108219,D+37,Clyburn +37,democrat,"","",0,0,1604451595678
45017,Calhoun,8273,4317,11,12,Released as a precinct as first report of the night,100,7381,>98%,>98% reported,edison,2,unknown,2608,4016,4177,80,2701,1593,23,2020-11-11T03:25:27Z,1.94609,R+1.9,McCollum +1.9,republican,SC-G-H-6-2020-11-03,sc-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-carolina-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-south-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-south-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-dem,6,District 6,SC,south-carolina,South Carolina,S.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",289381,126527,15,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,316,349,91% reporting,91%,91,318000,edison,91%,91% reported,edison,democrat,FALSE,2020-11-11T03:25:04Z,TRUE,37.39672,108219,D+37,Clyburn +37,democrat,"","",0,0,1604451595678
45019,Charleston,43376,29766,37,41,Released as a precinct as first report of the night,100,43217,>98%,>98% reported,edison,6,some,54234,31477,11403,496,22361,7147,258,2020-11-11T03:25:29Z,46.27905,D+46,Clyburn +46,democrat,SC-G-H-6-2020-11-03,sc-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-carolina-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-south-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-south-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-dem,6,District 6,SC,south-carolina,South Carolina,S.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",289381,126527,15,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,316,349,91% reporting,91%,91,318000,edison,91%,91% reported,edison,democrat,FALSE,2020-11-11T03:25:04Z,TRUE,37.39672,108219,D+37,Clyburn +37,democrat,"","",0,0,1604451595678
45027,Clarendon,16688,10203,23,25,None,100,16686,>98%,>98% reported,edison,6,all,7824,8465,8110,113,6234,3916,53,2020-11-11T03:25:29Z,2.12728,D+2,Clyburn +2,democrat,SC-G-H-6-2020-11-03,sc-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-carolina-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-south-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-south-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-dem,6,District 6,SC,south-carolina,South Carolina,S.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",289381,126527,15,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,316,349,91% reporting,91%,91,318000,edison,91%,91% reported,edison,democrat,FALSE,2020-11-11T03:25:04Z,TRUE,37.39672,108219,D+37,Clyburn +37,democrat,"","",0,0,1604451595678
45029,Colleton,18280,9714,29,31,"As a precinct in the FIRST cumulative report, along with regular precincts",100,18212,>98%,>98% reported,edison,6,all,6733,8602,9435,243,5630,4003,81,2020-11-11T03:25:31Z,4.55689,R+5,McCollum +5,republican,SC-G-H-6-2020-11-03,sc-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-carolina-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-south-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-south-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-dem,6,District 6,SC,south-carolina,South Carolina,S.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",289381,126527,15,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,316,349,91% reporting,91%,91,318000,edison,91%,91% reported,edison,democrat,FALSE,2020-11-11T03:25:04Z,TRUE,37.39672,108219,D+37,Clyburn +37,democrat,"","",0,0,1604451595678
45035,Dorchester,10299,5463,11,12,"As a precinct in the FIRST cumulative report, along with regular precincts",93,11094,93%,93% reported,edison,4,all,18464,4846,5331,122,3107,2301,55,2020-11-11T03:25:38Z,4.7092,R+5,McCollum +5,republican,SC-G-H-6-2020-11-03,sc-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-carolina-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-south-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-south-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-dem,6,District 6,SC,south-carolina,South Carolina,S.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",289381,126527,15,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,316,349,91% reporting,91%,91,318000,edison,91%,91% reported,edison,democrat,FALSE,2020-11-11T03:25:04Z,TRUE,37.39672,108219,D+37,Clyburn +37,democrat,"","",0,0,1604451595678
45041,Florence,6386,3634,5,7,Released as a precinct as first report of the night,100,5760,>98%,>98% reported,edison,6,all,22227,3750,2578,58,2073,1524,37,2020-11-11T03:25:39Z,18.35265,D+18,Clyburn +18,democrat,SC-G-H-6-2020-11-03,sc-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-carolina-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-south-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-south-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-dem,6,District 6,SC,south-carolina,South Carolina,S.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",289381,126527,15,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,316,349,91% reporting,91%,91,318000,edison,91%,91% reported,edison,democrat,FALSE,2020-11-11T03:25:04Z,TRUE,37.39672,108219,D+37,Clyburn +37,democrat,"","",0,0,1604451595678
