fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
04001,Apache,34397,23683,44,44,Released as a separate subtotal as first report of the night,100,34397,>98%,>98% reported,edison,4,some,,14686,,,22730,11240,427,0,16191,7187,305,0,2020-11-11T03:26:00Z,33.40408,D+33,Biden +33,democrat,-33.40408,27661,-32,25917,-34.33,arizona,2020-11-11T12:18:30.248892Z
04003,Cochise,57818,48304,47,49,Released as a separate subtotal as first report of the night,95,61000,95%,95% reported,edison,4,unknown,,40322,,,22997,33580,1095,146,21503,25872,929,0,2020-11-11T03:26:00Z,18.30399,R+18,Trump +18,republican,18.30399,50015,21.3,49201,22.26,arizona,2020-11-11T12:18:30.248892Z
04005,Coconino,73174,60776,71,71,Released as a separate subtotal as first report of the night,99,74000,>98%,>98% reported,edison,4,some,,37503,,,44609,27043,1522,0,39341,20302,1133,0,2020-11-11T03:26:01Z,24.00579,D+24,Biden +24,democrat,-24.00579,59784,-18.9,51962,-15.47,arizona,2020-11-11T12:18:30.248892Z
04007,Gila,27728,22765,39,39,Released as a separate subtotal as first report of the night,100,27773,>98%,>98% reported,edison,4,all,,22311,,,8943,18377,342,66,7481,15005,279,0,2020-11-11T03:26:02Z,34.02337,R+34,Trump +34,republican,34.02337,22515,31.9,21595,26.66,arizona,2020-11-11T12:18:30.248892Z
04009,Graham,15026,10377,22,22,Released separately AFTER election night,100,15001,>98%,>98% reported,edison,4,unknown,,9380,,,4034,10747,212,33,2944,7288,145,0,2020-11-11T03:26:03Z,44.6759,R+45,Trump +45,republican,44.6759,12281,38.5,11905,37.52,arizona,2020-11-11T12:18:30.248892Z
04011,Greenlee,3692,2618,7,8,Released as a separate subtotal as first report of the night,100,3690,>98%,>98% reported,edison,4,unknown,,2450,,,1182,2433,70,7,996,1571,51,0,2020-11-11T03:26:24Z,33.88407,R+34,Trump +34,republican,33.88407,3300,24.2,2986,9.44,arizona,2020-11-11T12:18:30.248892Z
04012,La Paz,7464,4501,11,11,Merged into voters' home precincts and released with cumulative results,100,7458,>98%,>98% reported,edison,6,none,,3932,,,2236,5129,93,6,1508,2936,51,6,2020-11-11T03:26:25Z,38.75938,R+39,Trump +39,republican,38.75938,5951,40.8,5735,31.98,arizona,2020-11-11T12:18:30.248892Z
04013,Maricopa,2050520,1886180,743,743,Released as a separate subtotal as first report of the night,99,2069000,>98%,>98% reported,edison,4,some,,1489023,,,1032538,986672,31310,0,973736,884800,27644,0,2020-11-11T03:24:55Z,2.2368,D+2,Biden +2,democrat,-2.2368,1567834,2.8,1380959,10.69,arizona,2020-11-11T12:18:30.248892Z
04015,Mohave,104811,79622,24,24,Released as a separate subtotal as first report of the night,100,105090,>98%,>98% reported,edison,4,some,,66610,,,24831,78534,1302,144,21783,56914,925,0,2020-11-11T03:24:57Z,51.23794,R+51,Trump +51,republican,51.23794,79943,51.1,70328,42.14,arizona,2020-11-11T12:18:30.248892Z
04017,Navajo,51878,36253,14,14,Merged into voters' home precincts and released with cumulative results,100,51774,>98%,>98% reported,edison,4,unknown,,28592,,,23383,27657,727,111,16867,18787,509,90,2020-11-11T03:24:59Z,8.23856,R+8,Trump +8,republican,8.23856,40294,10.2,37465,7.84,arizona,2020-11-11T12:18:30.248892Z
04019,Pima,508200,455354,246,249,Released as a separate subtotal as first report of the night,97,519758,97%,97% reported,edison,4,some,,406810,,,298400,200799,7339,1662,282045,165396,6453,1460,2020-11-11T03:25:00Z,19.20523,D+19,Biden +19,democrat,-19.20523,421640,-13.6,383173,-6.91,arizona,2020-11-11T12:18:30.248892Z
04021,Pinal,185398,147962,102,102,Released as a separate subtotal as first report of the night,99,186367,>98%,>98% reported,edison,4,all,,88536,,,75093,106966,2788,551,65037,80288,2192,445,2020-11-11T03:26:22Z,17.19166,R+17,Trump +17,republican,17.19166,129546,19.2,108682,16.35,arizona,2020-11-11T12:18:30.248892Z
04023,Santa Cruz,19579,15671,23,24,Released as a separate subtotal as first report of the night,100,19557,>98%,>98% reported,edison,4,unknown,,11041,,,13138,6194,224,23,10994,4481,177,19,2020-11-11T03:26:23Z,35.46657,D+35,Biden +35,democrat,-35.46657,16433,-47.4,13911,-37.75,arizona,2020-11-11T12:18:30.248892Z
04025,Yavapai,143126,125013,45,45,Released as a separate subtotal as first report of the night,99,143876,>98%,>98% reported,edison,4,all,,100553,,,49516,91242,2086,282,46853,76398,1762,0,2020-11-11T03:26:23Z,29.15333,R+29,Trump +29,republican,29.15333,114450,31.2,100667,30.35,arizona,2020-11-11T12:18:30.248892Z
04027,Yuma,68427,59017,44,44,Released as a separate subtotal as first report of the night,97,70582,97%,97% reported,edison,4,unknown,,37798,,,31562,35766,1099,0,27992,30115,910,0,2020-11-11T03:26:24Z,6.14377,R+6,Trump +6,republican,6.14377,53010,1.1,42073,12.58,arizona,2020-11-11T12:18:30.248892Z
