fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
31001,Adams,14650,6789,28,29,Released as a precinct as first report of the night,96,15135,96%,96% reported,edison,2,unknown,,4675,,,10085,4213,304,48,3669,2945,152,23,2020-11-11T03:25:25Z,40.08191,R+40,Trump +40,republican,40.08191,13513,44.3,12670,33.58,nebraska,2020-11-11T12:18:00.604940Z
31003,Antelope,3583,0,14,14,Other,97,3675,97%,97% reported,edison,2,unknown,,934,,,3093,452,38,0,0,0,0,0,2020-11-11T03:25:26Z,73.70918,R+74,Trump +74,republican,73.70918,3281,71.6,3232,62.65,nebraska,2020-11-11T12:18:00.604940Z
31005,Arthur,284,0,1,1,Merged into voters' home precincts and released with cumulative results,93,306,93%,93% reported,edison,2,unknown,,66,,,260,21,3,0,0,0,0,0,2020-11-11T03:25:27Z,84.15493,R+84,Trump +84,republican,84.15493,273,83.2,262,75.19,nebraska,2020-11-11T12:18:00.604940Z
31007,Banner,410,0,1,1,Released as a separate subtotal at the end of tabulation,90,458,90%,90% reported,edison,2,unknown,,205,,,362,43,5,0,0,0,0,0,2020-11-11T03:25:28Z,77.80488,R+78,Trump +78,republican,77.80488,402,84.1,411,70.8,nebraska,2020-11-11T12:18:00.604940Z
31009,Blaine,317,0,1,1,Released as a separate subtotal at the end of tabulation,89,355,89%,89% reported,edison,2,unknown,,230,,,280,35,2,0,0,0,0,0,2020-11-11T03:25:28Z,77.28707,R+77,Trump +77,republican,77.28707,317,77.6,303,78.88,nebraska,2020-11-11T12:18:00.604940Z
31011,Boone,3217,0,9,9,Released as a precinct as first report of the night,99,3254,>98%,>98% reported,edison,2,unknown,,1536,,,2653,499,65,0,0,0,0,0,2020-11-11T03:25:29Z,66.95679,R+67,Trump +67,republican,66.95679,2905,64.9,2806,54.28,nebraska,2020-11-11T12:18:00.604940Z
31013,Box Butte,5181,0,9,10,Released as a precinct at the end of tabulation,94,5515,94%,94% reported,edison,2,unknown,,2298,,,4002,1051,128,0,0,0,0,0,2020-11-11T03:25:29Z,56.95812,R+57,Trump +57,republican,56.95812,4924,53.9,4705,25.02,nebraska,2020-11-11T12:18:00.604940Z
31015,Boyd,1153,0,4,4,Released as a precinct as first report of the night,89,1295,89%,89% reported,edison,2,unknown,,379,,,1010,135,8,0,0,0,0,0,2020-11-11T03:25:30Z,75.88899,R+76,Trump +76,republican,75.88899,1156,74,1071,63.96,nebraska,2020-11-11T12:18:00.604940Z
31017,Brown,1676,0,3,3,Merged into voters' home precincts and released with cumulative results,94,1789,94%,94% reported,edison,2,unknown,,589,,,1468,190,18,0,0,0,0,0,2020-11-11T03:25:30Z,76.25298,R+76,Trump +76,republican,76.25298,1597,77.1,1555,69.32,nebraska,2020-11-11T12:18:00.604940Z
31019,Buffalo,23708,9718,29,29,Released as a separate subtotal as first report of the night,100,23474,>98%,>98% reported,edison,6,all,,5402,,,16640,6350,599,119,5464,3990,207,57,2020-11-11T03:25:32Z,43.40307,R+43,Trump +43,republican,43.40307,21129,46.4,19453,42.18,nebraska,2020-11-11T12:18:00.604940Z
